"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 58.0"," 61.5"," 68.0"," 75.0"," 72.0"," 27.0","120.0"," 37.0","  5.0","  6.0"," 26.0","225.0"," 87.0"," 54.0","119.0","146.0","  8.0"," 22.0","  4.0","  5.0","ACCRA",2009-03-21
" 67",NA," 62"," 80"," 80"," 30","120"," 30","  6","  8"," 30",NA,"125",NA,"113","140",NA,NA,"  3","  6","TEMA",2009-03-21
" 70.0"," 55.0"," 54.0"," 85.0"," 80.0"," 24.0","150.0"," 30.0","  4.0","  6.0"," 24.0"," 80.0"," 50.0"," 45.0","160.0","140.0"," 12.0"," 14.0","  2.5","  5.5","SEKTDI",2009-03-21
" 55.0"," 70.0"," 55.0"," 75.0"," 82.0"," 14.0","100.0"," 26.0","  3.5","  8.0"," 20.0","150.0"," 65.0"," 50.0","150.0","130.0"," 10.0"," 22.0","  4.0","  5.0","KDUA",2009-03-21
" 68.55"," 55.00"," 66.00"," 84.00"," 90.00"," 17.00","120.00"," 47.00","  4.00","  8.00"," 30.00"," 75.00"," 80.00"," 40.00","123.00","115.00","  7.00"," 12.00","  3.00","  6.00","CCOAST",2009-03-21
" 75.00"," 55.00"," 68.00"," 84.00","100.00"," 19.85","160.00"," 39.65","  3.00","  5.80"," 18.50"," 90.00"," 85.00"," 57.00","140.00","130.00","  8.50"," 14.50","  3.40","  5.00","MKESSIM",2009-03-21
" 54.0"," 55.0"," 60.0"," 74.0",NA," 21.0","100.0",NA,"  3.0","  5.5"," 23.0","144.0","100.0",NA,"109.0","107.0","  8.0"," 22.0","  4.0","  5.7","HO",2009-03-21
" 55.0"," 55.0"," 55.0"," 60.0"," 50.0","  9.0"," 95.0"," 20.0","  2.4","  4.0"," 20.0","102.0"," 45.0"," 60.0"," 85.0","110.0",NA," 18.0","  3.5","  5.0","KUMASI",2009-03-21
" 75.0"," 35.0"," 56.0"," 80.0"," 85.0"," 12.0"," 90.0"," 30.0","  4.5","  7.0"," 15.0"," 88.0"," 85.0"," 40.0","120.0","120.0",NA," 28.0","  4.0","  4.8","OBUASI",2009-03-21
" 48.0"," 42.5"," 55.0"," 65.0"," 65.0"," 20.0","100.0"," 36.0","  1.5","  2.0"," 25.0"," 64.0"," 65.0"," 80.0"," 85.0","108.0"," 15.0"," 23.0","  3.5","  4.3","SUNYANI",2009-03-21
" 24.31"," 34.00"," 42.00"," 65.00"," 55.00"," 12.00"," 80.00"," 25.00","  1.00","  1.50"," 25.71","120.00"," 70.00"," 70.00"," 75.00","120.00"," 17.50",NA,"  3.00","  4.50","TMAN",2009-03-21
" 57.0"," 60.0"," 65.0"," 64.0"," 45.0","  8.0","110.0"," 60.0","  3.5","  4.0"," 20.1"," 65.0"," 45.0"," 74.0"," 90.0","130.0"," 12.0",NA,"  4.0","  4.5","EJURA",2009-03-21
" 42"," 30"," 70"," 60"," 48"," 14"," 95",NA,"  8","  6"," 28"," 68"," 35"," 44"," 80","100",NA,NA,"  9","  6","TAMALE",2009-03-21
"52.00","50.00","50.00","55.00","51.00","N/A","120.00","N/A","N/A","9.00","N/A","140.00","24.00","N/A","80.00","100.00","N/A",NA,"22.00","5.20","BOLGA",2009-03-21
" 44.64"," 53.57"," 65.00"," 53.65"," 54.00"," 23.00"," 99.00"," 50.00",NA,NA," 28.80",NA," 19.00",NA," 85.00","102.50",NA,NA," 19.00","  6.00","WA",2009-03-21
