"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 58"," 60"," 66"," 76"," 73"," 26","119"," 35","  3","  5"," 27","175","115"," 54","112","143","  8"," 26","  4","  5","ACCRA",NA
" 67",NA," 62"," 85"," 85"," 35","120"," 30","  5","  7"," 30",NA,"120",NA,"102","140",NA,NA,"  3","  6","TEMA",NA
" 65.0"," 65.0"," 60.0"," 80.0"," 80.0"," 22.0","140.0"," 28.0","  4.0","  7.0"," 24.0",NA," 80.0"," 60.0","140.0","150.0"," 15.0"," 13.0","  2.5","  5.0","SEKTDI",NA
" 55"," 70"," 60"," 70"," 83"," 15","110"," 20","  3","  7"," 20","160"," 65"," 54","150","130"," 10"," 20","  3","  5","KDUA",NA
" 67"," 55"," 66"," 84"," 90"," 16","110"," 47","  4","  7"," 30"," 75"," 80"," 35","123","115","  7"," 11","  3","  6","CCOAST",NA
" 70.00"," 52.00"," 67.00"," 85.00"," 95.00"," 17.64","150.00"," 50.00","  2.60","  5.50"," 19.00"," 83.00","110.00"," 43.60","125.00","120.00","  9.20"," 13.25","  3.30","  5.00","MKESSIM",NA
" 54.0"," 52.5"," 63.0"," 82.0",NA," 20.0","100.0",NA,"  3.5","  5.5"," 23.0","144.0","100.0",NA,"109.0","107.0","  9.0"," 22.0","  4.0","  5.0","HO",NA
" 55.0"," 50.0"," 55.0"," 60.0"," 50.0"," 10.0"," 90.0"," 22.3","  2.4","  3.8"," 20.0","102.0"," 35.0"," 28.0"," 80.0","110.0",NA," 20.0","  4.0","  5.0","KUMASI",NA
" 75.0"," 35.0"," 57.0"," 80.0"," 85.0"," 12.0","140.0"," 30.0","  4.0","  7.0"," 15.0"," 80.0"," 50.0"," 64.0","120.0","120.0",NA," 28.0","  2.0","  4.8","OBUASI",NA
" 48.00"," 42.50"," 63.35"," 62.00"," 65.00"," 20.00"," 90.00"," 36.00","  1.60","  2.20"," 25.00"," 64.00"," 70.00"," 80.00"," 96.00","108.00"," 20.00"," 20.00","  6.00","  4.50","SUNYANI",NA
" 46.15"," 34.00"," 68.00"," 65.00"," 55.00"," 12.00"," 90.00"," 25.00","  1.50","  2.00"," 25.71","120.00"," 55.00"," 56.00"," 95.00","105.00"," 21.00",NA,"  3.00","  4.50","TMAN",NA
" 60"," 60"," 65"," 64"," 45","  8"," 80"," 60","  4","  7"," 20"," 90"," 50"," 70","100","140"," 12",NA,"  4","  5","EJURA",NA
" 44"," 30"," 70"," 60"," 52"," 15","100",NA,"  8","  6"," 28"," 55"," 50"," 45"," 60","100",NA,NA,"  9","  5","TAMALE",NA
"52.00","50.00","50.00","55.00","51.00","N/A","110.00","N/A","N/A","9.00","N/A","N/A","15.00","N/A","80.00","100.00","N/A",NA,"22.00","5.20","BOLGA",NA
" 46.43"," 53.57"," 65.00"," 53.65"," 58.39",NA,"115.00",NA,NA,NA," 28.80",NA," 17.33",NA," 85.64","102.50",NA,NA," 19.00","  6.00","WA",NA
