"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 74"," 55"," 65"," 83"," 83"," 20","147"," 39","  8"," 11"," 26","358","130","100","128","127"," 14"," 18","  9","  6","ACCRA",2009-08-01
" 75",NA," 64"," 96"," 96"," 35",NA," 35","  6"," 12"," 30","320","250",NA,"122","130",NA," 22","  9","  6","TEMA",2009-08-01
" 85.0",NA," 55.0"," 85.0"," 80.0"," 18.0","150.0"," 40.0","  5.0","  8.0"," 24.0","150.0","150.0"," 80.0","140.0","150.0"," 18.0"," 15.0","  4.0","  5.5","SEKTDI",2009-08-01
" 40.0"," 65.0"," 55.0"," 90.0"," 80.0"," 20.0",NA," 29.0","  7.2"," 16.0"," 27.0",NA,"120.0","100.0","120.0","150.0"," 20.0"," 20.0",NA,"  5.0","KDUA",2009-08-01
" 81.00"," 55.00"," 67.00"," 85.00"," 90.00"," 16.19","140.00"," 55.00","  5.00","  8.00"," 30.00"," 90.00","180.00"," 40.00","100.00","120.00","  8.00"," 10.00","  6.00","  5.00","CCOAST",2009-08-01
" 84.00"," 60.00"," 68.00"," 86.00","100.00"," 14.87","140.00"," 56.00","  3.50","  7.60"," 19.50"," 88.00","200.00"," 65.00","120.00","100.00"," 10.00"," 11.00","  4.70","  5.00","MKESSIM",2009-08-01
" 67.0"," 55.0"," 70.0"," 65.0"," 60.0"," 10.0"," 90.0"," 24.0","  3.5","  6.0"," 20.0","210.0"," 50.0"," 68.0"," 80.0","110.0",NA," 18.0","  3.6","  5.0","KUMASI",2009-08-01
" 54.0"," 60.0"," 65.0"," 70.0"," 70.0","  8.0","120.0"," 25.0","  3.0","  8.0"," 20.2","210.0","100.0","150.0","100.0","100.0"," 28.0",NA," 10.0","  5.0","EJURA",2009-08-01
"60.00","44.00","66.00","80.00","85.00","9.00","90.00 *","30.00","4.00","12.00","13.00","112.00","100.00","68.00","100.00","120.00",NA,"28.00","4.00","4.50","OBUASI",2009-08-01
" 44.0"," 42.5"," 59.0"," 70.0"," 70.0"," 25.0"," 75.0"," 50.0","  3.0","  4.0"," 25.0","112.0"," 90.0","120.0"," 90.0","110.0"," 20.0"," 18.0","  5.0","  5.5","SUNYANI",2009-08-01
" 46.15"," 50.00"," 70.00"," 64.00"," 72.00"," 15.00"," 90.00"," 50.00","  4.00","  5.00"," 25.71"," 50.00","160.00"," 84.00"," 80.00","110.00"," 18.00"," 20.00","  5.00","  4.50","TMAN",2009-08-01
"54.00","57.50","64.00","85.00",NA,"23.00","150.00","30.00","6.50","8.50","32.00 #","240.00","200.00","80.00","142.00","123.00","11.00","22.00","8.50","5.80","HO",2009-08-01
" 48.0"," 38.0"," 70.0"," 80.0"," 76.0"," 16.0",NA,NA,"  8.0","  6.0"," 29.0","160.0","200.0"," 75.0"," 80.0"," 80.0",NA,NA,"  9.0","  5.5","TAMALE",2009-08-01
"66.00","55.00","52.00","51.00","58.00","85.00","160.00","100.00","20.00","15.00","N/A","150.00","220.00","N/A","90.00","100.00","N/A",NA,NA,"5.50","BOLGA",2009-08-01
" 46.43"," 51.79"," 69.00"," 71.54"," 62.29"," 24.00",NA," 60.00","  8.00",NA," 28.80","320.00","160.00","100.00"," 77.86"," 88.83",NA,NA," 10.00","  6.00","WA",2009-08-01
