"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 79.0"," 60.0"," 67.0"," 83.0"," 85.0"," 20.0","163.0"," 41.0"," 11.0"," 16.0"," 24.0","330.0","100.0"," 85.0","127.0","138.0"," 13.0"," 23.0","  9.3","  5.0","ACCRA",2009-07-04
" 83",NA," 64"," 93"," 90"," 35","200"," 33","  9"," 15"," 30","300","105",NA,"120","144",NA," 26","  6","  6","TEMA",2009-07-04
" 90"," 46"," 50"," 85"," 85"," 30","160"," 30","  6","  8"," 24","120","100"," 80","140","145"," 15"," 12","  4","  5","SEKTDI",2009-07-04
" 70.0"," 65.0"," 55.0"," 85.0"," 82.0"," 23.0","160.0"," 30.0","  7.0"," 16.0"," 27.0","250.0"," 60.0","100.0","150.0","140.0"," 20.0"," 20.0",NA,"  4.5","KDUA",2009-07-04
" 81.00"," 55.00"," 66.00"," 85.00"," 90.00"," 16.19","150.00"," 50.00","  5.50","  9.00"," 30.00"," 85.00","120.00"," 47.00","123.00","130.00","  7.00"," 12.00","  3.00","  5.00","CCOAST",2009-07-04
" 80.0"," 60.0"," 67.0"," 85.0"," 95.0"," 13.2","180.0"," 60.0","  3.7","  7.4"," 20.0"," 86.0","100.0"," 42.0","120.0","110.0","  9.5"," 13.0","  4.2","  5.2","MKESSIM",2009-07-04
" 67.0"," 57.5"," 70.0"," 65.0"," 65.0"," 10.0"," 85.0"," 20.0","  3.2","  6.0"," 20.0","180.0"," 50.0"," 80.0"," 85.0","115.0",NA," 25.0","  3.8","  5.0","KUMASI",2009-07-04
" 54.0"," 60.0"," 65.0"," 75.0"," 70.0","  6.0","150.0"," 25.0","  7.0","  4.0"," 14.4","210.0","100.0","300.0","100.0","120.0"," 15.0",NA," 10.0","  5.0","EJURA",2009-07-04
" 90.0"," 44.0"," 68.0"," 80.0"," 85.0"," 13.0","240.0"," 25.0","  4.5"," 15.0"," 15.0","100.0"," 80.0"," 65.0","100.0","120.0",NA," 28.0","  4.0","  4.5","OBUASI",2009-07-04
" 60.0"," 42.5"," 65.0"," 68.0"," 65.0"," 30.0","150.0"," 45.0","  4.0","  5.5"," 25.0","120.0"," 58.0","120.0"," 90.0","110.0"," 20.0"," 25.0","  8.0","  4.5","SUNYANI",2009-07-04
" 60.00"," 60.00"," 70.00"," 80.00"," 60.00"," 12.00","120.00"," 40.00","  4.00","  5.00"," 25.71","240.00"," 60.00"," 98.00"," 70.00","110.00"," 12.50"," 25.00","  6.00","  4.50","TMAN",2009-07-04
" 64.0"," 50.0"," 64.0"," 82.0",NA," 30.0","150.0"," 45.0","  6.5","  8.5"," 32.0","240.0","110.0"," 60.0","142.0","115.0"," 11.0"," 23.0"," 10.0","  5.5","HO",2009-07-04
" 52.0"," 40.0"," 70.0"," 80.0"," 72.0"," 14.0","150.0",NA,"  8.0","  6.0"," 28.0","137.0"," 80.0"," 75.0"," 96.0"," 88.0",NA,NA,"  9.0","  5.5","TAMALE",2009-07-04
"66.00","50.00","52.00","65.00","60.00","N/A","140.00","N/A","10.00","8.00","N/A","130.00","120.00","N/A","75.00","100.00","N/A",NA,"18.00","5.50","BOLGA",2009-07-04
" 46.43"," 50.00"," 69.00"," 64.38"," 54.50"," 25.00","140.00"," 60.00","  8.00","  5.00"," 28.00","320.00"," 80.00","111.00"," 85.64","102.50",NA,NA," 10.00","  6.00","WA",2009-07-04
