"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 50"," 54"," 65"," 84"," 85"," 25"," 97"," 46","  9"," 11"," 26","310","123"," 93","126","118"," 15"," 20","  8","  6","ACCRA",2009-11-07
" 54"," 74"," 65","100","100"," 40","210"," 43","  7"," 11"," 30","250","138","120","122","120"," 35"," 23","  7","  6","TEMA",2009-11-07
" 54.0"," 70.0"," 65.0"," 90.0"," 85.0"," 40.0","185.0"," 48.0","  6.5","  8.0"," 24.0","120.0","120.0"," 85.0","150.0","150.0"," 18.0"," 15.0","  6.5","  5.5","SEKTDI",2009-11-07
" 40.0"," 70.0"," 60.0"," 85.0"," 85.0"," 20.0","120.0",NA,"  3.4","  7.5"," 27.0","300.0"," 40.0"," 80.0","134.0","115.0"," 20.0"," 25.0","  3.0","  5.0","KDUA",2009-11-07
" 64.0"," 55.0"," 67.0"," 85.0"," 90.0"," 20.0","160.0"," 52.0","  4.5","  8.0"," 32.0","100.0","100.0"," 60.0","120.0","130.0"," 12.0"," 10.0","  4.0","  5.0","CCOAST",2009-11-07
" 64.00"," 60.00"," 67.00"," 88.00","100.00"," 16.40","130.00"," 66.85","  3.00","  5.00"," 20.00"," 96.00","125.00"," 85.00","110.00","110.00","  9.70"," 14.00","  4.00","  5.00","MKESSIM",2009-11-07
" 42.0"," 60.0"," 70.0"," 68.0"," 65.0"," 10.0"," 96.0"," 25.0","  2.3","  5.2"," 20.0","228.0"," 50.0"," 64.0"," 85.0","110.0","  9.0"," 15.0","  3.0","  5.0","KUMASI",2009-11-07
" 65"," 60"," 70"," 72"," 72"," 10","100"," 25","  4","  6"," 20","195"," 60"," 48"," 80"," 90"," 12",NA,"  6","  5","EJURA",2009-11-07
" 60"," 35"," 68"," 80"," 85"," 12","110"," 30","  4"," 10"," 17","140"," 50"," 64","100","120"," 25"," 30","  4","  5","OBUASI",2009-11-07
" 32.0"," 42.5"," 63.0"," 70.0"," 72.0"," 25.0"," 85.0"," 36.0","  3.0","  5.0"," 25.0","120.0"," 40.0","120.0"," 90.0"," 95.0"," 18.0"," 20.0","  3.0","  4.7","SUNYANI",2009-11-07
" 30.8"," 50.0"," 70.0"," 70.0"," 65.0"," 18.0","100.0"," 45.0","  3.0","  4.0"," 20.6","210.0"," 30.0"," 70.0"," 75.0","100.0"," 18.0"," 24.0","  3.0","  5.0","TMAN",2009-11-07
"45.00","58.00","60.00","85.00",NA,"20.00","120.00",NA,"3.00","8.00","37.00#","144.00","87.00","60.00","153.00","123.00","13.00","25.00","5.00","6.00","HO",2009-11-07
"36.0","30.0","70.0","80.0","72.0","24.0","90.0",NA," 8.0"," 7.0","28.0","68.0","80.0","38.0","68.0","88.0",NA,NA,"15.0"," 5.5","TAMALE",2009-11-07
"32.00","50.00","52.00","50.00","58.00","20.00","150.00",NA,"20.00","15.00","N/A","125.00","25.00","N/A","68.00","75.00","N/A",NA,"8.00","7.00","BOLGA",2009-11-07
"39","54","69","64","66","25","99",NA," 8",NA,"29",NA,"19","47","74","96",NA,NA,"10"," 6","WA",2009-11-07
