"V1","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 50"," 53"," 63"," 84"," 84"," 24","112"," 43","  8"," 11"," 26","348"," 44"," 90","126","126"," 16"," 17","  9","  6","ACCRA",2009-09-05
" 73",NA," 74"," 88"," 80"," 41",NA," 30","  8"," 12"," 30","320"," 50",NA,"113","120",NA," 22"," 10","  6","TEMA",2009-09-05
" 58.0"," 70.0"," 58.0"," 90.0"," 80.0"," 24.0","150.0"," 40.0","  6.0","  8.0"," 24.0"," 80.0"," 80.0","100.0","130.0","155.0"," 15.0"," 12.0","  5.0","  5.5","SEKTDI",2009-09-05
" 34"," 65"," 55"," 90"," 90"," 20",NA,NA,"  4"," 10"," 27","250"," 30","100","120","135"," 20"," 20","  5","  5","KDUA",2009-09-05
" 42.00"," 55.00"," 67.00"," 85.00"," 90.00"," 16.19","150.00"," 55.00","  4.50","  8.00"," 30.00"," 90.00"," 60.00"," 40.00","120.00","130.00","  9.00","  9.00","  6.00","  5.00","CCOAST",2009-09-05
" 40.00"," 60.00"," 65.00"," 85.00"," 95.00"," 15.12","100.00"," 55.00","  3.30","  6.40"," 20.00"," 85.00"," 60.00"," 76.00","100.00"," 90.00","  9.00"," 10.00","  4.00","  5.00","MKESSIM",2009-09-05
" 42.0"," 60.0"," 70.0"," 65.0"," 62.0","  9.0"," 90.0"," 24.0","  3.0","  5.4"," 20.0","180.0"," 15.0"," 80.0"," 85.0","100.0",NA," 12.0","  3.0","  5.0","KUMASI",2009-09-05
" 20"," 60"," 70"," 73"," 70"," 15","100"," 25","  4","  8"," 20","210"," 30"," 70","100"," 90"," 20",NA,"  5","  5","EJURA",2009-09-05
" 60.0"," 38.0"," 69.0"," 80.0"," 85.0","  9.0","140.0"," 25.0","  4.5"," 10.0"," 13.0","120.0"," 30.0"," 88.0","100.0","120.0",NA," 28.0","  4.0","  4.5","OBUASI",2009-09-05
" 28.0"," 42.0"," 63.0"," 70.0"," 72.0"," 25.0"," 50.0"," 45.0","  3.0","  4.2"," 25.0","128.0"," 25.0","130.0"," 90.0","110.0"," 20.0"," 22.0","  5.0","  4.5","SUNYANI",2009-09-05
" 32.00"," 44.00"," 70.00"," 75.00"," 75.00"," 20.00"," 70.00"," 55.00","  4.00","  6.00"," 25.71","150.00"," 25.00"," 84.00"," 80.00"," 80.00"," 18.00"," 20.00","  3.00","  4.50","TMAN",2009-09-05
"36.00","58.00","60.00","85.00",NA,"20.00","110.00","43.00","5.00","8.50","37.00#","224.00","35.00","60.00","153.00","115.00","11.00","23.00","5.00","5.50","HO",2009-09-05
" 35.0"," 36.0"," 80.0"," 76.0"," 72.0"," 16.0"," 85.0",NA,"  8.0","  6.0"," 29.0","147.0"," 70.0"," 45.0"," 72.0"," 60.0",NA,NA,"  9.0","  5.5","TAMALE",2009-09-05
"48.00","55.00","52.00","52.00","54.00","30.00","190.00","60.00","12.00","15.00","N/A","N/A","30.00","160.00","86.00","62.00","N/A",NA,"10.00","5.50","BOLGA",2009-09-05
" 35.71"," 57.14"," 69.00"," 71.54"," 66.18"," 24.00"," 49.00",NA,"  8.00",NA," 28.80",NA," 17.33"," 75.00"," 85.64","102.50",NA,NA," 10.00","  6.00","WA",2009-09-05
