"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 59.0"," 53.5"," 69.0"," 71.0"," 70.0"," 28.0","135.0"," 38.0","  6.0","  8.0"," 25.0","183.0","163.0"," 48.0","135.0","134.0"," 12.0"," 21.0","  4.0","  5.0","ACCRA",2009-04-18
" 67",NA," 64"," 80"," 80"," 35","180"," 30","  6","  8"," 30",NA,"185",NA,"119",NA,NA,NA,"  4","  6","TEMA",2009-04-18
" 65.0"," 50.0"," 55.0"," 85.0"," 80.0"," 28.0","170.0"," 28.0","  3.5","  6.0"," 24.0"," 80.0","150.0"," 60.0","120.0","140.0"," 15.0"," 12.0","  5.0","  5.5","SEKTDI",2009-04-18
" 55"," 70"," 55"," 75"," 84"," 16","110"," 26","  5"," 10"," 20","160"," 60"," 55","150","130"," 12"," 17","  4","  5","KDUA",2009-04-18
" 68"," 55"," 66"," 84"," 90"," 17","120"," 47","  5","  8"," 30"," 85"," 60"," 47","123","115","  7"," 13","  3","  6","CCOAST",2009-04-18
" 75.00"," 55.00"," 68.00"," 87.00","100.00"," 16.15","170.00"," 51.70","  3.00","  5.80"," 18.00"," 90.00","100.00"," 48.00","150.00","130.00","  8.70"," 15.00","  3.50","  5.00","MKESSI",2009-04-18
" 58.0"," 55.0"," 54.0"," 60.0"," 55.0"," 10.0"," 90.0"," 20.0","  2.4","  4.0"," 20.0","102.0"," 95.0"," 65.0"," 85.0","110.0",NA," 14.0","  3.8","  5.0","KUMASI",2009-04-18
" 60"," 60"," 60"," 64"," 60","  8","100"," 50","  4","  4"," 14","180","130"," 70"," 80","130"," 15",NA,"  5","  5","EJURA",2009-04-18
" 75.0"," 35.0"," 64.0"," 80.0"," 85.0"," 12.0","140.0"," 30.0","  4.0","  6.0"," 15.0","120.0","100.0"," 10.8","120.0","120.0",NA," 28.0","  4.0","  4.5","OBUASI",2009-04-18
" 48.0"," 42.5"," 55.0"," 65.0"," 65.0"," 25.0","100.0"," 36.0","  2.0","  2.5"," 20.0","120.0","100.0"," 48.0"," 85.0","108.0"," 15.0"," 25.0","  4.0","  4.2","SUNYANI",2009-04-18
" 44.61"," 36.00"," 65.00"," 60.00"," 64.00"," 12.00","120.00"," 25.00","  1.80","  3.50"," 20.57","156.00"," 90.00"," 70.00"," 78.00","120.00"," 17.50",NA,"  2.50","  4.50","TMAN",2009-04-18
" 64.0"," 55.0"," 63.0"," 82.0",NA," 30.0","120.0",NA,"  4.0","  7.5"," 23.0",NA,"130.0",NA,"142.0","107.0","  8.0"," 23.0",NA,"  5.3","HO",2009-04-18
" 44"," 30"," 60"," 60"," 48"," 13","130",NA,"  8","  7"," 28"," 90","100"," 52","100"," 88",NA,NA,"  9","  6","TAMALE",2009-04-18
"48.00","50.00","55.00","55.00","51.00","N/A","160.00","N/A","9.00","N/A","N/A","N/A","70.00","N/A","80.00","100.00","N/A",NA,"22.00","5.50","BOLGA",2009-04-18
" 42.86"," 53.57"," 65.00"," 53.63"," 54.50"," 23.00","110.00",NA," 10.00"," 18.00"," 28.80"," 48.00"," 34.67"," 66.00"," 81.75","102.50",NA,NA," 19.00","  6.00","WA",2009-04-18
