"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 45"," 53"," 63"," 83"," 84"," 25","100"," 44","  8"," 10"," 26","310"," 53"," 82","120","112"," 16"," 17","  8","  6","ACCRA",2009-09-19
" 48"," 74"," 65"," 95"," 95"," 39",NA,NA,"  6"," 10"," 30","200"," 50",NA,"113","135"," 35"," 20","  7","  6","TEMA",2009-09-19
" 58.0"," 55.0"," 58.0"," 80.0"," 80.0"," 22.0","150.0"," 40.0","  5.5","  8.0"," 22.0","100.0"," 80.0"," 85.0","140.0","155.0"," 16.0"," 15.0","  4.0","  5.5","SEKTDI",2009-09-19
" 34.0"," 70.0"," 55.0"," 85.0"," 85.0"," 20.0",NA,NA,"  3.5","  8.5"," 27.0","300.0"," 80.0","100.0","120.0","105.0"," 20.0"," 21.0","  3.0","  5.0","KDUA",2009-09-19
" 42.00"," 55.00"," 67.00"," 85.00"," 90.00"," 15.64","150.00"," 53.00","  4.00","  7.00"," 32.00"," 90.00"," 60.00"," 45.00","120.00","130.00","  8.00"," 10.00","  6.00","  5.00","CCOAST",2009-09-19
" 40.00"," 58.00"," 67.00"," 80.00"," 92.00"," 16.20"," 90.00"," 57.35","  3.30","  6.50"," 20.00"," 93.00"," 55.00"," 86.00","100.00"," 85.00"," 10.00"," 10.00","  4.00","  4.80","MKESSIM",2009-09-19
" 34.0"," 60.0"," 70.0"," 67.0"," 65.0"," 13.0"," 70.0"," 20.0","  2.5","  5.0"," 20.0","228.0"," 40.0","120.0"," 85.0","120.0",NA," 15.0","  3.2","  5.0","KUMASI",2009-09-19
" 20"," 60"," 70"," 72"," 85"," 15","100"," 30","  3","  7"," 20","210"," 50"," 60","110"," 80"," 15",NA,"  5","  5","EJURA",2009-09-19
" 55.0"," 38.0"," 69.0"," 80.0"," 85.0","  9.0"," 90.0"," 25.0","  4.5","  8.0"," 17.0","120.0"," 60.0","144.0","100.0","120.0",NA," 28.0","  4.0","  4.5","OBUASI",2009-09-19
" 28.0"," 43.0"," 61.0"," 70.0"," 72.0"," 30.0"," 50.0"," 40.0","  3.5","  5.0"," 25.0","140.0"," 40.0","150.0"," 90.0"," 90.0"," 20.0"," 18.0","  5.0","  4.6","SUNYANI",2009-09-19
" 24.61"," 50.00"," 70.00"," 66.00"," 70.00"," 20.00"," 90.00"," 60.00","  5.00","  6.50"," 25.71","150.00"," 60.00"," 84.00"," 85.00"," 80.00"," 18.00"," 18.00"," 20.00",NA,"TMAN",2009-09-19
"33.00","58.00","59.00","82.00",NA,"20.00","100.00","38.00","4.00","7.00","37.00#","224.00","55.00","60.00","147.00","115.00","11.00","23.00","4.00","5.70","HO",2009-09-19
" 32.0"," 40.0"," 80.0"," 88.0"," 60.0"," 15.0"," 80.0",NA,"  8.0","  7.0"," 29.0"," 90.0","120.0"," 45.0"," 80.0"," 60.0",NA,NA,"  9.0","  5.5","TAMALE",2009-09-19
"45.00","55.00","55.00","52.00","52.00","30.00","190.00","60.00","18.00","10.00","N/A","190.00","30.00","N/A","84.00","62.00","N/A",NA,"10.00","5.50","BOLGA",2009-09-19
" 32.14"," 57.14"," 69.00"," 64.38"," 62.28",NA," 50.00"," 60.00","  8.00",NA," 28.80",NA," 16.00","156.00"," 77.86"," 85.42",NA,NA," 10.00","  6.00","WA",2009-09-19
