"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 54.0"," 50.0"," 66.0"," 85.0"," 90.0"," 25.0","120.0"," 45.0","  8.0","  9.0"," 25.0","240.0"," 95.0"," 85.0","120.0","120.0"," 13.0"," 23.0","  8.0","  6.5","ACCRA",2009-12-26
" 58"," 78"," 66","100","100"," 40","150"," 30","  5","  7"," 30","250","100","120","110","120"," 40"," 30","  5","  6","TEMA",2009-12-26
" 58.0"," 70.0"," 60.0","100.0"," 80.0"," 24.0","140.0"," 40.0","  6.0","  8.0"," 24.0","120.0"," 50.0"," 80.0","150.0","140.0"," 15.0"," 14.0","  6.0","  5.5","SEKTDI",2009-12-26
" 40.0"," 70.0"," 54.0"," 95.0"," 90.0"," 25.0","140.0",NA,"  5.0"," 12.0"," 27.0","280.0"," 40.0"," 80.0","120.0","140.0"," 20.0"," 26.0","  2.5","  6.0","KDUA",2009-12-26
" 64.0"," 50.0"," 67.0"," 90.0"," 90.0"," 20.0","170.0"," 52.0","  4.5","  8.5"," 30.0","100.0"," 70.0"," 60.0","120.0","130.0"," 12.0"," 12.0","  4.0","  6.0","CCOAST",2009-12-26
" 75.0"," 55.0"," 70.0"," 90.0","100.0"," 19.5","170.0"," 56.5","  3.2","  5.6"," 20.0"," 80.0"," 48.0"," 20.0","110.0","110.0"," 13.0"," 14.0","  3.6","  6.0","MKESSIM",2009-12-26
" 59.0"," 60.0"," 70.0"," 65.0"," 60.0"," 12.0"," 90.0"," 30.0","  2.4","  5.5"," 20.0","168.0"," 45.0"," 56.0"," 85.0","110.0","  8.5"," 15.0","  3.2","  6.0","KUMASI",2009-12-26
" 35.0"," 45.0"," 55.0"," 55.0"," 60.0"," 16.0","100.0"," 37.5","  3.0","  5.0"," 20.0","120.0"," 12.0"," 20.0"," 80.0","120.0"," 20.0",NA,"  7.0","  5.0","EJURA",2009-12-26
" 70.0"," 40.0"," 68.0"," 80.0"," 85.0"," 12.0","140.0"," 35.0","  4.5"," 11.0"," 17.0","120.0"," 35.0"," 56.0","100.0","120.0"," 20.0"," 30.0","  4.0","  5.5","OBUASI",2009-12-26
" 32.00"," 42.50"," 68.75"," 70.00"," 72.00"," 30.00","100.00"," 45.00","  2.50","  3.80"," 25.00","100.00"," 16.00"," 60.00"," 90.00"," 95.00"," 25.00"," 20.00","  4.00","  5.00","SUNYANI",2009-12-26
" 32.0"," 48.0"," 70.0"," 80.0"," 79.0"," 16.0"," 96.0"," 48.0","  3.2","  5.5"," 26.0","210.0"," 18.0"," 56.0"," 92.0","107.0"," 25.0",NA,"  3.0","  6.0","TMAN",2009-12-26
"45.00","57.50","65.00","85.00",NA,"20.00","115.00","34.00","3.00","5.00","37.00#","224.00","55.00","60.00","153.00","123.00","8.00","24.00",NA,"6.00","HO",2009-12-26
" 35"," 30"," 70"," 72"," 60"," 35","200",NA,"  9"," 10"," 29"," 68"," 35"," 45"," 60"," 88",NA,NA,"  9","  6","TAMALE",2009-12-26
"40.00","50.00","52.00","53.00","56.00",NA,"200.00",NA,"14.00",NA,NA,"140.00","45.00","N/A","70.00","92.00","N/A",NA,NA,"7.00","BOLGA",2009-12-26
" 36.0"," 54.0"," 69.0"," 57.0"," 55.0"," 25.0"," 99.0",NA,"  8.0",NA," 29.0","320.0","  9.6"," 72.0"," 58.4"," 96.0",NA,NA," 10.0","  6.0","WA",2009-12-26
