"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 76"," 59"," 66"," 80"," 83"," 22","160"," 44"," 10"," 14"," 23","328"," 98"," 85","120","132",NA," 22","  9","  5","ACCRA",2009-07-04
" 83",NA," 64"," 93"," 90"," 35","200"," 35"," 10"," 15"," 30","300","155",NA,"120","144",NA," 26","  6","  6","TEMA",2009-07-04
" 85.0"," 50.0"," 46.5"," 90.0"," 80.0"," 28.0","160.0"," 30.0","  5.0","  8.0"," 25.0","150.0","100.0","120.0","140.0","150.0"," 16.0"," 15.0","  4.0","  5.5","SEKTDI",2009-07-04
" 65.0"," 70.0"," 55.0"," 80.0"," 85.0"," 23.0","155.0"," 26.0","  8.2"," 17.0"," 20.0","200.0"," 70.0",NA,"150.0","140.0"," 12.0"," 25.0","  4.5","  4.5","KDUA",2009-07-04
" 81.0"," 55.0"," 66.0"," 85.0"," 90.0"," 17.0","150.0"," 60.0","  6.0","  9.0"," 30.0"," 85.0","160.0"," 47.0","123.0","130.0","  7.0"," 20.0","  3.0","  5.5","CCOAST",2009-07-04
" 83.00"," 60.00"," 66.00"," 86.00"," 95.00"," 14.56","185.00"," 55.00","  4.00","  7.80"," 20.00"," 95.00","120.00"," 67.00","120.00","110.00"," 10.00"," 15.00","  4.00","  5.40","MKESSIM",2009-07-04
" 67.0"," 60.0"," 65.0"," 65.0"," 60.0"," 12.0"," 90.0"," 22.0","  3.0","  5.5"," 20.0","180.0"," 58.0","100.0"," 85.0","120.0",NA," 24.0","  3.5","  5.0","KUMASI",2009-07-04
" 44.4"," 60.0"," 55.0"," 85.0"," 80.0","  6.0","120.0"," 25.0","  4.5","  8.0"," 14.4","180.0"," 70.0","250.0"," 90.0","145.0"," 16.0",NA," 10.0","  5.0","EJURA",2009-07-04
" 90.0"," 44.0"," 68.0"," 80.0"," 85.0"," 13.0","140.0"," 25.0","  4.5"," 15.0"," 15.0","100.0"," 80.0"," 68.0","120.0","120.0",NA," 28.0","  4.0","  4.5","OBUASI",2009-07-04
" 56.0"," 42.5"," 63.0"," 68.0"," 65.0"," 13.0","150.0"," 45.0","  4.0","  5.0"," 25.0","120.0"," 58.0","120.0"," 90.0","110.0"," 20.0"," 25.0","  8.0","  4.5","SUNYANI",2009-07-04
" 50.00"," 60.00"," 70.00"," 75.00"," 60.00"," 11.00","120.00"," 40.00","  4.00","  5.00"," 25.71","240.00"," 65.00"," 98.00"," 70.00","110.00"," 17.00"," 25.00","  6.00","  4.50","TMAN",2009-07-04
" 64.0"," 55.0"," 64.0"," 82.0",NA," 34.0","147.0",NA,"  6.5","  9.0"," 32.0","256.0","145.0",NA,"142.0","115.0"," 11.0"," 23.0",NA,"  5.6","HO",2009-07-04
" 54.0"," 40.0"," 70.0"," 80.0"," 72.0"," 15.0",NA,NA,"  8.0","  6.0"," 28.0","137.0","100.0"," 75.0","104.0","104.0",NA,NA,"  9.0","  5.5","TAMALE",2009-07-04
"66.00","55.00","52.00","65.00","60.00","N/A","150.00","N/A","8.00","10.00","N/A","140.00","150.00","N/A","90.00","100.00","N/A",NA,"18.00","5.50","BOLGA",2009-07-04
" 48.21"," 53.57"," 65.00"," 62.60"," 60.34"," 25.00","160.00"," 50.00","  6.00"," 10.00"," 28.80","320.00","130.00","155.60"," 85.64","102.50",NA,NA," 10.00","  6.00","WA",2009-07-04
