"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 48"," 52"," 63"," 84"," 86"," 25"," 98"," 44","  9"," 10"," 26","283","110"," 87","110","115"," 16"," 20","  8","  6","ACCRA",2009-10-24
" 56"," 74"," 65"," 95"," 95"," 40","120"," 40","  6"," 10"," 30","200","113",NA,"113","120",NA," 22","  7","  6","TEMA",2009-10-24
" 54.0"," 70.0"," 58.0"," 90.0"," 85.0"," 40.0","160.0"," 45.0","  6.5","  8.0"," 22.0","150.0"," 80.0","120.0","160.0","140.0"," 16.0"," 15.0","  6.0","  5.0","SEKTDI",2009-10-24
" 39.0"," 70.0"," 65.0"," 85.0"," 85.0"," 20.0","100.0",NA,"  3.2","  7.8"," 27.0","280.0"," 40.0","100.0","134.0"," 95.0"," 20.0"," 25.0","  2.5","  5.0","KDUA",2009-10-24
" 46.0"," 55.0"," 67.0"," 85.0"," 90.0"," 17.0","160.0"," 53.0","  4.5","  8.0"," 32.0","120.0","110.0"," 80.0","120.0","130.0"," 12.0"," 10.0","  5.0","  5.0","CCOAST",2009-10-24
" 55.0"," 60.0"," 67.0"," 85.0"," 95.0"," 14.0","110.0"," 67.5","  3.2","  5.8"," 20.0"," 98.0","110.0"," 80.0","100.0","110.0","  8.0"," 14.0","  4.0","  5.0","MKESSIM",2009-10-24
" 38.0"," 55.0"," 70.0"," 69.0"," 65.0"," 11.0"," 86.0"," 20.0","  2.0","  4.8"," 21.0","210.0"," 70.0","120.0"," 80.0"," 94.0",NA," 21.0","  2.6","  5.0","KUMASI",2009-10-24
" 35"," 60"," 70"," 72"," 72","  9","120"," 25","  3","  5"," 20","195"," 60"," 60"," 80"," 95"," 12",NA,"  5","  5","EJURA",2009-10-24
" 60"," 35"," 68"," 80"," 85"," 10","110"," 30","  4"," 11"," 17","120"," 65"," 48","100","120",NA," 30","  4","  5","OBUASI",2009-10-24
" 32.0"," 42.5"," 63.0"," 70.0"," 72.0"," 25.0"," 80.0"," 36.0","  2.5","  4.5"," 25.0","140.0"," 50.0"," 50.0"," 90.0"," 90.0"," 15.0"," 20.0","  2.5","  4.7","SUNYANI",2009-10-24
" 32.31"," 40.00"," 70.00"," 75.00"," 70.00"," 18.00"," 90.00"," 45.00","  3.00","  5.00"," 20.57","245.00"," 50.00"," 84.00"," 75.00"," 90.00"," 18.00"," 15.00","  3.00","  4.50","TMAN",2009-10-24
"45.00","57.50","60.00","85.00",NA,"20.00","90.00","34.00","3.00","5.00","37.00#","220.00","85.00","60.00","153.00","115.00","11.00","23.00","4.00","5.70","HO",2009-10-24
" 36.0"," 30.0"," 70.0","100.0"," 64.0"," 22.0","100.0",NA,"  8.0","  7.0"," 28.0"," 68.0"," 80.0"," 38.0"," 64.0"," 80.0",NA,NA," 10.0","  5.5","TAMALE",2009-10-24
"32.00","49.00","52.00","50.00","55.00","20.00","180.00","28.00","19.00","17.00","N/A","120.00","25.00","N/A","68.00","62.00","N/A",NA,"12.00","7.00","BOLGA",2009-10-24
"35.71","53.57","69.00","71.54","66.18","25.00","66.67",NA," 8.00",NA,"28.80",NA,"21.18","46.67","77.86","82.00",NA,NA,"10.00"," 6.00","WA",2009-10-24
