"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 77"," 60"," 70"," 78"," 85"," 18","155"," 38"," 10"," 12"," 23","290","119","130","125","138"," 12"," 21","  7","  5","ACCRA",2009-05-30
" 83"," 53"," 64"," 80"," 80"," 35","200"," 30"," 12"," 16"," 30",NA,"150",NA,"119",NA,NA," 20","  6","  6","TEMA",2009-05-30
" 75.0"," 50.0"," 55.0"," 80.0"," 80.0"," 25.0","160.0"," 35.0","  5.0","  8.0"," 24.0","120.0"," 80.0","100.0","120.0","140.0"," 14.0"," 15.0","  4.0","  5.5","SEKTDI",2009-05-30
" 70"," 70"," 55"," 75"," 86"," 20","150"," 30","  6"," 16"," 20","200"," 80"," 70","150","130"," 25"," 20","  4","  4","KDUA",2009-05-30
" 79.0"," 55.0"," 66.0"," 85.0"," 90.0"," 16.0","130.0"," 47.0","  5.5","  8.0"," 30.0"," 85.0","160.0"," 55.0","123.0","130.0","  7.0"," 13.0","  3.0","  5.0","CCOAST",2009-05-30
" 85.00"," 54.00"," 70.00"," 93.00","160.00"," 15.50","180.00"," 48.26","  3.80","  8.20"," 18.00","100.00","160.00"," 85.00","140.00","115.00","  8.00"," 15.00","  3.70","  4.80","MKESSIM",2009-05-30
" 70.0"," 60.0"," 56.0"," 65.0"," 60.0"," 12.0","100.0"," 22.0","  3.0","  5.5"," 20.0","180.0"," 80.0"," 80.0"," 85.0","115.0",NA," 22.0","  3.5","  5.0","KUMASI",2009-05-30
" 70.0"," 60.0"," 60.0"," 70.0"," 50.0"," 10.0","150.0"," 50.0","  4.0","  5.0"," 14.4","160.0"," 70.0","170.0","100.0","140.0"," 20.0",NA,"  5.0","  5.0","EJURA",2009-05-30
" 90.0"," 40.0"," 67.0"," 80.0",NA," 13.0","140.0"," 30.0","  5.0"," 15.0"," 15.0","120.0","110.0","120.0","120.0","120.0",NA," 28.0","  4.0","  4.5","OBUASI",2009-05-30
" 56.0"," 42.5"," 58.2"," 65.0"," 65.0"," 30.0","120.0"," 36.0","  4.5","  6.0"," 24.0","110.0"," 70.0"," 80.0"," 90.0","110.0"," 12.0"," 25.0","  6.0","  4.2","SUNYANI",2009-05-30
" 53.84"," 34.00"," 70.00"," 60.00"," 55.00"," 12.00","100.00"," 35.00","  2.50","  4.00"," 20.57","280.00"," 60.00"," 70.00"," 80.00","100.00"," 17.50",NA,"  4.00","  4.50","TMAN",2009-05-30
" 73.0"," 57.5"," 63.0"," 82.0",NA," 35.0","140.0",NA,"  6.0",NA," 26.0","200.0",NA,NA,"142.0","115.0"," 13.0"," 23.0","  6.0","  5.7","HO",2009-05-30
" 64"," 30"," 70"," 68"," 60"," 16","120",NA," 10","  8"," 28","102","140"," 75","100","180",NA,NA,"  9","  5","TAMALE",2009-05-30
"51.00","50.00","56.00","54.00","52.00","N/A","150.00","N/A","N/A","N/A","N/A","120.00","200.00","N/A","90.00","100.00","N/A",NA,NA,"5.50","BOLGA",2009-05-30
" 50.00"," 50.00"," 65.00"," 57.23"," 54.00"," 23.00","140.00"," 50.00","  6.00","  8.00"," 28.00","205.71"," 75.00"," 55.40"," 81.75","102.50",NA,NA," 10.00","  6.00","WA",2009-05-30
