"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"54.00","90.00","N/A","75.00","84.00","83.00","24.00","130.00","53.00","5.00","7.00","41.00","165.00","113.00","82.00","154.00","143.00","16.00","32.00","7.00","7.00","ACCRA",2010-12-11
" 58"," 80"," 70"," 80","130","130"," 40","200"," 60","  6"," 15"," 40","200","150"," 50","150","190"," 50"," 40","  8","  7","TEMA",2010-12-11
" 58"," 50"," 52"," 60"," 85"," 80"," 28","220"," 70","  8"," 10"," 30",NA,"100","100","140","140"," 25"," 25","  7","  7","SEKTDI",2010-12-11
"55.00","65.00","N/A","60.00","90.00","90.00","25.00","140.00","75.00","6.00","6.50","50.00","200.00","60.00","80.00","140.00","140.00","24.00","42.00","6.00","6.00","KDUA",2010-12-11
" 67"," 60"," 62"," 80"," 90"," 95"," 17","180"," 80","  5"," 10"," 30","140","120"," 30","120","130"," 16"," 15","  6","  6","CCOAST",2010-12-11
" 68.0"," 65.0"," 63.0"," 78.0"," 90.0","100.0"," 14.0","140.0"," 67.0","  4.2","  7.0"," 29.0"," 82.0","100.0"," 28.0","120.0","130.0"," 18.0"," 15.0","  6.0","  6.4","MKESSIM",2010-12-11
" 43.0"," 50.0"," 46.0"," 73.0"," 65.0"," 57.0"," 20.0","147.0"," 30.0","  3.0","  5.0"," 23.0","100.0"," 40.0"," 60.0"," 90.0","130.0"," 11.0"," 22.0","  3.2","  7.0","KUMASI",2010-12-11
"35.00","45.00","30.00","70.00","55.00","54.00","12.00","150.00","50.00","3.00","9.00","31.00","90.00","30.00","30.00","90.00","120.00","20.00","N/A","9.00","5.00","EJURA",2010-12-11
" 65.0"," 48.0"," 65.0","108.0","115.0","120.0"," 10.0","240.0"," 60.0","  4.2","  5.2"," 19.0","118.0"," 55.0"," 40.0","100.0","120.0"," 20.0"," 25.0","  7.0","  6.2","OBUASI",2010-12-11
" 36.0"," 50.0"," 65.0"," 75.0"," 80.0"," 80.0"," 20.0","160.0"," 56.0","  3.0","  4.5"," 36.0"," 76.0"," 40.0"," 50.0","120.0","130.0"," 30.0"," 35.0","  6.0","  5.5","SUNYANI",2010-12-11
"31.00","37.00","45.00","70.00","72.00","72.00","21.00","130.00","85.00","2.50","5.00","29.00","170.00","31.00","40.00","93.00","121.00","35.00","N/A","5.00","5.50","TMAN",2010-12-11
"54.00","63.00","N/A","69.00","86.00","78.00","20.00","145.00","47.00","3.50","4.00","49.00","144.00","80.00","60.00","185.00","148.00","20.00","38.00","9.00","7.00","HO",2010-12-11
"36.00","40.00","36.00","68.00","60.00","60.00","45.00","100.00","N/A","8.00","9.00","43.00","42.00","120.00","N/A","100.00","112.00","N/A","N/A","8.00","7.00","TAMALE",2010-12-11
"38.00","55.00","N/A","64.00","51.00","52.00","40.00","105.00","N/A","N/A","N/A","32.00","N/A","100.00","N/A","118.00","98.00","N/A","N/A","N/A","7.50","BOLGA",2010-12-11
"36.00","54.00","36.00","54.00","61.00","51.00","35.00","90.00","N/A","9.50","N/A","32.00","213.00","21.00","84.00","109.00","109.00","N/A","N/A","10.00","6.00","WA",2010-12-11
