"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"57.00","72.00","N/A","73.00","85.00","85.00","23.00","213.00","50.00","19.00","23.00","27.00","230.00","65.00","58.00","153.00","159.00","23.00","23.00","7.00","7.00","ACCRA",2010-08-07
"67.00","80.00","60.00","70.00","100.00","100.00","40.00","N/A","45.00","8.00","12.00","30.00","250.00","50.00","140.00","145.00","200.00","30.00","25.00","9.00","6.00","TEMA",2010-08-07
" 50"," 70"," 60"," 60"," 85"," 80"," 30","150"," 48","  8"," 10"," 24","150"," 70"," 80","120","150"," 16"," 18","  6","  7","SEKTDI",2010-08-07
"62.00","65.00","50.00","55.00","95.00","90.00","25.00","N/A","N/A","10.00","15.00","27.00","300.00","30.00","80.00","140.00","160.00","20.00","30.00","6.00","6.00","KDUA",2010-08-07
" 67"," 60"," 60"," 70"," 90"," 90"," 20","200"," 80","  6"," 16"," 27","100"," 80","  7","120","130"," 40"," 13","  6","  6","CCOAST",2010-08-07
" 70.0"," 50.0"," 56.0"," 72.0"," 90.0","110.0"," 14.0","130.0"," 53.0","  4.0","  8.0"," 34.0"," 75.0"," 55.0"," 19.0","100.0","110.0"," 16.0"," 13.0","  4.0","  5.5","MKESSIM",2010-08-07
" 51.0"," 50.0"," 70.0"," 70.0"," 68.0"," 65.0"," 15.0","150.0"," 25.0","  4.0","  7.0"," 23.0","170.0"," 25.0"," 70.0"," 90.0","115.0"," 11.0"," 15.0","  3.5","  6.0","KUMASI",2010-08-07
"39.00","45.00","50.00","65.00","65.00","55.00","10.00","100.00","50.00","10.00","20.00","24.00","120.00","40.00","24.00","130.00","135.00","20.00","N/A","11.00","6.00","EJURA",2010-08-07
" 71.0"," 40.0"," 45.0"," 70.0","115.0","120.0"," 11.0","130.0"," 60.0","  6.0","  8.0"," 19.0","120.0"," 35.0"," 35.0","100.0","120.0"," 18.0"," 25.0","  7.0","  5.5","OBUASI",2010-08-07
" 40.0"," 50.0","120.0"," 70.0"," 80.0"," 80.0"," 30.0","120.0"," 72.0","  6.5","  9.0"," 25.0"," 60.0"," 40.0"," 30.0","150.0","150.0"," 20.0"," 25.0","  6.0","  5.0","SUNYANI",2010-08-07
" 36"," 40"," 42"," 75"," 78"," 65"," 18"," 65","  7","  7"," 10"," 26","140"," 31"," 42","100","120"," 26"," 25","  5","  5","TMAN",2010-08-07
" 54"," 60"," 86"," 62"," 86"," 78"," 24","175"," 48","  5","  6"," 34","175"," 30"," 60","163","156"," 17"," 25"," 10","  7","HO",2010-08-07
"34.00","32.00","28.00","66.00","60.00","48.00","50.00","N/A","N/A","9.00","15.00","30.00","100.00","100.00","58.00","80.00","120.00","30.00","N/A","9.00","7.00","TAMALE",2010-08-07
"36.00","50.00","35.00","60.00","50.00","52.00","N/A","180.00","N/A","N/A","N/A","24.00","190.00","190.00","N/A","110.00","N/A","N/A","N/A","N/A","7.00","BOLGA",2010-08-07
"36.00","54.00","56.00","69.00","57.00","55.00","35.00","160.00","N/A","9.00","N/A","52.00","267.00","120.00","46.00","101.00","119.00","N/A","N/A","10.00","6.00","WA",2010-08-07
