"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"48.00","80.00","N/A","74.00","78.00","82.00","24.00","133.00","52.00","4.00","7.00","30.00","150.00","157.00","62.00","136.00","151.00","16.00","30.00","6.00","6.00","ACCRA",2010-12-11
" 58"," 80"," 70"," 80","130","130"," 40","150"," 60","  5","  7"," 40","200","150"," 50","150","190"," 50"," 30","  8","  7","TEMA",2010-12-11
" 50.0"," 43.0"," 55.0"," 60.0"," 75.0"," 80.0"," 25.0","200.0",NA,"  6.0","  9.0"," 35.0","180.0","150.0"," 80.0","120.0","140.0"," 28.0"," 18.0","  6.0","  6.5","SEKTDI",2010-12-11
"65.00","65.00","N/A","60.00","90.00","90.00","25.00","140.00","70.00","5.00","6.50","50.00","200.00","70.00","80.00","140.00","140.00","24.00","40.00","6.00","6.00","KDUA",2010-12-11
" 67"," 60"," 62"," 75"," 90"," 90"," 16","180",NA,"  5"," 10"," 30","120","180"," 30","120","130"," 15"," 15","  5","  6","CCOAST",2010-12-11
" 67.0"," 60.0"," 63.0"," 75.0"," 90.0","100.0"," 14.0","130.0"," 70.0","  4.3","  7.5"," 30.0"," 80.0","170.0"," 29.0","120.0","130.0"," 16.0"," 17.0","  6.0","  6.0","MKESSIM",2010-12-11
" 42"," 50"," 42"," 72"," 62"," 55"," 18","145"," 28","  3","  5"," 22"," 90"," 65"," 44"," 92","130"," 18"," 20","  3","  7","KUMASI",2010-12-11
"35.00","35.00","30.00","70.00","70.00","65.00","12.00","150.00","50.00","3.00","9.00","31.00","120.00","70.00","40.00","90.00","130.00","20.00","N/A","9.00","5.00","EJURA",2010-12-11
" 65.0"," 48.0"," 65.0","108.0","115.0","120.0"," 10.0","240.0"," 60.0","  4.0","  5.0"," 19.0","118.0"," 80.0"," 63.0","100.0","120.0"," 17.0"," 25.0","  7.0","  5.5","OBUASI",2010-12-11
" 36"," 50"," 65"," 73"," 80"," 80"," 20","160"," 64","  3","  4"," 30"," 68"," 50"," 50","130","120"," 30"," 35","  5","  5","SUNYANI",2010-12-11
"31.00","43.00","45.00","78.00","55.00","55.00","21.00","82.00","95.00","3.00","6.00","35.00","100.00","25.00","28.00","90.00","120.00","26.00","N/A","5.00","5.50","TMAN",2010-12-11
"54.00","65.00","N/A","68.00","86.00","78.00","22.00","140.00","43.00","3.00","4.00","49.00","144.00","85.00","50.00","185.00","156.00","25.00","38.00","9.00","7.00","HO",2010-12-11
"36.00","40.00","36.00","68.00","60.00","60.00","45.00","100.00","N/A","8.00","9.00","43.00","42.00","120.00","N/A","100.00","112.00","N/A","N/A","8.00","7.00","TAMALE",2010-12-11
"36.00","51.00","N/A","62.00","52.00","52.00","43.00","102.00","N/A","N/A","N/A","28.00","N/A","86.00","N/A","99.00","88.00","N/A","N/A","N/A","7.50","BOLGA",2010-12-11
"36.00","54.00","37.00","69.00","61.00","55.00","35.00","90.00","N/A","9.00","N/A","32.00","213.00","17.00","40.00","97.00","109.00","N/A","N/A","10.00","6.00","WA",2010-12-11
