"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"58.00","70.00","N/A","71.00","86.00","88.00","25.00","267.00","50.00","21.00","26.00","27.00","238.00","277.00","105.00","140.00","159.00","19.00","25.00","7.00","6.00","ACCRA",2010-07-10
" 67"," 80"," 60"," 70","100","100"," 40","250"," 40"," 15"," 25"," 30","250","220","120","145","200"," 50"," 25"," 10","  6","TEMA",2010-07-10
" 54"," 65"," 90"," 60"," 85"," 80"," 35","180"," 40","  8"," 10"," 20","140","200"," 85","130","150"," 16"," 15","  6","  7","SEKTDI",2010-07-10
"60.00","65.00","N/A","55.00","95.00","90.00","23.00","315.00","N/A","12.00","21.00","27.00","300.00","180.00","40.00","140.00","160.00","20.00","26.00","7.00","5.50","KDUA",2010-07-10
"67.00","60.00","N/A","70.00","90.00","90.00","20.00","200.00","60.00","7.00","14.00","27.00","100.00","300.00","70.00","120.00","130.00","15.00","15.00","6.00","6.00","CCOAST",2010-07-10
"80.00","55.00","N/A","73.00","93.00","110.00","17.00","260.00","55.00","5.50","8.50","20.00","90.00","230.00","35.00","120.00","125.00","9.50","14.00","4.00","6.00","MKESSIM",2010-07-10
"50.00","50.00","N/A","70.00","70.00","60.00","15.00","200.00","26.00","2.50","6.00","22.00","180.00","90.00","90.00","95.00","120.00","9.00","14.00","3.50","6.50","KUMASI",2010-07-10
"39.00","45.00","60.00","65.00","65.00","65.00","12.00","150.00","55.00","11.00","25.00","24.00","180.00","70.00","20.00","120.00","130.00","20.00","N/A","11.00","6.00","EJURA",2010-07-10
"70.00","40.00","N/A","70.00","115.00","120.00","9.00","290.00","64.00","6.50","12.00","19.00","120.00","120.00","32.00","100.00","120.00","18.00","25.00","6.00","5.50","OBUASI",2010-07-10
" 40"," 50"," 80"," 73"," 80"," 80"," 30","220"," 72","  8"," 12"," 24","120","120"," 30","108","130"," 20"," 25","  8","  5","SUNYANI",2010-07-10
" 35"," 40"," 27"," 80"," 75"," 55"," 18","250"," 90","  7"," 10"," 23","200"," 44"," 50","100","120"," 21",NA,"  5","  5","TMAN",2010-07-10
" 54"," 63"," 72"," 62"," 86"," 78"," 22","350"," 46","  6","  7"," 35","200","220"," 80","153","156"," 17"," 23","  6","  7","HO",2010-07-10
"40.00","30.00","24.00","70.00","64.00","60.00","50.00","N/A","N/A","9.00","12.00","28.00","110.00","200.00","70.00","100.00","120.00","N/A","N/A","N/A","9.00","TAMALE",2010-07-10
"42.00","50.00","30.00","60.00","50.00","52.00","N/A","150.00","N/A","N/A","N/A","24.00","120.00","190.00","N/A","110.00","140.00","N/A","N/A","N/A","7.00","BOLGA",2010-07-10
"36.00","50.00","36.00","69.00","68.00","58.00","35.00","N/A","N/A","9.00","10.00","26.00","267.00","100.00","100.00","101.00","103.00","N/A","N/A","10.00","6.00","WA",2010-07-10
