"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"43.00","61.50","N/A","74.00","82.00","81.00","21.00","98.00","49.00","5.00","8.00","31.00","125.00","110.00","56.00","130.00","135.00","16.00","26.00","5.00","6.00","ACCRA",2010-11-06
" 58"," 80"," 70"," 72","100","100"," 40","200"," 60","  8"," 15"," 35","200","150"," 50","145","170"," 50"," 20","  8","  6","TEMA",2010-11-06
" 50.0"," 40.0"," 55.0"," 58.0"," 85.0"," 80.0"," 20.0","190.0"," 70.0","  8.0"," 10.0"," 28.0","160.0"," 80.0"," 80.0","130.0","160.0"," 30.0"," 25.0","  6.0","  6.5","SEKTDI",2010-11-06
"48.00","65.00","N/A","56.00","90.00","90.00","25.00","150.00","75.00","6.00","7.50","30.00","200.00","70.00","60.00","140.00","140.00","22.00","36.00","5.00","6.00","KDUA",2010-11-06
" 48.0"," 60.0"," 60.0"," 70.0"," 90.0"," 90.0"," 16.5","180.0"," 80.0","  5.0"," 13.5"," 28.0","100.0","100.0"," 70.0","120.0","130.0"," 15.0"," 13.0","  5.0","  6.0","CCOAST",2010-11-06
" 52.0"," 55.0"," 62.0"," 72.0"," 87.0"," 98.0"," 15.0","140.0"," 58.0","  3.5","  6.0"," 28.0"," 79.0","100.0"," 20.0","120.0","120.0"," 16.0"," 18.0","  4.0","  6.5","MKESSIM",2010-11-06
" 38.0"," 51.0"," 41.0"," 70.0"," 70.0"," 65.0"," 16.0","140.0"," 28.0","  3.0","  6.0"," 22.0","110.0"," 50.0"," 26.0","100.0","130.0"," 10.0"," 20.0","  3.6","  7.0","KUMASI",2010-11-06
"33.00","64.00","40.00","70.00","60.00","55.00","10.00","150.00","50.00","3.00","7.00","24.00","90.00","50.00","48.00","150.00","130.00","20.00","N/A","9.00","5.50","EJURA",2010-11-06
" 60.0"," 45.0"," 60.0","108.0","115.0","120.0","  9.5","140.0"," 58.0","  4.0","  5.0"," 19.0","118.0"," 70.0"," 40.0","100.0","120.0"," 17.0"," 25.0","  7.0","  5.5","OBUASI",2010-11-06
" 32"," 50"," 60"," 74"," 80"," 80"," 20","120"," 58","  3","  5"," 32"," 56"," 60"," 40","120","130"," 22"," 30","  5","  5","SUNYANI",2010-11-06
"31.00","44.00","54.00","78.00","58.00","58.00","21.00","90.00","105.00","3.00","5.00","31.00","100.00","40.00","28.00","85.00","120.00","26.00","N/A","5.00","5.00","TMAN",2010-11-06
" 45"," 60"," 72"," 67"," 86"," 78"," 23","135"," 44","  3","  4"," 41","144"," 80"," 50","196","156"," 20"," 37","  7","  7","HO",2010-11-06
"36.00","40.00","36.00","66.00","60.00","60.00","60.00","120.00","N/A","9.00","12.00","40.00","43.00","60.00","N/A","100.00","80.00","N/A","N/A","9.00","7.00","TAMALE",2010-11-06
"36.00","50.00","N/A","60.00","50.00","51.00","40.00","95.00","N/A","N/A","N/A","36.00","N/A","81.00","N/A","96.00","92.00","N/A","N/A","N/A","7.00","BOLGA",2010-11-06
"36.00","60.00","61.00","69.00","64.50","69.00","35.00","90.00","N/A","9.00","N/A","32.00","213.50","23.00","38.00","86.00","102.50","N/A","N/A","10.00","6.00","WA",2010-11-06
