"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"44.00","64.00","N/A","73.00","82.00","83.00","24.00","113.00","54.00","9.00","13.00","32.00","178.00","50.00","58.00","151.00","148.00","18.00","27.00","6.00","6.00","ACCRA",2010-10-02
" 50"," 80"," 70"," 70","100","100"," 40","100"," 50","  5"," 12"," 30","250"," 85"," 60","145","170"," 50"," 25","  9","  6","TEMA",2010-10-02
" 50.0"," 65.0"," 52.0"," 60.0"," 85.0"," 80.0"," 28.0","190.0"," 55.0","  7.0","  9.0"," 28.0","150.0"," 90.0","100.0","130.0","150.0"," 25.0"," 18.0","  6.0","  6.5","SEKTDI",2010-10-02
" 48"," 65"," 50"," 56"," 88"," 90"," 24","150"," 75","  5","  7"," 30","200"," 60"," 80","140","130"," 22"," 28","  5","  6","KDUA",2010-10-02
" 56"," 60"," 60"," 70"," 90"," 90"," 17","180",NA,"  6"," 13"," 28","100"," 80"," 70","120","130"," 15"," 13","  5","  6","CCOAST",2010-10-02
" 42.0"," 47.5"," 56.0"," 73.0"," 80.0"," 95.0"," 14.0"," 90.0"," 40.0","  3.0","  5.0"," 38.0"," 80.0"," 90.0"," 37.0","110.0","115.0"," 15.0"," 14.0","  4.0","  7.0","MKESSIM",2010-10-02
" 42"," 50"," 46"," 72"," 68"," 65"," 16","145"," 24","  4","  6"," 23","110"," 65"," 44","100","115"," 18"," 20","  3","  7","KUMASI",2010-10-02
"25.00","42.50","50.00","70.00","60.00","55.00","10.00","100.00","40.00","3.00","6.00","24.00","120.00","35.00","30.00","135.00","110.00","20.00","N/A","9.00","6.00","EJURA",2010-10-02
" 50.0"," 40.0"," 46.0"," 70.0","115.0","120.0","  9.0","130.0"," 58.0","  4.0","  5.0"," 19.0","118.0"," 55.0"," 40.0","100.0","120.0"," 17.0"," 30.0","  7.0","  5.5","OBUASI",2010-10-02
" 24"," 50"," 50"," 71"," 80"," 80"," 20","120"," 56","  4","  6"," 30"," 60"," 50"," 50","130","130"," 20"," 24","  5","  5","SUNYANI",2010-10-02
" 23.0"," 35.0"," 55.0"," 75.0"," 60.0"," 50.0"," 20.0","100.0"," 50.0","  4.0","  6.0"," 31.0","100.0"," 44.0"," 28.0","110.0","120.0"," 17.0"," 22.0","  5.0","  5.5","TMAN",2010-10-02
" 45"," 60"," 72"," 68"," 86"," 78"," 22","110"," 44","  4","  5"," 37","144"," 40"," 50","196","156"," 17"," 28","  5","  7","HO",2010-10-02
"30.00","32.00","N/A","59.00","64.00","56.00","45.00","100.00","N/A","8.00","15.00","30.00","110.00","70.00","22.00","120.00","100.00","N/A","N/A","8.00","7.00","TAMALE",2010-10-02
"36.00","50.00","46.00","60.00","50.00","50.00","40.00","80.00","N/A","N/A","N/A","24.00","80.00","80.00","N/A","100.00","N/A","N/A","N/A","N/A","7.00","BOLGA",2010-10-02
"39.00","53.00","44.00","69.00","57.00","58.00","35.00","90.00","N/A","9.00","N/A","31.00","136.00","30.00","46.00","116.00","109.00","N/A","N/A","10.00","6.00","WA",2010-10-02
