"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 54.0"," 57.5"," 67.0"," 85.0"," 85.0"," 29.0","153.0"," 48.0"," 11.0"," 13.0"," 25.0","240.0","120.0"," 87.0","120.0","145.0"," 13.0"," 28.0","  8.0","  8.0","ACCRA",2010-02-13
" 58"," 78"," 67","100","100"," 45","250"," 40","  5"," 10"," 30","250","100","120","110","120"," 40"," 20","  5","  6","TEMA",2010-02-13
" 65.0"," 65.0"," 58.0","100.0"," 85.0"," 18.0","190.0"," 48.0","  6.0","  8.5"," 24.0","100.0"," 80.0"," 60.0","140.0","140.0"," 16.0"," 14.0","  4.0","  6.0","SEKTDI",2010-02-13
" 44.0"," 60.0"," 54.0"," 95.0"," 90.0"," 24.0","160.0",NA,"  6.0"," 12.0"," 27.0","300.0"," 90.0","140.0","120.0","140.0"," 20.0"," 25.0","  3.0","  5.5","KDUA",2010-02-13
" 73.0"," 57.5"," 68.0"," 85.0"," 90.0"," 20.0","180.0"," 50.0","  4.5","  8.0"," 30.0","100.0"," 80.0"," 60.0","120.0","130.0"," 15.0"," 13.0","  6.0","  6.0","CCOAST",2010-02-13
" 85.0"," 60.0"," 75.0"," 94.0","100.0"," 20.0","200.0"," 54.0","  4.0","  6.3"," 19.0"," 95.0","130.0"," 50.0","120.0","125.0"," 10.0"," 14.5","  3.5","  6.0","MKESSIM",2010-02-13
" 46.0"," 57.5"," 70.0"," 68.0"," 50.0"," 20.0","120.0"," 30.0","  3.0","  5.5"," 20.0"," 90.0"," 60.0"," 88.0","120.0","125.0"," 11.0"," 14.0","  4.0","  6.5","KUMASI",2010-02-13
" 35"," 45"," 55"," 60"," 55"," 16","100"," 35","  3","  5"," 20","150"," 35","120"," 90","130"," 15",NA,"  6","  6","EJURA",2010-02-13
" 80.0"," 75.5"," 70.0","115.0","120.0"," 12.0","150.0"," 35.0","  5.0"," 12.0"," 17.0","120.0"," 60.0"," 56.0","100.0","120.0"," 12.0"," 30.0","  5.0","  5.5","OBUASI",2010-02-13
" 36.0"," 42.5"," 66.0"," 70.0"," 70.0"," 30.0","140.0"," 45.0","  2.5","  4.0"," 24.0","120.0"," 65.0","125.0"," 96.0","108.0"," 20.0"," 25.0","  5.0","  6.0","SUNYANI",2010-02-13
" 34.0"," 42.5"," 70.0"," 50.0"," 57.0"," 18.0","130.0"," 50.0","  3.5","  5.5"," 26.0","200.0"," 50.0"," 84.0"," 90.0","130.0"," 18.0",NA,"  6.0","  6.0","TMAN",2010-02-13
" 45.0"," 75.5"," 60.0"," 85.0",NA," 21.0","110.0"," 32.0","  3.5","  6.0"," 29.0","160.0"," 80.0"," 60.0","142.0","123.0","  4.0"," 27.0","  5.0","  6.5","HO",2010-02-13
" 36.0"," 26.0"," 60.0"," 64.0"," 44.0"," 30.0","140.0",NA,"  9.0"," 10.0"," 28.0"," 90.0"," 40.0"," 60.0"," 60.0","104.0",NA,NA,"  9.0","  6.5","TAMALE",2010-02-13
"40.00","55.00","57.00","52.00","63.00",NA,"160.00",NA,"15.00","12.00",NA,"150.00","35.00",NA,"90.00","86.00","N/A",NA,"10.00","7.00","BOLGA",2010-02-13
" 36.0"," 50.0"," 69.0"," 67.0"," 58.5"," 30.0"," 99.0",NA," 20.0","  8.0"," 29.0","267.0"," 33.0","100.0"," 85.5"," 97.0",NA,NA," 10.0","  6.0","WA",2010-02-13
