"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","Paddy Rice","town","date"
"59.00","74.00","71.00","85.00","86.00","26.00","233.00","50.00","19.00","25.00","27.00","244.00","510.00","113.00","142.00","160.00","18.00","25.00","7.00","7.00","N/A","ACCRA",2010-06-12
" 67"," 78"," 70"," 95","100"," 38","145"," 38"," 15"," 28"," 30","240","380","120","138","170"," 45"," 25"," 10","  6",NA,"TEMA",2010-06-12
"70.00","70.00","62.00","85.00","80.00","38.00","160.00","45.00","8.00","10.00","24.00","100.00","280.00","N/A","140.00","150.00","15.00","15.00","6.00","7.00","N/A","SEKTDI",2010-06-12
" 50.0"," 65.0"," 55.0"," 95.0"," 90.0"," 25.0","280.0",NA," 10.0"," 20.0"," 27.0","300.0","150.0"," 80.0","140.0","150.0"," 20.0"," 25.0","  6.0","  5.5",NA,"KDUA",2010-06-12
"67.00","60.00","70.00","90.00","90.00","20.00","220.00","N/A","6.00","15.00","27.00","100.00","320.00","70.00","120.00","130.00","15.00","15.00","5.00","6.00",NA,"CCOAST",2010-06-12
"90.00","62.50","75.00","100.00","120.00","19.00","250.00","60.00","6.00","8.50","20.00","110.00","300.00","49.00","135.00","130.00","9.00","13.00","4.00","6.00","N/A","MKESSIM",2010-06-12
"47.00","55.00","72.00","68.00","60.00","16.00","140.00","24.00","2.60","5.50","22.00","180.00","200.00","100.00","97.00","130.00","11.00","22.00","3.50","6.00","N/A","KUMASI",2010-06-12
"39.00","45.00","55.00","65.00","55.00","12.00","160.00","30.00","6.00","7.00","20.00","180.00","120.00","56.00","120.00","147.00","20.00","N/A","11.00","6.00","56.00","EJURA",2010-06-12
"72.00","40.00","70.00","115.00","120.00","11.00","200.00","60.00","7.00","13.00","17.00","120.00","230.00","60.00","100.00","120.00","18.00","30.00","6.00","5.50","N/A","OBUASI",2010-06-12
"44.00","45.00","67.00","72.00","75.00","30.00","210.00","60.00","6.50","8.00","25.00","120.00","200.00","120.00","98.00","120.00","20.00","25.00","8.00","5.40","N/A","SUNYANI",2010-06-12
"36.00","41.00","75.00","57.00","57.00","18.00","200.00","58.00","5.00","7.00","23.00","220.00","170.00","56.00","98.00","120.00","25.00","N/A","5.00","5.00","N/A","TMAN",2010-06-12
"54.00","62.50","62.00","86.00","N/A","20.00","320.00","46.00","6.00","9.00","29.00","200.00","300.00","80.00","153.00","156.00","19.00","24.00","8.00","7.00","90.00","HO",2010-06-12
"36.00","32.00","66.00","60.00","56.00","50.00","N/A","N/A","9.00","10.00","28.00","112.00","300.00","70.00","80.00","102.00","N/A","N/A","9.00","7.00","N/A","TAMALE",2010-06-12
"42.00","50.00","60.00","50.00","52.00","N/A","150.00","N/A","N/A","N/A","24.00","130.00","160.00","N/A","110.00","100.00","N/A","N/A","N/A","7.00","30.00","BOLGA",2010-06-12
"36.00","50.00","59.00","54.00","58.00","35.00","150.00","85.00","10.00","20.00","26.00","267.00","300.00","66.00","93.00","109.00","N/A","N/A","10.00","6.00","N/A","WA",2010-06-12
