"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","V20","town","date"
" 59.0"," 75.5"," 73.0"," 87.0"," 88.0"," 25.0","180.0"," 51.0"," 13.0"," 15.0"," 25.0","230.0","170.0","103.0","154.0","163.0"," 16.0"," 25.0","  8.0","  7.0","ACCRA",2010-05-08
" 67"," 79"," 68"," 95","100"," 38","160"," 38"," 15"," 20"," 30","235","185","120","138","170"," 40"," 23","  8","  6","TEMA",2010-05-08
" 55.0"," 65.0"," 60.0"," 85.0"," 80.0"," 35.0","150.0"," 45.0","  7.0","  9.0"," 24.0","150.0","180.0"," 80.0","150.0","120.0"," 14.0"," 15.0","  6.0","  7.5","SEKTDI",2010-05-08
" 50.0"," 60.0"," 55.0"," 95.0"," 90.0"," 25.0","220.0",NA,"  9.0"," 20.0"," 27.0","300.0","120.0"," 80.0","140.0","160.0"," 20.0"," 22.0","  9.0","  5.5","KDUA",2010-05-08
" 65"," 60"," 70"," 90"," 90"," 21","200"," 60","  6"," 12"," 25","100","180"," 70","120","130"," 15"," 13","  5","  6","CCOAST",2010-05-08
" 87.0"," 60.0"," 75.0"," 96.0","110.0"," 20.0","230.0"," 64.0","  7.0","  9.0"," 18.5","110.0","195.0"," 63.0","120.0","125.0"," 13.0"," 14.0","  4.0","  7.0","MKESSIM",2010-05-08
" 42.0"," 50.0"," 70.0"," 70.0"," 60.0"," 17.0","120.0"," 25.0","  2.5","  5.5"," 22.0","160.0","100.0"," 88.0"," 96.0","120.0","  8.5"," 15.0","  3.5","  7.0","KUMASI",2010-05-08
" 42"," 40"," 55"," 60"," 60","  9","100"," 30","  3","  5"," 20","150"," 90"," 28","110","130"," 16",NA," 10","  6","EJURA",2010-05-08
" 70"," 40"," 70","115","120"," 12","190"," 35","  6"," 11"," 17","120","150"," 48","100","120"," 18"," 30","  5","  5","OBUASI",2010-05-08
" 40.0"," 42.5"," 73.0"," 70.0"," 70.0"," 30.0","180.0"," 54.0","  6.0","  8.0"," 25.0","112.0","160.0"," 50.0"," 90.0","108.0"," 25.0"," 32.0","  8.0","  5.0","SUNYANI",2010-05-08
" 38.0"," 37.5"," 70.0"," 65.0"," 60.0"," 15.0","170.0"," 50.0","  5.0","  7.0"," 26.0","210.0","106.0"," 76.0"," 92.0","120.0"," 25.0",NA,"  5.0","  5.0","TMAN",2010-05-08
" 45.0"," 60.0"," 62.0"," 86.0",NA," 20.0","200.0"," 36.0","  5.5","  7.5"," 29.0","160.0","200.0"," 60.0","153.0","148.0"," 15.0"," 23.0","  4.0","  7.0","HO",2010-05-08
" 35"," 26"," 64"," 58"," 58"," 40","130",NA,"  8","  9"," 28"," 90","160"," 50"," 60","112",NA,NA," 10","  7","TAMALE",2010-05-08
"42.00","50.00","50.00","50.00","52.00",NA,"150.00",NA,NA,NA,NA,"140.00","95.00",NA,"90.00","100.00","N/A",NA,NA,"7.00","BOLGA",2010-05-08
" 36.0"," 50.0"," 69.0"," 61.0"," 40.0"," 30.0","120.0",NA," 20.0",NA," 26.0","267.0"," 27.0","116.0"," 93.4","109.0",NA,NA," 10.0","  6.0","WA",2010-05-08
