"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"50.00","65.00","N/A","74.00","80.00","79.00","27.00","120.00","53.00","10.00","14.00","31.00","163.00","51.00","65.00","146.00","139.00","19.00","27.00","7.00","7.00","ACCRA",2010-09-11
"50.00","80.00","60.00","70.00","100.00","100.00","40.00","N/A","45.00","8.00","20.00","30.00","250.00","70.00","60.00","145.00","180.00","50.00","25.00","8.00","6.00","TEMA",2010-09-11
" 60"," 60"," 57"," 55"," 90"," 80"," 26","150"," 50","  8"," 10"," 25","160","100"," 70","120","150"," 22"," 19","  6","  6","SEKTDI",2010-09-11
" 50.0"," 65.0"," 50.0"," 56.0"," 88.0"," 90.0"," 24.0","170.0"," 70.0","  5.5","  7.0"," 30.0","200.0"," 50.0"," 80.0","140.0","130.0"," 22.0"," 28.0","  4.0","  5.5","KDUA",2010-09-11
" 67"," 60"," 60"," 70"," 90"," 90"," 19","200"," 80","  5"," 14"," 28","100"," 75"," 70","120","130"," 15"," 13","  5","  6","CCOAST",2010-09-11
" 45.0"," 47.5"," 62.0"," 73.0"," 84.0"," 98.0"," 14.3","120.0"," 45.0","  3.3","  5.0"," 28.0"," 68.0"," 80.0"," 29.0","110.0","125.0"," 13.0"," 13.5","  3.7","  6.6","MKESSIM",2010-09-11
" 50.0"," 50.0"," 38.0"," 70.0"," 68.0"," 65.0"," 17.0","140.0"," 28.0","  4.2","  7.5"," 23.0","108.0"," 30.0"," 48.0","100.0","120.0"," 23.0"," 25.0","  3.4","  6.5","KUMASI",2010-09-11
"39.00","45.00","50.00","65.00","65.00","55.00","8.00","120.00","50.00","8.00","15.00","20.00","120.00","40.00","30.00","110.00","130.00","20.00","N/A","10.00","6.00","EJURA",2010-09-11
" 65.0"," 40.0"," 47.0"," 70.0","115.0","120.0","  9.5","125.0"," 58.0","  5.0","  7.2"," 19.0","118.0"," 45.0"," 40.0","100.0","120.0"," 18.0"," 25.0","  7.0","  5.5","OBUASI",2010-09-11
" 28.0"," 50.0"," 50.0"," 69.0"," 80.0"," 80.0"," 20.0"," 75.0"," 64.0","  4.5","  6.0"," 25.0"," 60.0"," 40.0"," 40.0","130.0","130.0"," 22.0"," 25.0","  6.0","  5.0","SUNYANI",2010-09-11
" 31.0"," 35.0"," 60.0"," 75.0"," 69.0"," 75.0"," 20.0"," 90.0"," 57.0","  3.7","  7.0"," 31.0","200.0"," 31.0"," 32.0","108.0"," 95.0"," 26.0"," 25.0","  5.0","  5.5","TMAN",2010-09-11
" 45.0"," 60.0"," 72.0"," 65.0"," 86.0"," 78.0"," 24.0","155.0"," 45.0","  5.0","  6.0"," 37.0","160.0"," 37.0"," 50.0","160.0","156.0"," 17.5"," 24.0","  5.0","  7.0","HO",2010-09-11
"35.00","30.00","24.00","76.00","70.00","60.00","50.00","120.00","N/A","10.00","25.00","28.00","110.00","60.00","40.00","100.00","120.00","28.00","N/A","9.00","7.00","TAMALE",2010-09-11
"36.00","50.00","45.00","60.00","50.00","52.00","40.00","90.00","N/A","N/A","N/A","24.00","80.00","80.00","N/A","110.00","N/A","N/A","N/A","N/A","7.00","BOLGA",2010-09-11
"36.00","53.50","43.80","69.00","57.20","53.40","53.00","66.60","N/A","9.00","N/A","31.70","267.20","27.00","40.00","267.00","102.50","31.7","N/A","10.00","6.00","WA",2010-09-11
