"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 54"," 55"," 66"," 85"," 90"," 26","125"," 45","  5","  6"," 24","200"," 80"," 85","115","120"," 16"," 24","  7","  6","ACCRA",2010-01-16
" 58"," 78"," 57","100","100"," 50","300"," 40","  8"," 12"," 30","250","100","120","110","120"," 40"," 25","  5","  6","TEMA",2010-01-16
" 65.0"," 70.0"," 62.0","100.0"," 85.0"," 18.0","140.0"," 38.0","  6.0","  8.0"," 24.0","100.0"," 80.0"," 60.0","150.0","130.0"," 16.0"," 12.0","  5.0","  5.5","SEKTDI",2010-01-16
" 45.0",NA," 54.0"," 95.0"," 90.0"," 25.0","150.0",NA,"  4.5","  9.0"," 27.0","300.0"," 80.0","120.0","120.0","140.0"," 28.0"," 28.0","  3.0","  5.5","KDUA",2010-01-16
" 64.0"," 50.0"," 67.0"," 90.0"," 90.0"," 22.0","180.0",NA,"  4.5","  8.0"," 30.0","100.0"," 60.0"," 60.0","120.0","130.0"," 40.0"," 12.0","  4.0","  6.0","CCOAST",2010-01-16
" 85.0"," 60.0"," 72.0"," 93.0","110.0"," 19.0","180.0"," 55.0","  3.0","  6.0"," 19.5"," 76.0"," 80.0"," 27.0","120.0","120.0"," 13.0"," 17.0","  4.0","  6.0","MKESSIM",2010-01-16
" 60.0"," 57.5"," 80.0"," 65.0"," 62.0"," 12.0"," 95.0"," 24.0","  3.5","  7.0"," 22.0","170.0"," 60.0"," 40.0"," 86.0","115.0"," 12.0"," 20.0","  3.0","  6.0","KUMASI",2010-01-16
" 40"," 45"," 55"," 60"," 60"," 14"," 60"," 70","  3","  5"," 20","120"," 35"," 40"," 90","120"," 15",NA,"  6","  6","EJURA",2010-01-16
" 80.0"," 40.0"," 70.0","115.0","120.0"," 12.0","140.0"," 35.0","  5.0"," 12.0"," 17.0","120.0"," 40.0"," 56.0","100.0","120.0"," 12.0"," 30.0","  5.0","  5.5","OBUASI",2010-01-16
" 36.0"," 42.5"," 69.0"," 70.0"," 72.0"," 30.0","110.0"," 45.0","  2.0","  3.5"," 25.0","100.0"," 25.0"," 75.0"," 92.0"," 95.0"," 20.0"," 25.0","  5.0","  5.0","SUNYANI",2010-01-16
" 34"," 42"," 69"," 60"," 64"," 16","140"," 46","  4","  6"," 26","280"," 27"," 56"," 90","150"," 25",NA,"  5","  6","TMAN",2010-01-16
"45.00","57.50","60.00","86.00",NA,"20.00","120.00","30.00","3.00","5.50","37.00#","200.00","100.00","80.00","142.00","123.00","5.00","24.00","5.00","6.50","HO",2010-01-16
" 35.0"," 36.0"," 65.0"," 56.0"," 60.0"," 34.0","160.0",NA,"  9.0"," 12.0"," 28.0"," 60.0"," 36.0"," 90.0"," 60.0","100.0",NA,NA,"  9.0","  6.5","TAMALE",2010-01-16
"40.00","60.00","52.00","53.00","56.00",NA,"160.00",NA,"13.00",NA,"38.00","140.00","96.00","N/A","90.00","92.00","N/A",NA,"10.00","7.00","BOLGA",2010-01-16
" 39"," 44"," 69"," 67"," 62"," 25","116",NA,"  8",NA," 29","267"," 26","116"," 78","102",NA,NA," 10","  6","WA",2010-01-16
