"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"56.00","65.00","N/A","70.00","81.00","82.00","23.00","220.00","50.00","17.00","22.00","26.00","224.00","450.00","70.00","136.00","155.00","16.00","25.00","7.00","7.00","ACCRA",2010-06-19
" 67"," 80"," 60"," 70","100","100"," 40","250"," 40"," 16"," 20"," 30","250","335","120","145","200"," 50"," 25"," 10","  6","TEMA",2010-06-19
" 68"," 70"," 11","140"," 65"," 80"," 35","160"," 48","  7","  9"," 24","120","280"," 80","130","145"," 18"," 17","  5","  7","SEKTDI",2010-06-19
"50.00","65.00","N/A","55.00","95.00","90.00","23.00","300.00","N/A","12.00","21.00","27.00","400.00","200.00","50.00","140.00","150.00","20.00","25.00","6.00","5.50","KDUA",2010-06-19
"67.00","35.00","N/A","90.00","120.00","90.00","20.00","200.00","60.00","6.00","12.00","27.00","100.00","300.00","70.00","120.00","130.00","15.00","16.00","4.00","6.00","CCOAST",2010-06-19
"80.00","60.00","N/A","73.00","95.00","110.00","18.00","160.00","57.00","6.00","9.00","20.00","96.00","300.00","40.00","125.00","130.00","10.00","14.00","4.00","6.00","MKESSIM",2010-06-19
"47.00","55.00","N/A","72.00","68.00","60.00","16.00","140.00","24.00","2.60","5.50","22.00","180.00","200.00","100.00","97.00","130.00","11.00","22.00","3.50","6.00","KUMASI",2010-06-19
"39.00","45.00","60.00","65.00","65.00","55.00","12.00","150.00","50.00","10.00","20.00","20.00","180.00","100.00","24.00","120.00","130.00","20.00","N/A","11.00","6.00","EJURA",2010-06-19
"72.00","40.00","N/A","70.00","115.00","120.00","11.00","200.00","60.00","7.00","13.00","17.00","120.00","230.00","60.00","100.00","120.00","18.00","30.00","6.00","5.50","OBUASI",2010-06-19
"40.00","45.00","N/A","67.00","72.00","75.00","30.00","200.00","63.00","7.00","9.00","24.00","120.00","150.00","25.00","100.00","120.00","20.00","25.00","8.00","5.50","SUNYANI",2010-06-19
"37.00","44.00","N/A","75.00","73.00","85.00","21.00","290.00","78.00","6.00","10.00","23.00","190.00","170.00","78.00","95.00","118.00","26.00","20.00","5.00","5.00","TMAN",2010-06-19
" 54.0"," 63.0"," 90.0"," 60.0"," 86.0"," 78.0"," 20.0","290.0"," 45.0","  6.5","  9.5"," 29.0","200.0","270.0"," 60.0","153.0","156.0"," 18.0"," 24.0","  5.0","  7.0","HO",2010-06-19
"37.00","29.00","24.00","68.00","60.00","60.00","50.00","N/A","N/A","8.00","9.00","28.00","110.00","250.00","70.00","80.00","112.00","N/A","N/A","9.00","7.00","TAMALE",2010-06-19
"42.00","50.00","30.00","60.00","50.00","52.00","N/A","180.00","N/A","N/A","N/A","24.00","130.00","170.00","N/A","110.00","140.00","N/A","N/A","N/A","7.00","BOLGA",2010-06-19
"36.00","50.00","N/A","59.00","54.00","58.00","35.00","150.00","85.00","10.00","20.00","26.00","267.00","300.00","66.00","93.00","109.00","N/A","N/A","10.00","6.00","WA",2010-06-19
