"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 51.0"," 57.5"," 66.0"," 86.0"," 88.0"," 25.0","158.0"," 48.0","  9.0"," 11.0"," 26.0","237.0","275.0"," 85.0","135.0","161.0"," 12.0"," 26.0","  6.0","  7.0","ACCRA",2010-03-20
" 58"," 80"," 67"," 95","100"," 35","145"," 38","  7"," 13"," 30","235",NA,"120","138","168",NA," 25","  7","  6","TEMA",2010-03-20
" 62"," 70"," 65","105"," 85"," 35","200"," 60","  6","  9"," 24","160","100","120","120","150"," 18"," 16","  5","  7","SEKTDI",2010-03-20
" 44.0"," 60.0"," 55.0"," 95.0"," 90.0"," 25.0","190.0",NA,"  6.5"," 15.0"," 27.0","300.0"," 80.0"," 60.0","130.0","150.0"," 20.0"," 23.0","  5.0","  6.0","KDUA",2010-03-20
" 81.0"," 60.0"," 70.0"," 90.0"," 90.0"," 23.0","180.0"," 65.0","  5.5"," 10.0"," 28.0","100.0","150.0"," 60.0","120.0","130.0"," 15.0"," 13.0","  5.0","  6.0","CCOAST",2010-03-20
" 85.0"," 55.0"," 73.0"," 95.0","110.0"," 22.0","220.0"," 50.0","  4.5","  7.0"," 20.0","100.0","150.0"," 60.0","120.0","130.0"," 10.0"," 14.0","  4.0","  6.5","MKESSIM",2010-03-20
" 46.0"," 57.5"," 68.0"," 67.0"," 54.0"," 15.0","100.0"," 28.0","  2.5","  5.0"," 22.0","140.0","100.0"," 56.0","100.0","130.0"," 10.0"," 15.0","  3.5","  6.5","KUMASI",2010-03-20
" 30"," 50"," 65"," 60"," 60"," 12","100"," 36","  3","  5"," 20","150"," 70"," 48","110","130"," 12",NA,"  6","  6","EJURA",2010-03-20
" 70.0"," 40.0"," 70.0","115.0","120.0"," 12.0","140.0"," 35.0","  7.0"," 11.0"," 17.0","120.0","120.0"," 50.0","100.0","120.0","  9.0"," 30.0","  5.0","  5.5","OBUASI",2010-03-20
" 36.0"," 42.5"," 67.0"," 70.0"," 70.0"," 30.0","140.0"," 45.0","  3.0","  4.5"," 24.0","100.0","120.0","120.0"," 90.0","108.0"," 20.0"," 28.0","  5.0","  5.5","SUNYANI",2010-03-20
" 31.0"," 40.0"," 75.0"," 60.0"," 60.0"," 21.0","130.0"," 35.0","  4.0","  5.0"," 26.0","210.0"," 75.0"," 84.0"," 80.0","120.0"," 18.0"," 22.0","  4.5","  6.0","TMAN",2010-03-20
" 45.0"," 60.0"," 63.0"," 86.0",NA," 20.0","160.0"," 35.0","  3.5","  7.0"," 29.0","160.0","140.0"," 80.0","163.0","135.0"," 15.0"," 30.0","  5.0","  7.0","HO",2010-03-20
" 36"," 32"," 66"," 52"," 56"," 30","110",NA,"  8","  9"," 28"," 90"," 80"," 60"," 60","104",NA,NA,"  9","  7","TAMALE",2010-03-20
"42.00","50.00","60.00","54.00","50.00",NA,"170.00",NA,NA,NA,NA,"110.00","46.00",NA,"90.00","100.00","N/A",NA,NA,"7.50","BOLGA",2010-03-20
" 36"," 46"," 69"," 57"," 58"," 30"," 99",NA," 20",NA," 29","267"," 29","116"," 97","102",NA,NA," 10","  6","WA",2010-03-20
