"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
" 59"," 68"," 74"," 86"," 88"," 25","170"," 50"," 12"," 14"," 26","228","255","103","153","160"," 16"," 27","  8","  7","ACCRA",2010-05-22
" 67"," 78"," 70"," 95","100"," 38","185"," 38"," 16"," 20"," 30","235","250","120","138","170"," 40"," 28"," 10","  6","TEMA",2010-05-22
" 52.0"," 65.0"," 55.0"," 85.0"," 80.0"," 28.0","160.0"," 45.0","  6.0","  8.0"," 24.0","180.0","250.0","150.0","120.0","140.0"," 18.0"," 16.0","  6.0","  7.5","SEKTDI",2010-05-22
" 50.0"," 60.0"," 55.0"," 95.0"," 90.0"," 25.0","230.0",NA," 10.0"," 20.0"," 27.0","300.0","100.0"," 80.0","140.0","160.0"," 20.0"," 23.0","  5.0","  5.5","KDUA",2010-05-22
" 65"," 60"," 70"," 90"," 90"," 21","180"," 60","  6"," 10"," 25","100","180"," 70","120","130"," 14"," 13","  4","  6","CCOAST",2010-05-22
" 88"," 60"," 74"," 97","110"," 22","250"," 52","  7","  9"," 19"," 98","220"," 47","120","125"," 13"," 13","  4","  6","MKESSIM",2010-05-22
" 42.0"," 55.0"," 70.0"," 68.0"," 62.0"," 16.0","140.0"," 28.0","  2.6","  5.4"," 22.0","160.0","120.0"," 40.0"," 95.0","120.0"," 12.0"," 14.0","  3.5","  6.5","KUMASI",2010-05-22
" 42.0"," 40.0"," 55.0"," 60.0"," 60.0","  9.0","100.0"," 30.0","  3.0","  5.0"," 20.0","150.0"," 90.0"," 28.0","110.0","130.0"," 15.0",NA," 10.0","  6.5","EJURA",2010-05-22
" 70.0"," 40.0"," 70.0","115.0","120.0"," 12.0","190.0"," 35.0","  6.0"," 10.0"," 17.0","120.0","170.0"," 48.0","100.0","120.0"," 18.0"," 30.0","  5.0","  5.5","OBUASI",2010-05-22
" 42.0"," 42.5"," 72.0"," 70.0"," 75.0"," 30.0","180.0"," 54.0","  5.0","  7.0"," 25.0","112.0","170.0"," 50.0"," 96.0","108.0"," 25.0"," 32.0","  8.0","  5.0","SUNYANI",2010-05-22
" 36.0"," 37.5"," 85.0"," 50.0"," 50.0"," 15.0","176.0"," 55.0","  4.0","  8.0"," 26.0","200.0"," 62.0"," 76.0","102.0","115.0"," 25.0",NA,"  5.0","  5.0","TMAN",2010-05-22
" 50.0"," 60.0"," 60.0"," 86.0",NA," 21.0","220.0"," 37.0","  4.5","  7.5"," 29.0","184.0","200.0"," 80.0","153.0","148.0"," 15.0"," 27.0","  4.5","  7.0","HO",2010-05-22
" 36"," 30"," 64"," 52"," 52"," 40","160",NA,"  9"," 10"," 28"," 91","140"," 60"," 60","104",NA,NA,"  9","  7","TAMALE",2010-05-22
"42.00","50.00","60.00","50.00","52.00",NA,"150.00",NA,NA,NA,"24.00","140.00","120.00",NA,"90.00","100.00","N/A",NA,NA,"7.00","BOLGA",2010-05-22
" 36.0"," 50.0"," 69.0"," 61.0"," 58.0"," 30.0","120.0",NA," 20.0",NA," 26.0","267.0"," 38.5","116.0"," 93.0","109.0",NA,NA," 10.0","  6.0","WA",2010-05-22
