"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Eggs Commercial","town","date"
" 54.0"," 56.5"," 66.0"," 86.0"," 88.0"," 26.0","145.0"," 50.0","  8.0"," 10.0"," 26.0","220.0","133.0"," 82.0","137.0","157.0"," 12.0"," 26.0","  7.0","  7.0","ACCRA",2010-02-27
" 58"," 78"," 67"," 95","100"," 40","160"," 38","  6"," 16"," 30","235","110","120","130","128"," 35"," 23","  6","  6","TEMA",2010-02-27
" 58"," 70"," 56","100"," 80"," 25","200"," 45","  6","  8"," 24","100","120"," 60","120","140"," 18"," 15","  6","  6","SEKTDI",2010-02-27
" 45"," 60"," 55"," 95"," 90"," 25","150",NA,"  6"," 13"," 27","300"," 90"," 80","120","140"," 20"," 23","  4","  6","KDUA",2010-02-27
" 73.0"," 55.0"," 90.0"," 90.0"," 90.0"," 22.0","180.0"," 60.0","  5.0","  8.5"," 30.0","100.0"," 90.0"," 60.0","120.0","130.0"," 15.0"," 12.0","  5.0","  6.0","CCOAST",2010-02-27
" 85.0"," 57.5"," 75.0"," 93.0","100.0"," 19.0","190.0"," 55.0","  3.5","  6.0"," 19.0"," 96.0","110.0"," 48.0","120.0","125.0","  8.5"," 16.0","  3.6","  6.0","MKESSIM",2010-02-27
" 54.0"," 60.0"," 70.0"," 70.0"," 58.0"," 18.0","110.0"," 25.0","  2.2","  5.0"," 20.0"," 90.0"," 55.0","100.0","105.0","120.0","  9.0"," 18.0","  3.8","  6.0","KUMASI",2010-02-27
" 35"," 45"," 55"," 60"," 55"," 12","100"," 30","  3","  5"," 20","150"," 35"," 44"," 90","130"," 15",NA,"  6","  6","EJURA",2010-02-27
" 80.0"," 40.0"," 70.0","115.0","120.0"," 12.0","150.0"," 35.0","  5.0"," 12.0"," 17.0","120.0"," 70.0"," 40.0","100.0","120.0","  9.0"," 30.0","  5.0","  5.5","OBUASI",2010-02-27
" 36.0"," 42.5"," 72.0"," 70.0"," 70.0"," 30.0","120.0"," 45.0","  2.0","  3.0"," 24.0","116.0"," 70.0","100.0"," 96.0","108.0"," 22.5"," 26.0","  5.0","  6.0","SUNYANI",2010-02-27
" 31.0"," 42.0"," 75.0"," 50.0"," 60.0"," 18.0","120.0"," 40.0","  3.0","  4.5"," 26.0","220.0"," 52.0"," 84.0"," 84.0","120.0"," 18.0"," 23.0","  5.0","  6.0","TMAN",2010-02-27
" 45.0"," 57.5"," 60.0"," 66.0",NA," 19.0","130.0"," 30.0","  3.0","  5.0"," 26.0","160.0","100.0"," 80.0","142.0","131.0","  4.0"," 26.0","  5.0","  7.0","HO",2010-02-27
" 35"," 30"," 64"," 60"," 56"," 30","120",NA,"  8"," 10"," 28"," 90"," 50"," 60"," 60","112",NA,NA,"  9","  7","TAMALE",2010-02-27
"42.00","55.00","58.00","52.00","65.00",NA,"160.00",NA,"15.00","12.00",NA,"150.00","35.00",NA,"90.00","87.00","N/A",NA,"10.00","7.00","BOLGA",2010-02-27
" 39.0"," 50.0"," 69.0"," 57.0"," 58.5"," 30.0","116.0",NA," 20.0","  8.0"," 28.0","267.0"," 19.3","100.0"," 86.0"," 99.0",NA,NA," 10.0","  6.0","WA",2010-02-27
