"Maize","Rice - Local","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","Livebird","Paddy Rice","town","date"
" 59"," 75"," 71"," 85"," 90"," 28","193"," 51"," 16"," 20"," 27","233","375","110","137","161"," 17"," 26","  8","  7",NA,NA,"ACCRA",2010-05-29
" 67"," 78"," 70"," 95","100"," 38","185"," 40"," 15"," 30"," 30","235","365","120","138","170"," 40"," 28"," 10","  6",NA,NA,"TEMA",2010-05-29
" 52.0"," 65.0"," 55.0"," 85.0"," 80.0"," 28.0","160.0"," 45.0","  6.0","  8.0"," 24.0","180.0","250.0","150.0","120.0","140.0"," 18.0"," 16.0","  6.0","  7.5",NA,NA,"SEKTDI",2010-05-29
" 50.0"," 60.0"," 55.0"," 95.0"," 90.0"," 25.0","240.0",NA,"  9.0"," 20.0"," 27.0","300.0","120.0"," 80.0","140.0","160.0"," 20.0"," 26.0","  5.0","  5.5",NA,NA,"KDUA",2010-05-29
" 67"," 60"," 70"," 90"," 90"," 20","180",NA,"  5"," 10"," 27","100","180"," 70","120","130"," 15"," 20","  4","  6",NA,NA,"CCOAST",2010-05-29
"88.00","60.00","76.00","100.00","120.00","18.00","250.00","62.00","8.00","10.00","20.00","110.00","220.00","58.00","125.00","130.00","10.00","14.00","4.25","6.80","N/A","","MKESSIM",2010-05-29
" 46.0"," 50.0"," 72.0"," 72.0"," 64.0"," 16.0","120.0"," 28.0","  3.0","  5.5"," 22.0","160.0","140.0"," 65.0"," 95.0","115.0"," 10.0"," 22.0","  3.5","  6.5",NA,NA,"KUMASI",2010-05-29
" 42.0"," 40.0"," 55.0"," 60.0"," 60.0","  9.0","100.0"," 30.0","  3.0","  5.0"," 20.0","150.0"," 90.0"," 28.0","110.0","130.0"," 15.0",NA," 10.0","  6.5",NA,NA,"EJURA",2010-05-29
"72.00","40.00","70.00","115.00","120.00","10.00","190.00","70.00","7.50","13.00","17.00","120.00","220.00","48.00","100.00","120.00","18.00","30.00","5.00","5.50","","N/A","OBUASI",2010-05-29
"48.00","43.00","72.00","75.00","75.00","30.00","180.00","54.00","5.50","8.00","25.00","112.00","250.00","120.00","98.00","108.00","20.00","30.00","8.00","5.00","","N/A","SUNYANI",2010-05-29
"36.00","38.00","65.00","62.00","65.00","15.00","200.00","54.00","4.50","8.00","26.00","210.00","90.00","76.00","110.00","115.00","25.00","18.00","5.00","5.00","","N/A","TMAN",2010-05-29
" 45.0"," 63.0"," 63.0"," 86.0",NA," 20.0","230.0"," 47.0","  6.0","  8.5"," 29.0","184.0","260.0"," 60.0","153.0","156.0"," 17.0"," 23.0","  5.0","  7.0",NA," 90.0","HO",2010-05-29
" 36.0"," 30.0"," 66.0"," 60.0"," 48.0"," 45.0","150.0",NA,"  9.0","  8.0"," 28.0"," 91.0","180.0"," 52.0"," 56.0","104.0",NA,NA,"  9.0","  6.5","  9.0",NA,"TAMALE",2010-05-29
"42.00","50.00","60.00","50.00","52.00",NA,"150.00",NA,NA,NA,"24.00","130.00","120.00",NA,"110.00","100.00","N/A",NA,NA,"7.00","","N/A","BOLGA",2010-05-29
"36.00","50.00","69.00","60.80","58.39","35.00","150.00","85.00","10.00","20.00","26.00","267.00","96.00","116.00","93.00","109.00",NA,NA,"10.00","6.00","N/A","","WA",2010-05-29
