"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"63.00","83.00","N/A","76.00","85.00","78.00","23.00","168.00","60.00","7.00","8.00","43.00","153.00","133.00","110.00","220.00","158.00","161.00","16.00","41.00","7.00","7.00","ACCRA",2011-02-05
" 60"," 76"," 60"," 75"," 80",NA," 70","200"," 40","  8","  8",NA,"120","220"," 60","200","170",NA," 60",NA,"  3","  6","TEMA",2011-02-05
" 62.0"," 70.0",NA," 52.0"," 90.0"," 85.0"," 30.0","250.0",NA,"  8.0"," 10.0"," 36.0",NA,"220.0","200.0","250.0","140.0","160.0"," 30.0"," 30.0","  7.0","  7.2","SEKTDI",2011-02-05
"65.00","65.00","N/A","66.00","90.00","90.00","27.00","150.00","78.00","6.50","7.00","30.00","200.00","70.00","120.00","170.00","141.00","180.00","20.00","42.00","6.00","6.50","KDUA",2011-02-05
" 82.0"," 65.0"," 64.0"," 80.0"," 95.0","110.0"," 16.0","200.0"," 70.0","  4.5","  7.5"," 32.0","120.0","220.0"," 55.0","320.0","130.0","140.0"," 14.0"," 15.0","  6.0","  6.5","CCOAST",2011-02-05
" 82.0"," 65.0"," 65.0"," 82.0"," 96.0","120.0"," 14.5","180.0"," 69.0","  5.0","  8.0"," 27.0"," 96.0","230.0"," 80.0","300.0","130.0","150.0"," 14.0"," 18.0","  6.0","  6.7","MKESSIM",2011-02-05
" 45.0"," 50.0"," 87.0"," 72.0"," 70.0"," 65.0"," 18.0","150.0"," 31.0","  3.6","  6.0"," 22.0","140.0"," 90.0","130.0","220.0"," 95.0","140.0"," 10.0"," 24.0","  3.5","  6.0","KUMASI",2011-02-05
"40.00","43.00","48.00","85.00","60.00","55.00","18.00","100.00","50.00","3.00","7.00","35.00","120.00","65.00","100.00","200.00","85.00","150.00","18.00","N/A","9.00","6.00","EJURA",2011-02-05
" 78"," 45"," 65","108","115","120"," 12","140"," 60","  6"," 10"," 30","120","105"," 80","200","140","130"," 15"," 45","  7","  7","OBUASI",2011-02-05
" 44.0"," 50.0"," 84.0"," 83.0"," 80.0"," 80.0"," 20.0","170.0"," 64.0","  3.0","  4.5"," 36.0","150.0"," 50.0","100.0","200.0","130.0","150.0"," 25.0"," 32.0","  6.0","  5.8","SUNYANI",2011-02-05
"35.00","43.00","47.00","90.00","64.00","63.00","17.00","165.00","118.00","3.00","5.00","22.00","140.00","50.00","80.00","170.00","100.00","140.00","26.00","N/A","3.50","5.50","TMAN",2011-02-05
"50.00","68.00","N/A","68.00","66.00","78.00","24.00","145.00","42.00","4.00","4.50","46.00","160.00","100.00","80.00","240.00","147.00","156.00","20.00","38.00","6.00","7.50","HO",2011-02-05
"38.00","33.00","30.00","70.00","60.00","60.00","70.00","120.00","N/A","7.00","8.00","40.00","67.00","80.00","N/A","150.00","120.00","120.00","N/A","N/A","9.00","7.00","TAMALE",2011-02-05
"42.00","50.00","N/A","65.00","50.00","52.00","40.00","100.00","N/A","N/A","N/A","28.00","N/A","45.00","N/A","180.00","112.00","98.00","N/A","N/A","7.00","N/A","BOLGA",2011-02-05
"39.00","54.00","36.00","69.00","72.00","58.00","36.00","99.00","N/A","10.00","N/A","40.00","267.00","15.00","134.00","250.00","117.00","126.00","N/A","N/A","10.00","6.00","WA",2011-02-05
