"Maize","Rice...Local","Paddy.Rice","Rice...Imported","Millet","Sorghum","Cassava","Yam..White.","Cocoyam","Plantain..Apentu.","Plantain..Apem.","Palm.Oil","Dried.Pepper","Tomatoes","Fresh.pepper","Cowpea","Groundnut..Red.","Palm.fruits","Smoked.Herrings","Oranges","Egg..Commercial.","town","date"
55,88,"N/A",75,83,83,25,152,"58.00","5.00","7.00",38,"175.00",150,"98.00",161,154,"19.00","37.00","7.00","7.00","ACCRA",2011-01-01
58,80," 70",80,130,130,40,150," 50","  5"," 12",40,"200",165," 70",170,200," 50"," 40","  8","  7","TEMA",2011-01-01
60,55,NA,60,85,80,28,200,NA,"  7.0","  9.0",35,"150.0",140," 80.0",130,140," 22.0"," 15.0","  6.5","  7.5","SEKTDI",2011-01-01
65,65,"N/A",60,90,90,26,140,"75.00","6.00","7.50",36,"250.00",130,"80.00",140,140,"24.00","38.00","6.00","7.00","KDUA",2011-01-01
76,60," 62",80,95,100,17,200," 80","  5","  8",38,"140",200," 50",130,140," 17"," 25","  7","  7","CCOAST",2011-01-01
75,60," 52.0",78,92,100,16,170," 68.0","  4.8","  7.0",34," 85.0",180," 42.0",130,140," 15.0"," 17.0","  7.0","  7.0","MKESSIM",2011-01-01
42,53," 45.0",72,66,54,20,140," 28.0","  3.2","  6.0",22,"120.0",22,"120.0",90,128," 10.0"," 20.0","  3.5","  7.0","KUMASI",2011-01-01
37,45,"30.00",70,55,54,15,200,"60.00","3.00","5.00",31,"120.00",45,"60.00",90,120,"20.00","N/A","9.00","5.00","EJURA",2011-01-01
65,49," 65.0",108,115,120,10,240," 60.0","  4.0","  5.0",19,"118.0",80," 80.0",100,120," 20.0"," 25.0","  2.5","  7.0","OBUASI",2011-01-01
36,50," 65.0",72,80,80,20,160," 64.0","  3.0","  4.5",36," 92.0",60,"150.0",120,130," 27.0"," 50.0","  6.0","  5.5","SUNYANI",2011-01-01
36,43,"34.00",73,58,55,21,150,"85.00","3.50","5.00",28,"160.00",44,"60.00",90,110,"35.00","N/A","4.00","6.00","TMAN",2011-01-01
54,67,"N/A",69,86,78,22,145,"43.00","3.00","4.00",49,"160.00",100,"80.00",142,150,"25.00","26.00","9.00","7.00","HO",2011-01-01
36,40,"36.00",68,60,60,45,120,"N/A","7.00","8.00",43,"42.00",9,"N/A",100,120,"N/A","N/A","8.00","7.00","TAMALE",2011-01-01
38,55,"N/A",62,57,52,45,115,"N/A","N/A","N/A",34,"N/A",80,"N/A",110,98,"N/A","N/A","N/A","N/A","BOLGA",2011-01-01
36,53,"36.00",69,64,55,35,90,"N/A","9.50","N/A",32,"213.00",27,"84.00",105,102,"N/A","N/A","10.00","6.00","WA",2011-01-01
