"Maize","Rice - Local","Paddy Rice","Imporetd Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"79.00","86.00","N/A","76.00","85.00","83.00","26.00","220.00","66.00","10.00","13.00","39.00","177.00","132.00","115.00","90.00","157.00","222.00","19.00","40.00","10.00","8.00","ACCRA",2011-06-04
" 92"," 80"," 70"," 80","100","100"," 40","300"," 40"," 10"," 30"," 30","200","150","150","101","146","280"," 50"," 35"," 10","  7","TEMA",2011-06-04
"100.00","50.00","65.00","60.00","90.00","80.00","28.00","240.00","N/A","8.00","10.00","30.00","N/A","180.00","150.00","120.00","140.00","190.00","30.00","35.00","7.00","7.50","SEKTDI",2011-06-04
"82.00","65.00","N/A","68.00","90.00","90.00","24.00","N/A","75.00","8.50","10.00","28.00","280.00","130.00","100.00","110.00","160.00","200.00","20.00","40.00","7.50","6.50","KDUA",2011-06-04
" 90.0"," 65.0"," 65.0"," 90.0","100.0","110.0"," 16.5","250.0"," 60.0","  6.0","  9.0"," 28.0","140.0","160.0"," 90.0","140.0","145.0","150.0","  8.0"," 25.0","  8.0","  6.0","CCOAST",2011-06-04
" 95.0"," 70.0"," 68.0"," 92.0","100.0","135.0"," 17.5","230.0"," 75.0","  8.0"," 10.0"," 26.0","120.0","180.0"," 76.0","120.0","160.0","175.0"," 15.0"," 17.0","  7.0","  7.6","MKESSIM",2011-06-04
" 83.0"," 58.0"," 90.0"," 76.0"," 75.0"," 70.0"," 20.0","160.0"," 25.0","  3.3","  5.5"," 22.0","105.0"," 60.0","100.0"," 90.0","100.0","150.0"," 11.0"," 25.0","  3.5","  7.0","KUMASI",2011-06-04
"67.00","55.00","50.00","75.00","75.00","62.00","12.00","200.00","50.00","8.00","15.00","35.00","120.00","75.00","80.00","100.00","155.00","220.00","18.00","N/A","12.00","6.00","EJURA",2011-06-04
"100.00","48.00","75.00","67.00","74.00","100.00","12.00","200.00","54.00","10.00","20.00","25.00","120.00","80.00","60.00","N/A","196.00","164.00","8.00","50.00","7.00","6.00","OBUASI",2011-06-04
" 68.0"," 50.0","100.0"," 91.0"," 85.0"," 80.0"," 20.0","240.0"," 56.0","  5.5","  6.0"," 30.0","125.0","160.0","120.0","120.0","140.0","170.0"," 18.0"," 35.0"," 10.0","  6.0","SUNYANI",2011-06-04
"64.00","43.00","48.00","81.00","72.00","65.00","23.00","240.00","60.00","4.50","7.00","18.00","150.00","69.00","72.00","N/A","120.00","200.00","46.00","N/A","7.00","6.00","TMAN",2011-06-04
"73.00","70.00","90.00","80.00","86.00","78.00","24.00","220.00","N/A","9.00","10.00","40.00","144.00","100.00","80.00","85.00","196.00","180.00","20.00","N/A","8.00","7.80","HO",2011-06-04
"60.00","44.00","36.00","72.00","68.00","60.00","60.00","150.00","N/A","10.00","12.00","43.00","52.00","120.00","N/A","95.00","140.00","168.00","N/A","N/A","N/A","8.00","TAMALE",2011-06-04
"60.00","75.00","40.00","70.00","70.00","54.00","60.00","120.00","N/A","10.00","10.00","28.00","N/A","200.00","N/A","90.00","N/A","N/A","N/A","N/A",NA,"7.00","BOLGA",2011-06-04
"54.00","58.00","55.00","70.00","64.00","62.00","36.00","140.00","N/A","10.00","N/A","40.00","137.00","175.00","100.00","130.00","125.00","154.00","N/A","N/A","20.00","7.00","WA",2011-06-04
