"Maize","Rice - Local","Imporetd Rice","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"77.00","92.00","107.00","N/A","91.00","88.00","26.00","170.00","66.00","10.00","14.00","41.00","165.00","113.00","65.00","133.00","168.00","240.00","24.00","34.00","10.00","8.00","ACCRA",2011-09-03
"71.00","90.00","105.00","70.00","130.00","130.00","40.00","N/A","50.00","6.00","15.00","30.00","200.00","80.00","60.00","170.00","150.00","300.00","50.00","40.00","10.00","7.00","TEMA",2011-09-03
"90.00","60.00","75.00","55.00","90.00","85.00","26.00","180.00","80.00","7.00","9.00","28.00","N/A","60.00","70.00","180.00","160.00","250.00","25.00","25.00","10.00","7.50","SEKTDI",2011-09-03
"72.00","68.00","100.00","N/A","90.00","90.00","23.00","150.00","70.00","8.50","9.00","31.00","250.00","80.00","50.00","140.00","160.00","305.00","24.00","25.00","4.00","6.50","KDUA",2011-09-03
" 90.0"," 80.0"," 78.5"," 67.0","100.0","110.0"," 17.0","200.0"," 80.0","  5.0","  8.0"," 30.0","140.0"," 70.0"," 90.0","180.0","140.0","230.0","  8.0"," 15.0","  8.0","  7.0","CCOAST",2011-09-03
" 90.0"," 83.0","115.0"," 75.0"," 90.0","130.0"," 15.0","150.0"," 87.0","  7.0","  9.2"," 32.0"," 70.0"," 42.0"," 89.0","170.0","145.0","230.0"," 20.0"," 12.5","  9.5","  7.2","MKESSIM",2011-09-03
" 85.0"," 60.5"," 73.0"," 86.0"," 75.0"," 74.0"," 18.0","145.0"," 35.0","  2.8","  6.0"," 23.0","150.0","100.0"," 45.0","145.0","105.0","210.0"," 11.0"," 24.0","  3.5","  7.0","KUMASI",2011-09-03
"46.00","57.50","80.00","60.00","70.00","70.00","10.00","150.00","50.00","5.00","10.00","35.00","90.00","30.00","40.00","130.00","130.00","170.00","26.00","N/A","12.00","6.00","EJURA",2011-09-03
"100.00","50.00","79.00","75.00","90.00","95.00","10.00","180.00","50.00","5.00","12.00","25.00","110.00","50.00","45.00","N/A","200.00","210.00","10.00","33.00","7.00","6.50","OBUASI",2011-09-03
" 52.0"," 65.0","109.0","100.0"," 85.0"," 85.0"," 15.0"," 90.0"," 64.0","  5.0","  5.0"," 32.0","110.0"," 60.0"," 40.0","160.0","130.0","185.0"," 25.0"," 28.0"," 10.0","  5.6","SUNYANI",2011-09-03
"69.00","56.00","85.00","48.00","80.00","80.00","20.00","113.00","80.00","5.00","12.00","10.00","150.00","40.00","44.00","130.00","80.00","180.00","30.00","N/A","5.00","5.00","TMAN",2011-09-03
"68.00","79.00","110.00","78.00","89.00","96.00","23.00","180.00","N/A","6.00","6.00","43.00","144.00","60.00","35.00","140.00","196.00","187.00","20.00","N/A","7.00","8.00","HO",2011-09-03
"52.00","54.00","84.00","40.00","72.00","68.00","50.00","120.00","N/A","10.00","15.00","43.00","38.00","N/A","50.00","94.00","160.00","120.00","N/A","N/A","50.00","8.00","TAMALE",2011-09-03
"60.00","65.00","68.00","40.00","70.00","70.00","60.00","120.00","N/A","10.00","12.00","28.00","N/A","N/A","200.00","N/A","N/A","N/A","N/A","10.00","N/A","7.00","BOLGA",2011-09-03
"64.00","71.00","106.00","55.00","72.00","78.00","35.00","80.00","N/A","15.00","20.00","43.00","267.00","50.00","25.00","150.00","117.00","184.00","N/A","N/A","20.00","7.00","WA",2011-09-03
