"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"57.00","84.00","N/A","76.00","79.00","78.00","24.00","187.00","58.00","7.00","10.00","36.00","160.00","128.00","117.00","N/A","148.00","170.00","13.00","43.00","8.00","7.00","ACCRA",2011-04-09
"67.00","80.00","70.00","80.00","130.00","130.00","40.00","300.00","45.00","8.00","12.00","40.00","200.00","120.00","120.00","N/A","180.00","280.00","50.00","35.00","10.00","7.00","TEMA",2011-04-09
" 60"," 43"," 60"," 56"," 90"," 85"," 30","250"," 80","  7","  9"," 28","160","150"," 85"," 90","160","180"," 30"," 30","  6","  7","SEKTDI",2011-04-09
"61.00","65.00","N/A","66.00","80.00","80.00","25.00","160.00","70.00","7.00","8.00","28.00","200.00","80.00","140.00","N/A","130.00","200.00","20.00","35.00","8.00","6.00","KDUA",2011-04-09
" 81"," 65"," 55"," 80","100","110"," 17","200"," 62","  5","  8"," 28","140","160"," 90","140","140","150","  9"," 19","  6","  6","CCOAST",2011-04-09
" 76.0"," 63.0"," 65.0"," 86.0"," 95.0","130.0"," 16.5","200.0"," 62.0","  5.0","  7.6"," 24.0","150.0","110.0"," 92.0","120.0","150.0","160.0"," 15.0"," 17.0","  6.5","  6.6","MKESSIM",2011-04-09
"50.00","55.00","80.00","70.00","68.00","64.00","10.00","145.00","24.00","3.00","5.70","22.00","150.00","80.00","120.00","N/A","100.00","130.00","9.00","22.00","3.40","7.00","KUMASI",2011-04-09
"50.00","45.00","50.00","75.00","60.00","55.00","6.00","200.00","50.00","2.00","4.00","35.00","90.00","60.00","60.00","80.00","130.00","150.00","18.00","N/A","8.00","6.00","EJURA",2011-04-09
"70.00","45.00","75.00","108.00","110.00","125.00","12.00","140.00","80.00","7.00","12.00","31.00","150.00","100.00","80.00","N/A","150.00","150.00","14.00","50.00","7.00","7.00","OBUASI",2011-04-09
" 44.0"," 50.0"," 65.0"," 80.0"," 80.0"," 80.0"," 25.0","180.0"," 56.0","  2.0","  3.0"," 30.0","115.0","100.0","100.0","120.0","130.0","160.0"," 18.0"," 30.0","  8.0","  5.5","SUNYANI",2011-04-09
"39.00","44.00","40.00","81.00","60.00","60.00","24.00","160.00","50.00","3.00","6.00","18.00","140.00","75.00","60.00","N/A","100.00","150.00","52.00","N/A","6.00","6.00","TMAN",2011-04-09
"54.00","68.00","90.00","70.00","86.00","78.00","22.00","155.00","45.00","5.00","5.00","37.00","144.00","100.00","80.00","N/A","153.00","156.00","20.00","35.00","8.00","7.50","HO",2011-04-09
"38.00","32.00","30.00","70.00","60.00","60.00","70.00","100.00","N/A","7.00","8.00","62.00","67.00","90.00","40.00","120.00","120.00","140.00","N/A","N/A","9.00","7.00","TAMALE",2011-04-09
"42.00","55.00","32.00","65.00","54.00","56.00","50.00","100.00","N/A","8.00","6.00","28.00","N/A","60.00","N/A","80.00","120.00",NA,"N/A","N/A","7.00","7.00","BOLGA",2011-04-09
"43.00","54.00","55.00","69.00","71.50","58.00","36.50","140.00","N/A","10.00","N/A","40.50","267.00","39.00","100.00","120.00","116.00","143.50","N/A","N/A","20.00","6.00","WA",2011-04-09
