"Maize","Rice - Local","Imporetd Rice","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"88.00","92.00","82.00","N/A","94.00","94.00","24.00","158.00","62.00","10.00","13.00","40.00","170.00","107.00","63.00","145.00","163.00","238.00","24.00","28.00","9.00","8.00","ACCRA",2011-08-13
"100"," 80"," 80"," 70","130","130"," 40","400"," 40","  8"," 15"," 30","220","100","100","130","150","340"," 50"," 35"," 25","  7","TEMA",2011-08-13
"100.0"," 60.0"," 85.0"," 65.0"," 90.0"," 85.0"," 25.0","200.0"," 90.0","  7.0"," 10.0"," 23.0","220.0","100.0"," 80.0","160.0","240.0","240.0"," 25.0"," 30.0"," 15.0","  7.5","SEKTDI",2011-08-13
"92.00","80.00","130.00","N/A","90.00","90.00","23.00","160.00","75.00","10.00","12.00","31.00","200.00","80.00","70.00","140.00","160.00","305.00","24.00","35.00","8.00","6.50","KDUA",2011-08-13
" 90"," 80","134"," 70","100","110"," 17","200"," 80","  5","  7"," 30","130"," 70"," 80","170","150","230","  8"," 12","  7","  7","CCOAST",2011-08-13
"100.0"," 90.0","134.0"," 65.0"," 92.0","130.0"," 14.0","200.0"," 80.0","  8.0"," 10.0"," 30.0"," 80.0"," 40.0"," 80.0","170.0","150.0","220.0"," 18.0"," 12.0","  8.0","  7.5","MKESSIM",2011-08-13
" 80.0"," 50.0"," 75.0"," 84.0"," 75.0"," 72.0"," 16.0","150.0"," 30.0","  3.2","  5.5"," 22.0","150.0","100.0"," 70.0","105.0","100.0","200.0"," 12.0"," 23.0","  3.2","  7.0","KUMASI",2011-08-13
"67.00","65.00","85.00","60.00","60.00","60.00","10.00","150.00","50.00","5.00","10.00","35.00","90.00","40.00","40.00","110.00","150.00","260.00","26.00","10.00","6.00","N/A","EJURA",2011-08-13
"100.00","48.00","110.00","75.00","90.00","95.00","10.00","140.00","45.00","5.00","7.00","25.00","100.00","25.00","50.00","N/A","200.00","210.00","10.00","20.00","7.00","6.50","OBUASI",2011-08-13
" 72"," 65","140","100"," 85"," 85"," 15","100"," 56","  6","  6"," 32"," 85"," 40"," 40","160","130","185"," 25"," 25"," 10","  6","SUNYANI",2011-08-13
" 69"," 55","135"," 48"," 70"," 70"," 24","220"," 70","  5"," 12"," 25","160"," 40"," 44","130","110","230"," 25"," 20","  5","  5","TMAN",2011-08-13
"77.00","88.00","121.00","78.00","89.00","100.00","24.00","230.00","N/A","9.00","9.00","43.00","144.00","N/A","50.00","120.00","185.00","190.00","20.00","34.00","9.00","8.00","HO",2011-08-13
"60.00","52.00","140.00","40.00","72.00","68.00","60.00","N/A","N/A","10.00","15.00","43.00","38.00","N/A","80.00","95.00","120.00","200.00","N/A","N/A","35.00","8.00","TAMALE",2011-08-13
"60.00","70.00","70.00","45.00","70.00","70.00","50.00","140.00","N/A","12.00","11.00","28.00","N/A","N/A","160.00","100.00","N/A","N/A","N/A","N/A","N/A","7.00","BOLGA",2011-08-13
"54.00","71.00","138.00","58.00","72.00","62.00","35.00","120.00","N/A","15.00","N/A","43.00","266.00","66.00","140.00","150.00","116.00","188.00","N/A","N/A","20.00","7.00","WA",2011-08-13
