"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"57.00","87.00","N/A","76.00","86.00","85.00","26.00","177.00","58.00","7.00","9.00","37.00","165.00","120.00","113.00","137.00","156.00","171.00","13.00","40.00","8.00","7.00","ACCRA",2011-03-12
" 67"," 80"," 70"," 80","130","130"," 35","300"," 50","  5","  7"," 40","200","120","120","120","170","220"," 50"," 35","  7","  7","TEMA",2011-03-12
"66.00","60.00","55.00","60.00","90.00","80.00","35.00","250.00","80.00","7.00","10.00","28.00","N/A","100.00","120.00","150.00","140.00","170.00","25.00","22.00","6.00","7.00","SEKTDI",2011-03-12
"61.00","65.00","N/A","66.00","90.00","90.00","26.00","150.00","75.00","6.00","7.00","30.00","250.00","75.00","120.00","120.00","140.00","180.00","20.00","40.00","6.00","6.00","KDUA",2011-03-12
" 80.0"," 75.0"," 65.0"," 90.0"," 95.0","110.0"," 17.0","180.0"," 60.0","  5.0","  8.0"," 24.0","140.0","140.0"," 90.0","150.0","130.0","140.0"," 14.0"," 17.0","  7.0","  6.5","CCOAST",2011-03-12
" 78.0"," 65.0"," 64.0"," 82.0","100.0","120.0"," 16.5","180.0"," 60.0","  5.0","  7.0"," 22.0","140.0","120.0"," 92.0","140.0","140.0","150.0"," 10.0"," 16.0","  6.0","  6.7","MKESSIM",2011-03-12
" 50.0"," 55.0"," 83.0"," 72.0"," 70.0"," 65.0"," 12.0","135.0"," 25.0","  3.5","  6.2"," 22.0","150.0"," 80.0","200.0","110.0","100.0","130.0"," 10.0"," 22.0","  3.5","  6.0","KUMASI",2011-03-12
"38.00","45.00","40.00","85.00","60.00","55.00","9.00","150.00","50.00","3.00","7.00","35.00","120.00","120.00","70.00","100.00","109.00","150.00","18.00","N/A","8.00","6.00","EJURA",2011-03-12
"70.00","45.00","75.00","108.00","100.00","120.00","12.00","140.00","60.00","5.50","10.00","30.00","150.00","70.00","120.00","N/A","186.00","150.00","14.00","50.00","7.00","7.00","OBUASI",2011-03-12
" 44.0"," 50.0"," 65.0"," 81.0"," 80.0"," 80.0"," 25.0","180.0"," 56.0","  2.0","  3.0"," 36.0","125.0","120.0","112.0","150.0","130.0","150.0"," 20.0"," 30.0","  7.5","  5.7","SUNYANI",2011-03-12
"35.00","40.00","43.00","80.00","62.00","60.00","18.00","160.00","60.00","3.00","6.50","18.00","180.00","60.00","60.00","130.00","100.00","157.00","52.00","N/A","4.00","6.00","TMAN",2011-03-12
" 45.0"," 67.0"," 90.0"," 68.0"," 86.0"," 78.0"," 23.0","155.0"," 43.0","  4.5","  4.5"," 37.0","144.0"," 80.0"," 80.0","160.0","153.0","156.0"," 20.0"," 34.0","  7.0","  7.5","HO",2011-03-12
"38.00","20.00","30.00","70.00","60.00","60.00","70.00","80.00","N/A","7.00","8.00","56.00","67.00","60.00","40.00","280.00","120.00","120.00","N/A","N/A","9.00","7.00","TAMALE",2011-03-12
"42.00","50.00","N/A","65.00","55.00","60.00","40.00","100.00","N/A","8.00","6.00","28.00","N/A","45.00","N/A","140.00","120.00",NA,"N/A","N/A","N/A","7.00","BOLGA",2011-03-12
"43.00","54.00","43.00","69.00","71.00","62.00","36.00","140.00","N/A","10.00","N/A","40.00","267.00","21.00","100.00","120.00","117.00","136.00","N/A","N/A","10.00","6.00","WA",2011-03-12
