"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"69.00","109.00","54.50","135.00","81.00","N/A","86.00","84.00","25.00","160.00","69.00","8.00","11.00","39.00","158.00","72.00","123.00","223.00","164.00","228.00","24.00","42.00","9.00","8.00","ACCRA",NA
" 75","110"," 50","130"," 90"," 70"," 90","100"," 40","200"," 50","  5"," 12"," 30","150"," 70","150","230","150","320"," 50"," 35"," 10","  7","TEMA",NA
"75.00","70.00","32.50","110.00","85.00","64.00","110.00","100.00","37.00","200.00","70.00","10.00","9.00","32.00","N/A","80.00","120.00","180.00","160.00","250.00","35.00","28.00","7.00","7.50","SEKTDI",NA
"92.00","80.00","55.00","130.00","70.00","N/A","90.00","90.00","23.00","N/A","70.00","5.00","6.50","31.00","200.00","40.00","70.00","235.00","160.00","280.00","24.00","40.00","6.00","7.00","KDUA",NA
" 87.0"," 90.0"," 35.0"," 70.0"," 90.0"," 70.0","100.0","110.0"," 17.0","200.0"," 70.0","  5.0","  8.0"," 30.0","140.0","100.0","100.0","230.0","150.0","200.0"," 10.0"," 15.0","  7.0","  6.5","CCOAST",NA
" 80.0"," 88.0"," 70.0","140.0"," 93.0"," 73.0"," 93.0","130.0"," 15.3","140.0"," 98.0","  5.0","  6.8"," 34.0"," 85.0"," 32.0","110.0","200.0","150.0","200.0"," 26.0"," 16.0","  5.0","  7.0","MKESSIM",NA
" 67.0"," 60.0"," 66.0"," 90.0"," 70.0"," 92.0"," 80.0"," 80.0"," 14.0","110.0"," 32.0","  3.2","  6.0"," 30.0","100.0"," 28.0"," 55.0","200.0","105.0","215.0"," 12.0"," 35.0","  3.7","  7.2","KUMASI",NA
"90.00","65.00","65.00","85.00","85.00","60.00","70.00","70.00","10.00","150.00","60.00","7.00","10.00","40.00","N/A","30.00","50.00","200.00","150.00","260.00","26.00","N/A","9.00","6.50","EJURA",NA
"87.00","48.00","45.00","120.00","72.00","90.00","100.00","97.00","11.00","200.00","50.00","3.00","6.00","28.00","125.00","25.00","60.00","N/A","157.00","197.00","10.00","27.00","7.00","6.50","OBUASI",NA
" 52.0"," 65.0"," 65.0","140.0"," 88.0","100.0"," 30.0"," 90.0"," 15.0","120.0"," 63.0","  3.5","  4.0"," 32.0","110.0"," 30.0"," 50.0","250.0","140.0","220.0"," 45.0"," 45.0","  6.0","  5.6","SUNYANI",NA
"50.00","60.00","55.00","140.00","90.00","65.00","65.00",NA,"23.00","180.00","70.00","6.00","8.00","23.00","90.00","25.00","38.00","250.00","120.00","220.00","60.00","N/A","5.00","6.00","TMAN",NA
"64.00","90.00","70.00","135.00","85.00","90.00","89.00","100.00","24.00","145.00","N/A","4.00","4.00","43.00","144.00","75.00","70.00","250.00","196.00","205.00","25.00","40.00","8.00","8.00","HO",NA
"48.00","60.00","56.00","195.00","83.00","40.00","72.00","80.00","50.00","100.00","N/A","8.00","10.00","43.00","67.00","12.00","80.00","200.00","120.00","200.00","N/A","N/A","24.00","8.00","TAMALE",NA
"50.00","75.00","65.00","70.00","65.00","45.00","70.00","50.00","N/A","90.00","N/A","8.00","10.00","28.00","N/A","N/A","120.00","120.00","N/A","N/A","N/A","N/A","N/A","7.00","BOLGA",NA
"57.00","N/A","80.00","70.00","70.00","58.00","78.00","85.00","N/A","90.00","N/A","N/A","N/A","57.00","213.00","75.00","27.00","200.00","116.00","170.00","N/A","N/A","20.00","7.00","WA",NA
