"Maize","Rice - Local","Paddy Rice","Rice - Imported","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"57.00","88.00","N/A","76.00","85.00","85.00","26.00","165.00","58.00","7.00","9.00","41.00","155.00","130.00","100.00","137.00","155.00","19.00","38.00","7.00","7.00","ACCRA",2011-01-15
" 67"," 80"," 70"," 80","130","130"," 40","250"," 50","  5"," 12"," 40","200","250"," 70","170","200"," 50"," 35","  7","  7","TEMA",2011-01-15
" 62"," 70"," 58"," 50"," 85"," 80"," 30","250"," 70","  8"," 20"," 36","200","180","130","140","160"," 25"," 25","  6","  7","SEKTDI",2011-01-15
"65.00","70.00","N/A","66.00","90.00","90.00","27.00","160.00","77.00","6.50","7.50","30.00","280.00","150.00","120.00","140.00","180.00","24.00","30.00","6.00","7.00","KDUA",2011-01-15
" 81"," 65"," 62"," 80"," 95","100"," 18","180"," 80","  5","  8"," 38","120","170"," 50","130","140"," 14"," 17","  7","  7","CCOAST",2011-01-15
" 80.0"," 65.0"," 62.0"," 78.0"," 95.0","100.0"," 17.0","160.0"," 70.0","  5.0","  8.0"," 30.0"," 86.0","160.0"," 53.0","130.0","140.0"," 16.0"," 15.0","  7.0","  6.5","MKESSIM",2011-01-15
" 45.0","100.0"," 45.0"," 72.0"," 70.0"," 60.0"," 18.0","140.0"," 32.0","  4.0","  6.0"," 22.0","140.0"," 80.0","160.0"," 95.0","140.0","  9.0"," 25.0","  3.5","  6.5","KUMASI",2011-01-15
"40.00","43.00","48.00","85.00","60.00","55.00","18.00","100.00","50.00","3.00","7.00","35.00","120.00","65.00","100.00","85.00","150.00","18.00","N/A","9.00","6.00","EJURA",2011-01-15
" 75"," 45"," 65","108","115","120"," 10","140"," 60","  6"," 10"," 30","120","130"," 80","100","125"," 20","  4","  7","  6","OBUASI",2011-01-15
" 44.0"," 50.0"," 82.6"," 82.0"," 80.0"," 80.0"," 18.0","170.0"," 64.0","  3.2","  4.0"," 36.0","150.0"," 60.0"," 81.0","130.0","140.0"," 25.0"," 30.0","  6.0","  5.5","SUNYANI",2011-01-15
"38.00","43.00","34.00","80.00","60.00","50.00","32.00","160.00","70.00","4.00","5.50","25.00","160.00","56.00","60.00","160.00","120.00","26.00","N/A","4.00","6.00","TMAN",2011-01-15
"50.00","68.00","N/A","68.00","86.00","78.00","18.00","154.00","45.00","3.00","3.00","49.00","184.00","85.00","100.00","153.00","156.00","20.00","30.00","8.50","7.00","HO",2011-01-15
"38.00","32.00","25.00","68.00","60.00","60.00","36.00","100.00","N/A","7.00","8.00","40.00","67.00","100.00","40.00","120.00","120.00","N/A","N/A","9.00","7.00","TAMALE",2011-01-15
"42.00","100.00","N/A","65.00","50.00","52.00","N/A","100.00","N/A","N/A","N/A","N/A","N/A","45.00","N/A","110.00","98.00","N/A","N/A","N/A","7.00","BOLGA",2011-01-15
"39.00","54.00","37.00","69.00","57.00","58.00","35.00","99.00","N/A","9.50","N/A","32.00","267.00","29.00","134.00","110.00","119.00","N/A","N/A","10.00","6.00","WA",2011-01-15
