"Maize","Rice - Local","Imporetd Rice","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"84.00","72.00","82.00","N/A","86.00","83.00","25.00","227.00","64.00","12.00","14.00","40.00","187.00","138.00","187.00","130.00","165.00","215.00","20.00","42.00","9.00","8.00","ACCRA",2011-06-18
" 83"," 80"," 80"," 70","100","100"," 40","400"," 50"," 10"," 20"," 30","200","130","250","120","146","280"," 50"," 35"," 10","  7","TEMA",2011-06-18
"100.0"," 45.0"," 60.0"," 55.0","100.0"," 85.0"," 32.0","280.0"," 80.0","  6.0","  9.0"," 30.0","280.0","150.0","250.0","120.0","140.0","200.0"," 28.0"," 30.0"," 10.0","  7.5","SEKTDI",2011-06-18
"82.00","65.00","68.00","N/A","90.00","90.00","24.00","N/A","75.00","8.50","10.00","28.00","250.00","100.00","150.00","N/A","160.00","240.00","20.00","40.00","7.50","6.50","KDUA",2011-06-18
" 93.0"," 65.0"," 80.0"," 65.0","100.0","110.0"," 17.0","250.0"," 80.0","  6.0","  9.0"," 28.0","140.0"," 90.0","180.0","150.0","140.0","150.0","  9.0"," 25.0","  8.0","  6.5","CCOAST",2011-06-18
" 96.0"," 75.0"," 93.0"," 68.0","100.0","135.0"," 17.0","260.0"," 70.0","  8.0","  9.5"," 25.0"," 90.0"," 50.0","200.0","120.0","180.0","200.0"," 15.0"," 16.0","  6.5","  7.6","MKESSIM",2011-06-18
"75.00","55.00","75.00","85.00","75.00","70.00","15.00","150.00","32.00","3.20","6.00","22.00","150.00","100.00","70.00","N/A","100.00","200.00","12.00","24.00","3.00","7.00","KUMASI",2011-06-18
"63.00","55.00","75.00","50.00","75.00","62.00","8.00","200.00","50.00","7.00","15.00","35.00","90.00","100.00","90.00","100.00","130.00","220.00","18.00","N/A","12.00","6.00","EJURA",2011-06-18
"100.00","48.00","67.00","75.00","94.00","100.00","10.00","100.00","47.00","10.00","15.00","25.00","125.00","80.00","130.00","N/A","180.00","185.00","10.00","50.00","7.00","6.00","OBUASI",2011-06-18
" 56"," 50"," 87","150"," 85"," 85"," 20","260"," 56","  5","  6"," 30","125"," 88","200","130","140","170"," 22"," 30"," 10","  6","SUNYANI",2011-06-18
"55.00","50.00","81.00","50.00","77.00","65.00","24.00","240.00","60.00","5.00","7.00","18.00","190.00","72.00","94.00","N/A","100.00","170.00","46.00","N/A","7.00","6.00","TMAN",2011-06-18
"73.00","70.00","85.00","90.00","89.00","83.00","24.00","220.00","N/A","14.00","14.00","40.00","144.00","60.00","175.00","90.00","185.00","187.00","20.00","37.00","10.00","8.50","HO",2011-06-18
"50.00","34.00","72.00","36.00","80.00","60.00","60.00","150.00","N/A","9.00","10.00","43.00","52.00","N/A","200.00","95.00","140.00","168.00","N/A","N/A","9.00","8.00","TAMALE",2011-06-18
"55.00","70.00","70.00","40.00","70.00","54.00","60.00","120.00","N/A","10.00","10.00","28.00","N/A","N/A","260.00","90.00","N/A","N/A","N/A","N/A",NA,"7.00","BOLGA",2011-06-18
"54.00","34.00","70.00","55.00","72.00","62.00","36.00","150.00","N/A","10.00","N/A","43.00","213.00","127.00","200.00","110.00","120.00","170.00","N/A","N/A","20.00","7.50","WA",2011-06-18
