"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"66.00","60.00","65.00","137.00","82.00","N/A","86.00","87.00","25.00","167.00","69.00","8.00","11.00","40.00","160.00","77.00","123.00","230.00","165.00","228.00","30.00","44.00","8.00","8.00","ACCRA",NA
"83.00","110.00","100.00","130.00","90.00","70.00","90.00","100.00","40.00","N/A","50.00","5.00","12.00","30.00","150.00","70.00","120.00","220.00","150.00","320.00","N/A","40.00","10.00","7.00","TEMA",NA
"85.00","70.00","65.00","110.00","85.00","54.00","95.00","90.00","28.00","180.00","85.00","7.00","9.00","32.00","N/A","90.00","130.00","200.00","160.00","240.00","35.00","25.00","6.80","7.50","SEKTDI",NA
"92.00","80.00","55.00","130.00","70.00","N/A","90.00","90.00","24.00","N/A","75.00","5.00","6.00","31.00","200.00","40.00","30.00","220.00","160.00","280.00","30.00","41.00","6.00","7.00","KDUA",NA
" 84.0"," 90.0"," 70.0","140.0"," 90.0"," 70.0","110.0","100.0"," 17.0","200.0"," 95.0","  5.0","  8.0"," 30.0","140.0","100.0","100.0","220.0","150.0","200.0"," 15.0"," 20.0","  7.0","  6.5","CCOAST",NA
" 85.0"," 88.0"," 68.0","140.0"," 90.0"," 93.0"," 92.0","140.0"," 14.0","130.0"," 92.0","  4.0","  7.0"," 34.0"," 75.0"," 30.0","100.0","220.0","150.0","200.0"," 24.0"," 16.0","  5.5","  7.3","MKESSIM",NA
" 67.0"," 63.0"," 65.0"," 90.0"," 72.0"," 95.0"," 78.0"," 80.0"," 13.0","105.0"," 35.0","  3.4","  5.8"," 30.0","105.0"," 30.0"," 45.0","210.0","105.0","220.0"," 10.0"," 36.0","  3.6","  7.0","KUMASI",NA
"72.00","33.00","65.00","85.00","85.00","60.00","95.00","95.00","11.00","150.00","60.00","5.00","8.00","32.00","N/A","30.00","50.00","200.00","150.00","260.00","26.00","N/A","9.00","6.50","EJURA",NA
"100.00","48.00","45.00","120.00","72.00","90.00","100.00","98.00","11.00","180.00","50.00","7.00","9.00","28.00","125.00","25.00","35.00","N/A","200.00","200.00","10.00","27.00","7.00","6.50","OBUASI",NA
" 56.0"," 65.0"," 65.0","135.0"," 86.0"," 60.0"," 85.0"," 90.0"," 15.0","130.0"," 63.0","  3.5","  4.0"," 32.0","100.0"," 24.0"," 40.0","250.0","140.0","220.0"," 30.0"," 42.0","  6.0","  5.7","SUNYANI",NA
"58.00","60.00","60.00","140.00","90.00","65.00","90.00","100.00","24.00","170.00","70.00","5.00","8.00","23.00","90.00","25.00","22.00","280.00","130.00","220.00","80.00","N/A","4.00","6.00","TMAN",NA
"73.00","90.00","70.00","135.00","86.00","90.00","89.00","100.00","24.00","160.00","N/A","4.00","4.00","43.00","144.00","60.00","37.00","250.00","196.00","205.00","25.00","40.00","9.00","8.00","HO",NA
"48.00","60.00","50.00","97.00","82.00","44.00","80.00","80.00","50.00","100.00","N/A","6.00","10.00","88.00","67.00","12.00","80.00","95.00","180.00","220.00","N/A","N/A","20.00","8.00","TAMALE",NA
"50.00","75.00","65.00","70.00","65.00","45.00","70.00","50.00","N/A","90.00","N/A","8.00","10.00","28.00","N/A","N/A","120.00","120.00","N/A","N/A","N/A","N/A","N/A","7.00","BOLGA",NA
"57.00","40.00","N/A","140.00","70.00","58.00","79.00","86.00","N/A","90.00","N/A","N/A","N/A","57.00","213.00","75.00","27.00","200.00","117.00","171.00","N/A","N/A","20.00","7.00","WA",NA
