"Maize","Rice - Local","Imporetd Rice","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"64.00","91.50","108.00","N/A","87.00","86.00","25.00","165.00","68.00","8.00","11.00","39.00","167.00","77.00","120.00","150.00","162.00","228.00","24.00","41.00","10.00","8.00","ACCRA",2011-10-15
"67.00","100.00","105.00","70.00","130.00","130.00","40.00","N/A","50.00","5.00","10.00","30.00","200.00","70.00","150.00","190.00","150.00","240.00","50.00","40.00","10.00","7.00","TEMA",2011-10-15
"90.00","40.00","83.00","64.00","95.00","90.00","24.00","180.00","85.00","7.00","9.00","32.00","N/A","100.00","80.00","N/A","160.00","250.00","25.00","28.00","7.00","7.50","SEKTDI",2011-10-15
"65.00","80.00","100.00","N/A","90.00","90.00","24.00","N/A","77.00","5.50","7.00","31.00","200.00","80.00","150.00","160.00","160.00","240.00","24.00","28.00","6.00","7.00","KDUA",2011-10-15
" 67.0"," 90.0"," 80.0"," 70.0","100.0","110.0"," 17.0","180.0"," 80.0","  5.0","  8.0"," 30.0","140.0"," 90.0","100.0","200.0","150.0","200.0"," 10.0"," 15.0","  6.0","  6.5","CCOAST",2011-10-15
" 60.0"," 85.0","115.0"," 73.0"," 92.0","130.0"," 15.0","130.0"," 78.0","  5.0","  8.0"," 32.0"," 90.0"," 67.0","120.0","120.0","140.0","200.0"," 17.0"," 16.0","  6.0","  7.6","MKESSIM",2011-10-15
" 75.0"," 50.0"," 80.0"," 94.0"," 70.0"," 68.0"," 18.0","100.0"," 30.0","  2.5","  4.5"," 30.0","120.0"," 28.0"," 60.0","150.0","100.0","210.0"," 10.0"," 22.0","  3.0","  7.0","KUMASI",2011-10-15
"59.00","63.00","80.00","60.00","70.00","70.00","10.00","150.00","60.00","6.00","10.00","40.00","90.00","30.00","40.00","135.00","160.00","250.00","26.00","N/A","7.00","8.00","EJURA",2011-10-15
"85.00","48.00","93.00","75.00","90.00","95.00","11.00","125.00","50.00","7.00","13.00","25.00","125.00","50.00","77.00","N/A","190.00","192.00","10.00","27.00","7.00","6.50","OBUASI",2011-10-15
" 48.0"," 65.0","110.0","100.0"," 85.0"," 85.0"," 15.0","100.0"," 63.0","  4.0","  5.0"," 32.0","125.0"," 35.0"," 80.0","190.0","130.0","160.0"," 45.0"," 45.0","  6.0","  5.5","SUNYANI",2011-10-15
"62.00","60.00","113.50","50.00","72.00","80.00","24.00","100.00","70.00","6.00","8.00","23.00","150.00","56.00","54.00","120.00","110.00","210.00","30.00","N/A","5.00","6.00","TMAN",2011-10-15
"54.00","70.00","110.00","90.00","89.00","100.00","23.00","145.00","N/A","4.50","4.00","43.00","144.00","50.00","43.00","160.00","196.00","197.00","20.00","40.00","4.00","8.00","HO",2011-10-15
"48.00","60.00","139.00","45.00","80.00","80.00","60.00","80.00","N/A","12.00","10.00","43.00","56.00","12.00","70.00","120.00","140.00","184.00","N/A","N/A","20.00","8.00","TAMALE",2011-10-15
"55.00","75.00","68.00","45.00","70.00","70.00","N/A","100.00","N/A","8.00","10.00","28.00","N/A","N/A","75.00","100.00","N/A","N/A","N/A","N/A","N/A","7.00","BOLGA",2011-10-15
"64.00","80.00","106.00","73.00","78.00","77.00","35.00","90.00","N/A","15.00","N/A","43.00","213.00","50.00","15.50","150.00","124.00","188.00","N/A","N/A","20.00","7.00","WA",2011-10-15
