"Maize","Rice - Local","Imporetd Rice","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"82.00","94.00","80.00","N/A","87.00","85.00","25.00","175.00","68.00","13.00","16.00","40.00","163.00","118.00","237.00","137.00","159.00","230.00","20.00","34.00","9.00","8.00","ACCRA",2011-07-23
" 83"," 80"," 80"," 70","130","130"," 40","300"," 40"," 15"," 25"," 30","220","130","200","140","146","320"," 50"," 40"," 10","  7","TEMA",2011-07-23
"100.00","40.00","75.00","58.00","90.00","90.00","28.00","250.00","85.00","7.00","10.00","32.00","N/A","150.00","220.00","190.00","160.00","240.00","35.00","25.00","10.00","7.50","SEKTDI",2011-07-23
"94.00","75.00","130.00","N/A","90.00","90.00","24.00","N/A","75.00","9.00","11.00","31.00","200.00","80.00","120.00","130.00","150.00","240.00","20.00","40.00","N/A","6.50","KDUA",2011-07-23
" 93.0"," 75.0"," 90.0"," 68.0","100.0","110.0"," 16.0","250.0"," 80.0","  5.5"," 10.0"," 28.0","140.0"," 70.0","150.0","160.0","140.0","200.0"," 10.0"," 15.0","  7.0","  6.5","CCOAST",2011-07-23
" 95.0"," 75.0"," 92.0"," 65.0"," 96.0","130.0"," 15.0","250.0"," 82.0","  6.5","  9.0"," 26.0"," 85.0"," 45.0","150.0","150.0","145.0","200.0"," 18.0"," 14.0","  7.0","  7.2","MKESSIM",2011-07-23
" 82.0"," 55.0"," 76.0"," 85.0"," 76.0"," 70.0"," 20.0","150.0"," 30.0","  3.3","  5.8"," 24.0","145.0","100.0"," 65.0","100.0","105.0","200.0"," 11.0"," 25.0","  3.4","  7.0","KUMASI",2011-07-23
" 67"," 55"," 80"," 60"," 60"," 60"," 10","200"," 50","  7"," 15"," 35"," 90"," 80"," 60","150","130","260"," 18"," 12","  6","  6","EJURA",2011-07-23
"92.00","48.00","110.00","75.00","94.00","100.00","10.00","200.00","40.00","12.00","19.00","25.00","140.00","50.00","110.00","N/A","165.00","185.00","10.00","27.00","7.00","6.50","OBUASI",2011-07-23
" 72"," 65","132","100"," 85"," 85"," 18","180"," 56","  6","  7"," 30","125"," 80","160","140","140","185"," 25"," 25"," 10","  6","SUNYANI",2011-07-23
"62.00","60.00","135.00","48.00","75.00","75.00","23.00","250.00","70.00","6.00","12.00","25.00","160.00","84.00","50.00","N/A","115.00","230.00","20.00","22.00","5.00","5.00","TMAN",2011-07-23
"73.00","70.00","85.00","72.00","89.00","96.00","23.00","230.00","N/A","9.00","10.00","43.00","144.00","75.00","80.00","130.00","196.00","221.00","20.00","38.00","9.00","8.00","HO",2011-07-23
"50.00","48.00","140.00","N/A","72.00","68.00","60.00","140.00","N/A","10.00","12.00","43.00","35.00","N/A","180.00","140.00","126.00","200.00","N/A","N/A","30.00","8.00","TAMALE",2011-07-23
"56.00","70.00","70.00","45.00","75.00","54.00","N/A","110.00","N/A","12.00","11.00","28.00","N/A","N/A","270.00","100.00","N/A","N/A","N/A","N/A",NA,"7.00","BOLGA",2011-07-23
"58.00","72.00","138.00","55.00","72.00","62.00","35.00","300.00","N/A","15.00","N/A","43.00","266.00","84.00","170.00","120.00","117.00","188.00","N/A","100","20.00","7.00","WA",2011-07-23
