"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfume)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"65.00","92.00","53.00","135.00","81.00","N/A","86.00","86.00","25.00","162.00","68.00","8.00","11.00","39.00","155.00","75.00","140.00","217.00","162.00","228.00","24.00","42.00","10.00","8.00","ACCRA",2011-10-29
" 75","110","100","130"," 90"," 70"," 90","100"," 40","200"," 50","  5"," 10"," 30","150"," 70","120","220","150","320"," 50"," 35"," 10","  7","TEMA",2011-10-29
"75.00","70.00","65.00","110.00","85.00","64.00","110.00","100.00","37.00","200.00","70.00","10.00","9.00","32.00","N/A","80.00","120.00","180.00","160.00","250.00","35.00","28.00","7.00","7.50","SEKTDI",2011-10-29
"72.00","80.00","55.00","130.00","70.00","N/A","90.00","90.00","24.00","N/A","76.00","6.00","7.00","31.00","250.00","48.00","80.00","180.00","160.00","240.00","24.00","25.00","6.00","7.00","KDUA",2011-10-29
" 67.0"," 90.0"," 90.0","140.0"," 90.0"," 70.0","100.0","110.0"," 16.5","200.0"," 80.0","  5.0","  8.0"," 30.0","140.0","100.0","130.0","240.0","150.0","200.0"," 10.0"," 15.0","  7.0","  6.5","CCOAST",2011-10-29
" 56.0"," 85.0"," 70.0"," 93.0"," 92.0"," 74.0"," 92.0","130.0"," 14.5","120.0"," 70.0","  4.5","  6.4"," 33.0"," 92.0"," 52.0","130.0","160.0","135.0","190.0"," 16.0"," 14.0","  4.5","  7.5","MKESSIM",2011-10-29
"58.00","65.00","53.00","85.00","68.00","N/A","70.00","65.00","13.00","110.00","30.00","2.60","5.40","30.00","120.00","40.00","70.00","150.00","105.00","220.00","12.00","25.00","3.50","7.00","KUMASI",2011-10-29
"59.00","65.00","65.00","85.00","85.00","62.00","65.00","70.00","10.00","140.00","60.00","6.50","12.00","40.00","90.00","35.00","30.00","150.00","170.00","260.00","25.00","N/A","12.00","8.00","EJURA",2011-10-29
"85.00","96.00","90.00","120.00","72.00","75.00","100.00","98.00","11.00","100.00","50.00","7.00","13.00","25.00","125.00","50.00","110.00","N/A","N/A","192.00","10.00","27.00","7.00","6.50","OBUASI",2011-10-29
" 48.0"," 65.0"," 65.0","138.0"," 84.0","100.0"," 90.0"," 85.0"," 15.0","110.0"," 56.0","  4.0","  4.0"," 32.0","120.0"," 32.0","100.0","220.0","130.0","160.0"," 45.0"," 45.0","  6.0","  5.5","SUNYANI",2011-10-29
"50.00","60.00","55.00","137.00","90.00","50.00","65.00","80.00","24.00","180.00","60.00","6.00","6.00","23.00","100.00","40.00","44.00","220.00","110.00","200.00","60.00","N/A","5.00","6.00","TMAN",2011-10-29
"54.00","89.00","70.00","132.00","85.00","90.00","89.00","100.00","23.00","140.00","N/A","4.00","4.00","43.00","144.00","50.00","57.00","165.00","185.00","197.00","20.00","37.00","5.00","8.00","HO",2011-10-29
"44.00","50.00","41.00","97.00","95.00","44.00","72.00","80.00","55.00","100.00","N/A","8.00","10.00","43.00","67.00","12.00","70.00","190.00","120.00","184.00","N/A","N/A","24.00","8.00","TAMALE",2011-10-29
"50.00","70.00","75.00","70.00","65.00","42.00","70.00","50.00","N/A","90.00","N/A","6.00","8.00","28.00","N/A","N/A","90.00","100.00","N/A","N/A","N/A","N/A","N/A","7.00","BOLGA",2011-10-29
"50.00","N/A","90.00","70.00","70.00","73.00","78.00","77.00","35.00","90.00","N/A","15.00","N/A","43.00","213.00","42.00","24.00","200.00","116.00","188.00","N/A","N/A","20.00","7.00","WA",2011-10-29
