"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"93.00","83.00","60.00","93.00","65.00","N/A","127.00","129.00","27.00","170.00","75.00","7.00","9.00","41.00","150.00","75.00","N/A","110.00","171.00","247.00","N/A","44.00","10.00","9.00","ACCRA",NA
"100.00","100.00","55.00","130.00","92.00","70.00","120.00","120.00","40.00","N/A","60.00","6.00","12.00","30.00","150.00","70.00","500.00","170.00","147.00","400.00","N/A","40.00","10.00","8.00","TEMA",NA
"120.00","60.00","50.00","90.00","70.00","80.00","100.00","90.00","30.00","240.00","90.00","8.00","9.00","34.00","N/A","80.00","250.00","260.00","160.00","280.00","30.00","40.00","7.00","9.00","SEKTDI",NA
"110.00","80.00","55.00","130.00","70.00","N/A","120.00","120.00","26.00","160.00","76.00","7.00","8.00","31.00","300.00","160.00","300.00","170.00","180.00","312.00","28.00","35.00","7.00","8.00","KDUA",NA
" 98"," 90"," 70","140"," 90"," 70","100","110"," 20","220"," 90","  5","  8"," 34","140","120","200","200","150","250"," 15"," 20","  5","  8","CCOAST",NA
"110.0"," 90.0"," 75.0","150.0"," 94.0"," 70.0"," 95.0","150.0"," 18.0","220.0"," 90.0","  4.7","  8.6"," 35.0","100.0"," 70.0","280.0","160.0","160.0","270.0"," 25.0"," 18.0","  6.0","  8.0","MKESSIM",NA
"100.0"," 71.0"," 60.0","130.0"," 80.0"," 90.0"," 90.0"," 94.0"," 22.0","140.0"," 35.0","  4.5","  7.0"," 30.0","140.0","112.0","140.0","150.0","130.0","220.0"," 24.0"," 38.0","  4.0","  7.5","KUMASI",NA
"75.00","65.00","65.00","95.00","85.00","60.00","100.00","80.00","12.00","180.00","12.00","6.00","9.00","25.00","160.00","35.00","40.00","130.00","150.00","260.00","26.00","N/A","9.00","6.00","EJURA",NA
"130"," 50"," 48","122","105"," 90"," 90"," 98"," 13","240"," 60","  5","  9"," 28","150"," 80","150","150","152","230"," 10"," 50","  7","  7","OBUASI",NA
" 72.0"," 70.0"," 70.0","140.0"," 84.0"," 60.0","100.0"," 90.0"," 20.0","170.0"," 90.0","  5.0","  6.0"," 32.0","125.0","120.0","120.0","260.0","160.0","250.0"," 30.0"," 60.0","  6.0","  6.5","SUNYANI",NA
"69.00","65.00","65.00","141.00","98.00","64.00","84.00","100.00","24.00","170.00","70.00","4.00","7.00","25.00","170.00","120.00","90.00","150.00","135.00","240.00","70.00","N/A","4.00","7.00","TMAN",NA
"83.00","93.00","70.00","140.00","85.00","60.00","100.00","113.00","26.00","150.00","N/A","4.50","5.00","43.00","144.00","120.00","130.00","180.00","163.00","205.00","25.00","42.00","10.00","8.00","HO",NA
"60.00","56.00","54.00","105.00","101.00","44.00","88.00","80.00","50.00","100.00","N/A","8.00","10.00","43.00","57.00","N/A","120.00","180.00","140.00","220.00","N/A","N/A","10.00","N/A","TAMALE",NA
"70.00","70.00","65.00","75.00","70.00","50.00","75.00","70.00","N/A","90.00","N/A","8.00","10.00","28.00","N/A","N/A","180.00","120.00","N/A","N/A","N/A","N/A","N/A","7.00","BOLGA",NA
"57.00","75.00","N/A","104.00","77.00","54.00","89.00","78.00","35.00","110.00","N/A","15.00","20.00","57.00","212.00","116.00","50.00","250.00","136.00","205.00","N/A","N/A","20.00","7.00","WA",NA
