"Maize","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"118.00","132.00","96.00","166.00","117.00","N/A","134.00","142.00","63.00","483.00","123.00","35.00","43.00","43.00","257.00","110.00","87.00","155.00","303.00","352.00","30.00","43.00","10.00","9.00","ACCRA",2012-08-04
"125","118","100","170","130",NA,"120","120"," 60",NA,"120"," 20"," 40"," 50","300","130","150","160","253","450"," 50"," 40"," 12","  8","TEMA",2012-08-04
"130.0"," 90.0"," 85.0","120.0"," 90.0"," 85.0","130.0","120.0"," 60.0","300.0"," 90.0"," 10.0"," 15.0"," 35.0",NA," 60.0","100.0","150.0","300.0","370.0"," 40.0"," 45.0","  9.0","  8.5","SEKONDI",2012-08-04
"92.00","N/A","N/A","150.00","100.00","N/A","130.00","120.00","35.00","N/A","80.00","20.00","25.00","31.00","300.00","72.00","150.00","160.00","220.00","340.00","28.00","45.00","12.00","8.00","KDUA",2012-08-04
"145"," 90"," 70","160","100"," 75","120","130"," 40","300","220"," 15"," 18"," 32","130"," 72","120","150","180","300"," 15"," 15","  7","  8","CCOAST",2012-08-04
"130.0"," 98.0"," 78.0","165.0"," 97.0"," 76.0","125.0","155.0"," 27.6","280.0","150.0","  7.5"," 13.5"," 32.0","100.0"," 28.0","120.0","170.0","195.0","280.0"," 25.0"," 17.5","  8.0","  8.0","MKESSIM",2012-08-04
"120"," 73"," 70","140","120","140","100"," 95"," 20","320"," 60"," 10"," 30"," 30","140"," 40"," 35","140","200","280"," 30"," 50","  7","  8","KUMASI",2012-08-04
"90.00","70.00","65.00","140.00","90.00","65.00","80.00","105.00","20.00","160.00","100.00","15.00","10.00","24.00","170.00","100.00","50.00","120.00","180.00","300.00","27.00","N/A","12.00","7.50","EJURA",2012-08-04
"120"," 60"," 60","128","105","100","110","130"," 25","300"," 80"," 15"," 25"," 30","110"," 40"," 60","150","240","270"," 10"," 50","  7","  8","OBUASI",2012-08-04
" 80"," 80"," 80","171"," 89"," 60","130","105"," 55","180","135"," 16"," 20"," 36","100"," 25"," 70","150","240","320"," 30"," 60","  7","  7","SUNYANI",2012-08-04
" 68"," 80"," 75","160","110"," 70","110"," 94"," 24","150","160"," 18"," 12"," 28","150"," 42"," 44","115","200","250"," 21"," 30","  6","  7","TMAN",2012-08-04
"100.00","120.00","73.00","140.00","85.00","90.00","N/A","N/A","46.00","370.00","N/A","15.00","N/A","46.00","280.00","N/A","80.00","140.00","294.00","262.00","25.00","55.00","10.00","9.50","HO",2012-08-04
"72.00","70.00","32.00","150.00","120.00","60.00","112.00","80.00","50.00","170.00","N/A","10.00","15.00","43.00","68.00","N/A","170.00","90.00","240.00","200.00","N/A","N/A","10.00","9.00","TAMALE",2012-08-04
"70.00","90.00","73.00","140.00","86.00","N/A","145.00","70.00","N/A","200.00","N/A","20.00","18.00","30.00","N/A","N/A","100.00","90.00","250.00","N/A","N/A","N/A","N/A","8.00","BOLGA",2012-08-04
"64.00","89.00","N/A","170.00","80.00","73.00","100.00","93.00","45.00","N/A","N/A","10.00","N/A","57.00","213.00","100.00","120.00","150.00","195.00","222.00","N/A","N/A","30.00","8.00","WA",2012-08-04
