"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"111.00","145.00","90.00","152.00","120.00","N/A","119.00","128.00","64.00","470.00","105.00","34.00","46.00","40.00","170.00","55.00","70.00","80.00","265.00","327.00","N/A","44.00","9.00","9.00","ACCRA",2012-07-07
"125","118","100","160","110",NA,"120","120"," 75","700"," 60"," 35"," 90"," 50","300","130","200","200","253","450"," 50"," 40"," 12","  8","TEMA",2012-07-07
"120.0"," 90.0"," 80.0","120.0"," 85.0"," 85.0","180.0","140.0"," 65.0","320.0"," 90.0"," 14.0"," 19.0"," 35.0",NA," 60.0","180.0","140.0","300.0","450.0"," 38.0"," 45.0"," 12.0","  8.5","SEKTDI",2012-07-07
"140.00","N/A","N/A","150.00","100.00","N/A","130.00","120.00","30.00","300.00","80.00","15.00","17.00","28.00","300.00","60.00","120.00","120.00","220.00","340.00","20.00","40.00","12.00","7.50","KDUA",2012-07-07
"154"," 90"," 70","150"," 95"," 70","100","110"," 41","400","190"," 15"," 18"," 34","130"," 70","150",NA,"180","300"," 15"," 25","  6","  7","CCOAST",2012-07-07
"130.0"," 95.0"," 83.0","160.0"," 97.0"," 76.0","125.0","156.0"," 28.0","290.0","130.0","  7.9"," 14.0"," 29.0","110.0"," 30.0","120.0","145.0","195.0","270.0"," 23.0"," 20.0","  7.0","  8.2","MKESSIM",2012-07-07
"120"," 75"," 70","160","120","130","110"," 95"," 20","450"," 80"," 12"," 20"," 30","150"," 48"," 60","110","200","300"," 32"," 46","  7","  8","KUMASI",2012-07-07
"92.00","75.00","60.00","150.00","90.00","85.00","80.00","105.00","20.00","200.00","100.00","18.00","19.00","24.00","180.00","120.00","50.00","130.00","220.00","350.00","27.00","N/A","12.00","7.50","EJURA",2012-07-07
"140"," 60"," 60","128","105","100","110","130"," 25","300","100"," 20"," 35"," 30","120"," 80"," 60","120","240","270"," 10"," 50","  7","  8","OBUASI",2012-07-07
" 96"," 53"," 53","171"," 93"," 60","130","105"," 55","450","135"," 20"," 25"," 36","125"," 40"," 50","140","200","320"," 30"," 50"," 10","  7","SUNYANI",2012-07-07
" 70"," 68"," 75","150","110"," 65","105"," 80"," 25","350","130"," 18"," 14"," 33","140"," 42","101","110","210","280"," 28"," 33","  6","  7","TMAN",2012-07-07
"109.00","120.00","70.00","140.00","84.00","66.00","100.00","118.00","40.00","335.00","N/A","11.00","N/A","46.00","280.00","N/A","100.00","95.00","294.00","262.00","23.00","46.00","N/A","9.50","HO",2012-07-07
"72.00","70.00","64.00","160.00","120.00","60.00","100.00","80.00","60.00","180.00","N/A","6.50","20.00","43.00","80.00","N/A","90.00","90.00","220.00","260.00","68.00","N/A","N/A","10.00","TAMALE",2012-07-07
"70.00","90.00","80.00","130.00","80.00","60.00","110.00","75.00","N/A","250.00","N/A","20.00","18.00","30.00","N/A","N/A","150.00","90.00","220.00","300.00","N/A","N/A","N/A","8.00","BOLGA",2012-07-07
"71.00","90.00","N/A","170.00","80.00","73.00","100.00","97.00","45.00","N/A","N/A","10.00","N/A","57.00","213.00","100.00","150.00","100.00","214.00","256.00","N/A","N/A","25.00","9.00","WA",2012-07-07
