"Maize","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"118.00","127.00","94.00","157.00","101.00","N/A","124.00","130.00","61.00","398.00","106.00","45.00","51.00","41.00","218.00","138.00","155.00","95.00","296.00","337.00","26.00","42.00","12.00","9.00","ACCRA",2012-06-02
"125","118","100","160","110",NA,"120","120"," 75","450"," 60"," 30"," 40"," 50","300","120","200",NA,"253","450"," 50"," 25"," 12","  9","TEMA",2012-06-02
"120.0"," 85.0"," 75.0","110.0"," 85.0"," 82.0","160.0","120.0"," 55.0","320.0"," 90.0","  6.0","  9.0"," 38.0","320.0","200.0","180.0","150.0","260.0","280.0"," 40.0"," 45.0"," 10.0","  8.5","SEKTDI",2012-06-02
"145.00","80.00","55.00","150.00","100.00","N/A","120.00","120.00","30.00","N/A","77.00","12.00","14.00","28.00","350.00","80.00","140.00","110.00","200.00","340.00","20.00","45.00","8.00","7.50","KDUA",2012-06-02
"160"," 90"," 70","165"," 90"," 75","100","110"," 35","270","150","  8"," 13"," 34","160"," 90","300"," 90","180","300"," 10"," 25","  5","  7","CCOAST",2012-06-02
"150.0","100.0"," 80.0","170.0"," 95.0"," 76.0","120.0","150.0"," 32.0","280.0","148.0","  9.0"," 15.0"," 29.5","170.0"," 70.0","220.0","130.0","200.0","290.0"," 19.0"," 20.0","  7.5","  8.0","MKESSIM",2012-06-02
"136.0"," 73.0"," 70.0","150.0","100.0","120.0","100.0"," 90.0"," 32.0","260.0"," 54.0"," 11.0"," 17.0"," 45.0","160.0","120.0","110.0"," 90.0","200.0","300.0"," 40.0"," 52.0","  5.5","  8.0","KUMASI",2012-06-02
"93.00","90.00","80.00","150.00","77.00","N/A","80.00","80.00","15.00","180.00","80.00","5.00","8.00","24.00","160.00","170.00","140.00","130.00","260.00","350.00","26.00","N/A","12.00","7.50","EJURA",2012-06-02
"140"," 60"," 60","128","105","100","110","130"," 25","300"," 80"," 15"," 20"," 30","140"," 80","250"," 85","250","250"," 10"," 50","  7","  8","OBUASI",2012-06-02
" 96"," 75"," 75","160"," 86"," 60","120","105"," 50","330","135"," 20"," 23"," 36","150"," 60","200","120","210","320"," 25"," 50"," 10","  7","SUNYANI",2012-06-02
" 77.0"," 68.0"," 68.0","150.0","110.0"," 60.0","100.0"," 90.0"," 25.0","250.0","100.0","  7.5","  8.5"," 33.0","210.0"," 42.0"," 63.0"," 65.0","200.0","300.0"," 26.0"," 60.0","  7.0","  7.0","TMAN",2012-06-02
"108.00","100.00","70.00","136.00","84.00","66.00","100.00","118.00","38.00","310.00","N/A","11.00","N/A","43.00","240.00","N/A","135.00","85.00","294.00","262.00","25.00","45.00","9.00","9.00","HO",2012-06-02
"80.00","70.00","50.00","150.00","105.00","60.00","100.00","80.00","60.00","160.00","N/A","10.00","15.00","43.00","68.00","N/A","250.00","100.00","200.00","260.00","N/A","N/A","10.00","9.00","TAMALE",2012-06-02
"75.00","80.00","70.00","116.00","76.00","60.00","100.00","76.00","N/A","100.00","N/A","18.00","15.00","28.00","N/A","N/A","250.00","80.00","220.00","300.00","N/A","N/A","N/A","8.00","BOLGA",2012-06-02
"71.00","80.00","N/A","170.00","80.00","73.00","96.00","85.00","45.00","N/A","N/A","10.00","N/A","57.00","213.00","134.00","150.00","100.00","214.00","239.00","N/A","N/A","25.00","9.00","WA",2012-06-02
