"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"112.00","90.00","74.00","147.00","97.00","N/A","122.00","120.00","61.00","263.00","98.00","21.00","24.00","42.00","195.00","132.00","355.00","84.00","197.00","322.00","25.00","46.00","12.00","9.00","ACCRA",2012-05-05
"NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","TEMA",2012-05-05
"100.00","85.00","80.00","100.00","85.00","84.00","120.00","100.00","60.00","280.00","100.00","7.00","9.00","32.00","N/A","150.00","340.00","120.00","260.00","250.00","48.00","45.00","10.00","8.50","SEKTDI",2012-05-05
"145.00","80.00","55.00","150.00","100.00","N/A","120.00","120.00","30.00","200.00","75.00","10.00","11.00","28.00","300.00","88.00","150.00","85.00","200.00","340.00","20.00","42.00","5.00","7.50","KDUA",2012-05-05
"144.0"," 90.0"," 70.0"," 90.0"," 70.0"," 75.0","100.0","110.0"," 30.0","270.0","140.0","  7.5"," 11.0"," 34.0","160.0"," 90.0","240.0"," 80.0","160.0","280.0"," 12.0"," 25.0","  5.0","  6.5","CCOAST",2012-05-05
"150.0"," 95.0"," 75.0","165.0"," 95.0"," 76.0","120.0","150.0"," 27.0","250.0","110.0","  7.6"," 12.0"," 30.0","175.0"," 86.0","250.0","120.0","180.0","280.0"," 19.0"," 20.0","  9.0","  8.0","MKESSIM",2012-05-05
"105.0"," 75.0"," 72.0","140.0","100.0","115.0"," 80.0"," 90.0"," 30.0","250.0"," 40.0","  5.0","  8.0"," 40.0","160.0"," 88.0","120.0"," 80.0","150.0","240.0"," 30.0"," 40.0","  4.5","  8.0","KUMASI",2012-05-05
"73.00","90.00","73.00","85.00","70.00","65.00","75.00","75.00","10.00","180.00","70.00","8.00","9.00","24.00","150.00","160.00","80.00","120.00","245.00","350.00","27.00","N/A","12.00","7.50","EJURA",2012-05-05
"130"," 60"," 60","128","105","100","110","130"," 20","300"," 80"," 15"," 20"," 30","140"," 80","250"," 85","250","250"," 10"," 50","  7","  8","OBUASI",2012-05-05
" 96"," 70"," 70","145"," 86"," 60","100"," 90"," 45","220"," 90"," 18"," 18"," 36","150","120","350","100","180","260"," 25"," 50","  8","  6","SUNYANI",2012-05-05
" 77.0"," 68.0"," 65.0","150.0","106.0"," 50.0","100.0"," 95.0"," 24.0","240.0","100.0","  6.5","  7.5"," 26.5","220.0"," 80.0","140.0"," 60.0","200.0","290.0"," 25.0"," 60.0","  7.0","  7.0","TMAN",2012-05-05
"100.00","104.00","70.00","136.00","84.00","66.00","100.00","118.00","40.00","300.00","N/A","10.00","22.00","40.00","240.00","N/A","N/A","85.00","240.00","230.00","22.50","45.00","10.00","9.00","HO",2012-05-05
"80.00","60.00","54.00","140.00","90.00","46.00","88.00","80.00","60.00","150.00","N/A","12.00","15.00","43.00","68.00","N/A","200.00","80.00","160.00","260.00","N/A","N/A","10.00","8.00","TAMALE",2012-05-05
"70.00","90.00","75.00","75.00","73.00","56.00","100.00","70.00","N/A","100.00","N/A","13.00","15.00","28.00","N/A","N/A","100.00","70.00","220.00","240.00","N/A","N/A","N/A","8.00","BOLGA",2012-05-05
"65.00","80.00","N/A","170.00","77.00","73.00","97.00","86.00","45.00","160.00","N/A","10.00","N/A","57.00","267.00","200.00","87.00","90.00","195.00","256.00","N/A","N/A","20.00","8.00","WA",2012-05-05
