"Maize","RiceLocal (Perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"117.00","92.00","71.00","158.00","115.00","N/A","132.00","138.00","64.00","493.00","120.00","39.00","49.00","41.00","268.00","143.00","92.00","142.00","308.00","345.00","30.00","45.00","10.00","9.00","ACCRA",2012-07-14
"125"," 71","100","170","130",NA,"120","120"," 60","700"," 60"," 20"," 50"," 50","300","130","200","150","253","450"," 50"," 40"," 12","  8","TEMA",2012-07-14
"120.0","100.0"," 90.0","120.0","100.0"," 85.0","140.0","140.0"," 50.0","350.0"," 90.0"," 12.0"," 14.0"," 35.0",NA," 60.0","120.0","150.0","280.0",NA," 24.0"," 40.0","  8.0","  8.5","SEKTDI",2012-07-14
"140.00","N/A","N/A","150.00","100.00","N/A","130.00","120.00","34.00","N/A","80.00","16.00","18.00","28.00","300.00","60.00","130.00","150.00","220.00","340.00","20.00","45.00","12.00","7.50","KDUA",2012-07-14
"154"," 90"," 70","150"," 95"," 70","100","110"," 39","400","190"," 17"," 20"," 34","130"," 70","120","140","180","300"," 16"," 25","  6","  7","CCOAST",2012-07-14
"135.0"," 98.0"," 80.0","160.0"," 97.0"," 76.0","125.0","160.0"," 27.0","290.0","140.0","  8.0"," 15.0"," 29.0","110.0"," 27.0","100.0","150.0","190.0","270.0"," 24.0"," 21.0","  7.0","  8.3","MKESSIM",2012-07-14
"120"," 75"," 70","160","120","135","100"," 95"," 22","400"," 75"," 13"," 25"," 30","150"," 40"," 30","110","200","300"," 30"," 45","  7","  8","KUMASI",2012-07-14
"92.00","75.00","60.00","150.00","90.00","85.00","80.00","105.00","20.00","200.00","100.00","18.00","19.00","24.00","180.00","120.00","50.00","180.00","220.00","350.00","27.00","N/A","12.00","7.50","EJURA",2012-07-14
"140"," 60"," 60","128","105","100","110","130"," 25","300","100"," 20"," 35"," 30","120"," 80"," 60","120","240","270"," 10"," 50","  7","  8","OBUASI",2012-07-14
" 96.0"," 80.0"," 80.0","173.0"," 88.0"," 60.0","130.0","105.0"," 43.0","450.0","135.0"," 20.0"," 20.0"," 36.0","125.0"," 60.0"," 80.0","140.0","220.0","320.0"," 30.0"," 60.0"," 10.0","  7.5","SUNYANI",2012-07-14
" 70"," 75"," 63","150","110"," 65","110"," 80"," 25","350","130"," 18"," 14"," 33","175"," 12"," 40","110","210","280"," 28"," 25","  5","  7","TMAN",2012-07-14
"109.00","110.00","70.00","136.00","84.00","66.00","119.00","118.00","45.00","370.00","N/A","15.00","N/A","46.00","240.00","N/A","65.00","95.00","290.00","271.00","25.00","47.00","9.00","9.50","HO",2012-07-14
"72.00","70.00","64.00","160.00","120.00","60.00","100.00","80.00","60.00","190.00","N/A","15.00","20.00","43.00","80.00","N/A","90.00","90.00","220.00","260.00","68.00","N/A","10.00","9.00","TAMALE",2012-07-14
"70.00","90.00","80.00","130.00","86.00","60.00","100.00","75.00","N/A","250.00","N/A","20.00","18.00","30.00","N/A","N/A","150.00","90.00","220.00","300.00","N/A","N/A","N/A","8.00","BOLGA",2012-07-14
"68.00","90.00","N/A","170.00","80.00","73.00","97.00","97.00","45.00","N/A","N/A","10.00","N/A","57.00","213.00","100.00","125.00","120.00","214.00","222.00","N/A","N/A","25.00","9.00","WA",2012-07-14
