"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"117.00","128.00","94.00","159.00","106.00","N/A","136.00","146.00","70.00","395.00","115.00","40.00","48.00","41.00","232.00","138.00","145.00","128.00","285.00","332.00","26.00","45.00","11.00","9.00","ACCRA",2012-06-09
"125","118","100","160","110",NA,"120","120"," 75","450"," 60"," 35"," 40"," 50","300","125","210",NA,"253","450"," 50"," 25"," 12","  8","TEMA",2012-06-09
"120.0"," 85.0"," 75.0","110.0"," 85.0"," 82.0","160.0","120.0"," 55.0","320.0"," 90.0","  6.0","  9.0"," 38.0","320.0","200.0","180.0","150.0","260.0","280.0"," 40.0"," 45.0"," 10.0","  8.5","SEKTDI",2012-06-09
"145.00","80.00","55.00","150.00","100.00","N/A","120.00","120.00","30.00","240.00","80.00","13.00","14.00","28.00","300.00","80.00","80.00","120.00","200.00","340.00","20.00","46.00","8.00","7.00","KDUA",2012-06-09
"167"," 90"," 70","165"," 95"," 76","100","110"," 38","300","160","  9"," 14"," 34","160"," 90","200"," 90","180","300"," 12"," 25","  6","  7","CCOAST",2012-06-09
"150.0","100.0"," 80.0","170.0"," 98.0"," 76.0","120.0","160.0"," 33.0","280.0","110.0","  9.0"," 17.0"," 30.0","150.0"," 63.0","180.0","130.0","200.0","290.0"," 22.0"," 18.0","  7.5","  8.0","MKESSIM",2012-06-09
"140.0"," 70.0"," 67.5","150.0","100.0","124.0","100.0"," 92.0"," 30.0","260.0"," 45.0"," 13.0"," 18.0"," 45.0","170.0","120.0","110.0"," 90.0","200.0","280.0"," 30.0"," 45.0","  6.0","  8.0","KUMASI",2012-06-09
"93.00","90.00","72.50","120.00","95.00","85.00","95.00","95.00","18.00","330.00","70.00","13.00","12.00","24.00","150.00","160.00","80.00","120.00","245.00","350.00","27.00","N/A","12.00","7.50","EJURA",2012-06-09
"140"," 60"," 60","128","185","100","110","130"," 25","300"," 60"," 20"," 35"," 30","140"," 40","130","110","250","250"," 10"," 50","  7","  8","OBUASI",2012-06-09
" 88.0"," 75.0"," 87.3","152.0"," 88.0"," 60.0","120.0","105.0"," 55.0","400.0","135.0"," 20.0"," 25.0"," 36.0","150.0"," 45.0","150.0","120.0","210.0","320.0"," 25.0"," 50.0"," 10.0","  7.0","SUNYANI",2012-06-09
" 77.0"," 68.0"," 68.0","150.0","110.0"," 60.0","100.0"," 85.0"," 25.0","250.0","120.0","  7.5","  8.5"," 33.0","210.0"," 42.0"," 38.0"," 60.0","100.0","280.0"," 28.0"," 60.0","  5.0","  7.0","TMAN",2012-06-09
"118.00","104.00","70.00","136.00","84.00","66.00","100.00","118.00","40.00","300.00","N/A","14.00","N/A","46.00","280.00","N/A","90.00","85.00","294.00","246.00","25.00","47.00","9.00","9.00","HO",2012-06-09
"80.00","70.00","60.00","150.00","125.00","30.00","100.00","80.00","60.00","160.00","N/A","10.00","15.00","43.00","68.00","N/A","200.00","100.00","200.00","260.00","N/A","N/A","10.00","8.00","TAMALE",2012-06-09
"75.00","80.00","70.00","120.00","80.00","60.00","100.00","75.00","N/A","100.00","N/A","18.00","15.00","28.00","N/A","N/A","150.00","80.00","220.00","260.00","N/A","N/A","N/A","8.00","BOLGA",2012-06-09
"71.00","80.00","N/A","170.00","80.00","73.00","97.00","90.00","45.00","N/A","N/A","10.00","N/A","57.00","213.00","134.00","150.00","100.00","214.00","239.00","N/A","N/A","25.00","9.00","WA",2012-06-09
