"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"106.00","130.00","97.00","146.00","97.00","N/A","123.00","123.00","55.00","255.00","60.00","18.00","21.00","41.00","190.00","133.00","178.00","82.00","205.00","295.00","24.00","45.00","12.00","9.00","ACCRA",2012-04-21
"108","118","100","135"," 93"," 75","120","120"," 60","450"," 60"," 20"," 30"," 50","200"," 70","200"," 80","200","450"," 40"," 40"," 12","  8","TEMA",2012-04-21
"100.0"," 90.0"," 85.0","120.0"," 85.0"," 85.0","120.0","100.0"," 45.0","300.0"," 80.0","  8.0"," 10.0"," 65.0",NA,"180.0","200.0","120.0","200.0","280.0"," 45.0"," 35.0","  8.0","  8.5","SEKTDI",2012-04-21
"120.00","80.00","55.00","130.00","100.00","N/A","120.00","120.00","30.00","200.00","75.00","8.00","9.00","28.00","250.00","120.00","100.00","75.00","180.00","340.00","20.00","40.00","9.00","7.50","KDUA",2012-04-21
"144.0"," 90.0"," 70.0","140.0"," 90.0"," 70.0","100.0","110.0"," 23.0","270.0","130.0","  7.0"," 11.0"," 34.0","170.0","100.0","170.0"," 85.0","160.0","280.0"," 15.0"," 22.0","  5.0","  6.5","CCOAST",2012-04-21
"150.0"," 93.0"," 75.0","160.0"," 95.0"," 76.0","120.0","150.0"," 29.0","270.0","120.0","  8.6"," 14.0"," 30.0","185.0"," 92.0","140.0","100.0","170.0","275.0"," 16.0"," 18.0","  9.0","  8.0","MKESSIM",2012-04-21
"100.0"," 70.0"," 68.0","140.0"," 98.0","110.0"," 92.0"," 90.0"," 30.0","220.0"," 45.0","  5.0","  7.6"," 40.0","160.0"," 88.0","100.0"," 80.0","145.0","240.0"," 24.0"," 40.0","  4.4","  7.5","KUMASI",2012-04-21
"73.00","90.00","73.00","150.00","70.00","60.00","72.00","72.00","12.00","180.00","80.00","8.00","9.00","24.00","160.00","180.00","70.00","90.00","245.00","300.00","27.00","N/A","9.00","7.00","EJURA",2012-04-21
"130"," 50"," 48","128","105"," 90","100","120"," 20","240"," 60"," 15"," 20"," 30","170","100","180"," 70","200","250"," 10"," 40","  7","  8","OBUASI",2012-04-21
" 88"," 70"," 70","141"," 84"," 60","100"," 90"," 35","180","108"," 14"," 15"," 35","140","120","180"," 90","160","260"," 25"," 50","  8","  6","SUNYANI",2012-04-21
" 69"," 68"," 63","148","100"," 50","100"," 95"," 24","195"," 80","  6","  7"," 26","220"," 80"," 60"," 65","190","280"," 25"," 60","  7","  7","TMAN",2012-04-21
"100.00","104.00","70.00","136.00","85.00","66.00","100.00","118.00","35.00","250.00","N/A","10.00","22.00","37.00","200.00",NA,"150.00","84.00","240.00","230.00","20.00","45.00","10.00","9.00","HO",2012-04-21
"64.00","60.00","32.00","140.00","90.00","46.00","80.00","80.00","60.00","150.00","N/A","12.00","16.00","43.00","68.00",NA,"120.00","75.00","160.00","240.00","72.00","N/A","10.00","8.00","TAMALE",2012-04-21
"70.00","80.00","75.00","150.00","73.00","56.00","95.00","80.00","N/A","100.00","N/A","13.00","15.00","28.00","N/A","N/A","100.00","70.00","200.00","260.00","N/A","N/A",NA,"8.00","BOLGA",2012-04-21
"64.00","80.00","N/A","170.00","77.00","66.00","96.00","86.00","45.00","160.00","N/A","10.00","N/A","57.00","267.00","166.00","58.00","90.00","195.00","256.00","N/A","N/A","20.00","8.00","WA",2012-04-21
