"Maize","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"111.00","139.00","95.00","162.00","117.00","N/A","121.00","128.00","64.00","400.00","110.00","33.00","43.00","43.00","186.00","50.00","100.00","120.00","283.00","363.00","N/A","44.00","9.00","9.00","ACCRA",2012-08-18
"125","140","100","170","130",NA,"120","120"," 60",NA,"120"," 10"," 15"," 50","300","140","150","130","253","450"," 50"," 45"," 14","  8","TEMA",2012-08-18
"130.0"," 90.0"," 85.0","120.0"," 90.0"," 85.0","130.0","120.0"," 60.0","300.0"," 90.0"," 10.0"," 15.0"," 35.0",NA," 60.0","100.0","150.0","300.0","370.0"," 40.0"," 45.0","  9.0","  8.5","SEKONDI",2012-08-18
"92.00","N/A","N/A","150.00","100.00","N/A","130.00","120.00","35.00","N/A","80.00","15.00","20.00","31.00","300.00","80.00","140.00","170.00","220.00","340.00","28.00","42.00","10.00","8.00","KDUA",2012-08-18
" 96","100"," 75","160","100"," 80","120","130"," 42","300","220"," 14"," 18"," 32","130"," 80","140","150","200","300"," 15"," 15","  8","  8","CCOAST",2012-08-18
" 90.0"," 98.0"," 78.0","165.0","100.0"," 78.0","120.0","150.0"," 25.0","220.0","130.0","  6.5"," 10.0"," 32.0","100.0"," 32.0","100.0","160.0","180.0","270.0"," 20.0"," 17.0","  8.0","  8.5","MKESSIM",2012-08-18
"100"," 73"," 65","140","100","145"," 95"," 90"," 20","250"," 50"," 10"," 25"," 30","140"," 40"," 80","120","200","280"," 24"," 35","  5","  8","KUMASI",2012-08-18
"34.00","65.00","70.00","140.00","90.00","85.00","80.00","105.00","20.00","160.00","100.00","15.00","10.00","24.00","150.00","80.00","60.00","160.00","180.00","300.00","27.00","N/A","17.00","7.50","EJURA",2012-08-18
"120"," 60"," 60","128","105","100","110","130"," 25","250"," 80"," 10"," 20"," 30","100"," 40","100","120","240","270"," 10"," 30","  7","  8","OBUASI",2012-08-18
" 72.0"," 80.0"," 80.0","174.0"," 93.0"," 60.0","130.0","105.0"," 55.0","160.0","135.0"," 15.0"," 18.0"," 36.0","110.0"," 32.0","100.0","150.0","220.0","280.0"," 35.0"," 60.0","  6.0","  6.8","SUNYANI",2012-08-18
" 65"," 80"," 75","160","110"," 70","120"," 80"," 24","200","150"," 13"," 17"," 28","150"," 40"," 63","110","200","250"," 21"," 35","  5","  7","TMAN",2012-08-18
"82.00","120.00","70.00","140.00","85.00","90.00","119.00","118.00","42.00","365.00","N/A","N/A","N/A","46.00","280.00","N/A","100.00","170.00","294.00","221.00","25.00","55.00","10.00","9.00","HO",2012-08-18
"68.00","70.00","27.00","150.00","120.00","60.00","112.00","80.00","50.00","130.00","N/A","15.00","20.00","43.00","160.00","150.00","90.00","240.00","180.00","68.00","10.00","9.00","10.00","9.00","TAMALE",2012-08-18
"70.00","90.00","73.00","150.00","90.00","N/A","105.00","68.00","N/A","170.00","N/A","22.00","20.00","30.00","N/A","N/A","160.00","100.00","N/A","N/A","N/A","N/A","N/A","8.00","BOLGA",2012-08-18
"71.40","90.00","N/A","170.00","80.00","73.00","107.00","97.30","45.00","90.00","N/A","10.00","N/A","57.00","212.00","66.70","20.00","150.00","194.00","205.00","N/A","N/A","30.00","8.00","WA",2012-08-18
