"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"113.00","139.00","70.00","145.00","97.00","N/A","130.00","134.00","63.00","307.00","94.00","24.00","29.00","41.00","212.00","131.00","322.00","82.00","236.00","324.00","26.00","47.00","11.00","9.00","ACCRA",2012-05-12
"125.00","113.00","100.00","152.00","110.00","N/A","120.00","120.00","60.00","450.00","60.00","20.00","30.00","50.00","250.00","90.00","350.00","80.00","250.00","450.00","40.00","40.00","20.00","8.00","TEMA",2012-05-12
"120.00","85.00","80.00","95.00","85.00","84.00","120.00","100.00","60.00","320.00","100.00","8.00","10.00","36.00","N/A","150.00","400.00","100.00","260.00","340.00","40.00","45.00","10.00","8.50","SEKTDI",2012-05-12
"145.00","80.00","55.00","150.00","100.00","N/A","120.00","120.00","30.00","200.00","75.00","10.00","12.00","28.00","300.00","80.00","100.00","90.00","200.00","340.00","20.00","45.00","6.00","7.50","KDUA",2012-05-12
"167.0"," 90.0"," 70.0","150.0"," 90.0"," 75.0","100.0","110.0"," 30.0","270.0","140.0","  7.0"," 11.0"," 34.0","160.0"," 90.0","170.0"," 80.0","160.0","280.0"," 12.0"," 25.0","  5.0","  6.5","CCOAST",2012-05-12
"150.0"," 95.0"," 75.0","165.0"," 94.0"," 76.0","120.0","150.0"," 29.0","280.0","140.0","  8.0"," 14.0"," 31.0","170.0"," 73.0","300.0","100.0","180.0","280.0"," 20.0"," 20.0","  8.5","  8.0","MKESSIM",2012-05-12
"120.0"," 75.0"," 72.0","140.0","100.0","120.0"," 95.0"," 90.0"," 32.0","260.0"," 45.0","  6.0","  8.4"," 40.0","160.0"," 90.0","130.0"," 80.0","150.0","240.0"," 30.0"," 45.0","  4.6","  8.0","KUMASI",2012-05-12
"93.00","90.00","80.00","85.00","75.00","60.00","75.00","75.00","15.00","180.00","80.00","5.00","8.00","24.00","160.00","170.00","95.00","120.00","260.00","350.00","26.00","N/A","9.00","6.50","EJURA",2012-05-12
"130"," 60"," 60","128","105","100","110","130"," 20","300"," 80"," 15"," 20"," 30","145"," 80","250"," 85","250","250"," 10"," 50","  7","  8","OBUASI",2012-05-12
" 88.0"," 70.0"," 70.0","145.0"," 85.0"," 60.0","120.0","105.0"," 50.0","240.0"," 90.0"," 15.0"," 18.0"," 63.0","140.0","100.0","350.0","100.0","210.0","320.0"," 25.0"," 50.0","  8.0","  6.5","SUNYANI",2012-05-12
" 77.0"," 68.0"," 65.0","150.0","110.0"," 80.0","100.0"," 90.0"," 24.0","250.0","100.0","  7.0","  8.5"," 33.0","220.0"," 60.0","125.0"," 63.0","200.0","300.0"," 26.0"," 60.0","  7.0","  7.0","TMAN",2012-05-12
"108.00","104.00","70.00","135.00","84.00","66.00","100.00","118.00","47.00","320.00","N/A","18.00","N/A","40.00","216.00","N/A","170.00","85.00","240.00","246.00","23.00","45.00","9.00","9.50","HO",2012-05-12
"80.00","60.00","54.00","140.00","90.00","46.00","88.00","80.00","60.00","150.00","N/A","12.00","15.00","43.00","68.00","N/A","200.00","80.00","160.00","260.00","N/A","N/A","10.00","10.00","TAMALE",2012-05-12
"75.00","80.00","70.00","75.00","72.00","55.00","110.00","75.00","N/A","100.00","N/A","15.00","18.00","28.00","N/A","N/A","150.00","80.00","200.00","230.00","N/A","N/A","N/A","8.00","BOLGA",2012-05-12
"65.00","80.00","N/A","170.00","77.00","73.00","97.00","86.00","45.00","160.00","N/A","10.00","N/A","57.00","267.00","200.00","87.00","90.00","195.00","256.00","N/A","N/A","20.00","8.00","WA",2012-05-12
