"Maize","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"118.00","137.00","96.00","161.00","117.00","N/A","134.00","140.00","63.00","483.00","121.00","37.00","44.00","41.00","250.00","108.00","78.00","143.00","308.00","356.00","30.00","44.00","10.00","9.00","ACCRA",2012-07-28
"125","118","100","170","130",NA,"120","120"," 60",NA,"120"," 20"," 40"," 50","300","130","150","160","253","450"," 50"," 40"," 12","  8","TEMA",2012-07-28
"130.0"," 90.0"," 85.0","120.0"," 90.0"," 85.0","150.0","130.0"," 60.0","350.0","100.0","  9.0"," 16.0"," 35.0",NA," 50.0","150.0","150.0","260.0","340.0"," 45.0"," 40.0","  8.0","  8.5","SEKONDI",2012-07-28
"130.00","N/A","N/A","150.00","100.00","N/A","130.00","120.00","35.00","N/A","80.00","19.00","22.00","31.00","300.00","60.00","150.00","150.00","220.00","340.00","28.00","40.00","11.00","8.00","KDUA",2012-07-28
"154"," 90"," 70","154","100"," 75","120","130"," 40","400","220"," 15"," 20"," 34","130"," 70"," 80","150","180","300"," 13"," 15","  6","  7","CCOAST",2012-07-28
"130.0"," 95.0"," 78.0","165.0"," 98.0"," 76.0","120.0","155.0"," 30.0","280.0","150.0","  8.2"," 15.0"," 30.0","100.0"," 23.0"," 85.0","170.0","190.0","270.0"," 28.0"," 18.0","  8.0","  8.4","MKESSIM",2012-07-28
"120"," 75"," 70","150","120","130","100"," 90"," 15","300"," 65"," 12"," 32"," 30","150"," 42"," 30","100","200","300"," 35"," 45","  6","  8","KUMASI",2012-07-28
"73.00","65.00","70.00","140.00","90.00","65.00","80.00","85.00","20.00","160.00","100.00","15.00","10.00","24.00","170.00","150.00","50.00","N/A","180.00","350.00","27.00","N/A","12.00","7.50","EJURA",2012-07-28
"120"," 60"," 60","120","128","105","100","130"," 25","300","100"," 20"," 35"," 30","110"," 40"," 60","150","240","270"," 10"," 50","  7","  8","OBUASI",2012-07-28
" 88"," 80"," 80","173"," 88"," 60","130","105"," 55","320","135"," 18"," 20"," 36","120"," 30"," 60","150","240","320"," 30"," 60","  6","  7","SUNYANI",2012-07-28
" 65"," 80"," 75","163","110"," 70","110"," 94"," 24","150","170"," 17"," 12"," 26","175"," 42"," 50","120","145","270"," 24"," 30","  6","  7","TMAN",2012-07-28
"109.00","120.00","70.00","140.00","84.00","90.00","119.00","118.00","40.00","430.00","N/A","14.00","N/A","46.00","280.00","N/A","70.00","120.00","294.00","246.00","25.00","50.00","10.00","9.00","HO",2012-07-28
"72.00","70.00","32.00","150.00","120.00","60.00","108.00","80.00","50.00","180.00","N/A","10.00","15.00","43.00","68.00","N/A","100.00","90.00","240.00","200.00","68.00","N/A","10.00","9.00","TAMALE",2012-07-28
"70.00","90.00","70.00","150.00","86.00","N/A","105.00","70.00","N/A","250.00","N/A","20.00","18.00","30.00","N/A","N/A","100.00","90.00","250.00","N/A","N/A","N/A","N/A","8.00","BOLGA",2012-07-28
"64.00","90.00","N/A","170.00","80.00","73.00","100.00","93.00","45.00","N/A","N/A","10.00","N/A","57.00","213.00","100.00","150.00","150.00","195.00","222.00","N/A","N/A","30.00","8.00","WA",2012-07-28
