"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"118.00","121.00","90.00","158.00","111.00","N/A","128.00","131.00","62.00","437.00","116.00","52.00","41.00","41.00","251.00","158.00","92.00","130.00","289.00","335.00","29.00","44.00","10.00","9.00","ACCRA",2012-06-23
"125","236","100","160","110",NA,"120","120"," 60","650"," 60"," 35"," 80"," 50","300","120","140","140","253","450"," 50"," 40"," 12","  8","TEMA",2012-06-23
"120.0"," 90.0"," 85.0","120.0"," 85.0"," 84.0","160.0","120.0"," 60.0","350.0"," 90.0","  7.0"," 10.0"," 35.0","250.0","100.0","120.0","150.0","260.0","350.0"," 45.0"," 10.0"," 10.0","  8.5","SEKTDI",2012-06-23
"140.00","80.00","55.00","150.00","100.00","N/A","130.00","120.00","30.00","280.00","80.00","14.00","16.00","28.00","300.00","80.00","130.00","150.00","200.00","340.00","20.00","40.00","12.00","7.50","KDUA",2012-06-23
"154"," 90"," 70","160"," 90"," 75","100","110"," 40","300","170"," 12"," 17"," 34","140"," 70","100","120","180","300"," 15"," 25","  6","  7","CCOAST",2012-06-23
"145.0","100.0"," 80.0","170.0"," 97.0"," 76.0","125.0","160.0"," 29.0","280.0","130.0","  8.0"," 14.5"," 30.0","130.0"," 44.0","130.0","130.0","200.0","280.0"," 28.0"," 20.0","  7.5","  8.0","MKESSIM",2012-06-23
"120.0"," 70.0"," 60.0","150.0","100.0","125.0","150.0","100.0"," 27.0","260.0"," 50.0"," 10.0"," 16.0"," 40.0","180.0","100.0","100.0"," 90.0","200.0","260.0"," 30.0"," 40.0","  5.5","  8.0","KUMASI",2012-06-23
"93.00","90.00","80.00","160.00","95.00","75.00","85.00","85.00","65.00","335.00","180.00","10.00","15.00","24.00","170.00","200.00","90.00","130.00","280.00","350.00","26.00","N/A","18.00","7.50","EJURA",2012-06-23
"140"," 60"," 60","128","105","100","110","130"," 25","300","100"," 20"," 35"," 30","120"," 40"," 80","100","240","270"," 10"," 50","  7","  8","OBUASI",2012-06-23
" 80"," 75"," 75","168"," 93"," 60","120","105"," 55","460","135"," 25"," 28"," 36","135"," 25"," 75","140","210","230"," 30"," 50"," 10","  7","SUNYANI",2012-06-23
" 73"," 69"," 75","150","110"," 25","113"," 90"," 24","360","130"," 10"," 15"," 33","200"," 42"," 31"," 65","200","280"," 28"," 35","  7","  7","TMAN",2012-06-23
"109.00","108.00","70.00","136.00","85.00","66.00","112.00","118.00","50.00","320.00","N/A","15.00","20.00","49.00","280.00","N/A","95.00","90.00","294.00","262.00","23.00","47.00","9.00","9.50","HO",2012-06-23
"72.00","70.00","64.00","160.00","120.00","60.00","68.00","80.00","60.00","180.00","N/A","12.00","15.00","43.00","80.00","N/A","120.00","80.00","220.00","260.00","68.00","N/A","10.00","9.00","TAMALE",2012-06-23
"75.00","90.00","80.00","120.00","80.00","60.00","100.00","75.00","N/A","150.00","N/A","20.00","20.00","18.00","28.00","N/A","170.00","85.00","220.00","260.00","N/A","N/A","N/A","8.00","BOLGA",2012-06-23
"64.00","89.00","N/A","170.00","80.00","69.00","100.00","85.60","45.00","N/A","N/A","10.00","N/A","57.00","213.00","134.00","120.00","100.00","194.00","239.00","N/A","N/A","25.00","9.00","WA",2012-06-23
