"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"126.00","137.00","90.00","168.00","105.00","N/A","120.00","120.00","67.00","345.00","89.00","38.00","41.00","43.00","200.00","143.00","290.00","89.00","200.00","335.00","26.00","45.00","13.00","9.00","ACCRA",2012-05-26
"125","130","100","165","110",NA,"120","120"," 75","400"," 70"," 30"," 42"," 45","250","100","320"," 90","250","410"," 40"," 40"," 20","  9","TEMA",2012-05-26
"110.00","85.00","80.00","100.00","85.00","85.00","150.00","180.00","55.00","300.00","90.00","6.50","9.00","35.00","N/A","200.00","250.00","110.00","280.00","260.00","40.00","45.00","8.00","8.50","SEKTDI",2012-05-26
"145.00","80.00","55.00","150.00","100.00","N/A","120.00","120.00","30.00","N/A","76.00","12.00","13.00","28.00","350.00","160.00","120.00","100.00","200.00","340.00","20.00","40.00","7.00","7.50","KDUA",2012-05-26
"167"," 90"," 70","150"," 90"," 75","100","110"," 35","270","150","  8"," 13"," 34","160"," 90","300"," 80","160","300"," 10"," 25","  5","  7","CCOAST",2012-05-26
"150.0","100.0"," 80.0","170.0"," 95.0"," 76.0","120.0","150.0"," 30.0","280.0","155.0","  8.0"," 15.0"," 29.5","170.0"," 70.0","280.0","120.0","180.0","280.0"," 18.0"," 20.0","  7.6","  8.0","MKESSIM",2012-05-26
"136.0"," 73.0"," 70.0","150.0","100.0","120.0","100.0"," 90.0"," 32.0","260.0"," 54.0"," 11.0"," 17.0"," 45.0","160.0","120.0","110.0"," 90.0","200.0","300.0"," 40.0"," 52.0","  5.5","  8.0","KUMASI",2012-05-26
"93.00","90.00","80.00","170.00","77.00","60.00","80.00","80.00","15.00","180.00","80.00","5.00","8.00","24.00","160.00","170.00","140.00","130.00","260.00","350.00","26.00","N/A","12.00","7.50","EJURA",2012-05-26
"140"," 60"," 60","128","105","100","110","130"," 25","300"," 80"," 15"," 20"," 30","140"," 80","250"," 85","250","250"," 10"," 50","  7","  8","OBUASI",2012-05-26
" 96"," 70"," 70","150"," 87"," 60","120","105"," 50","330","135"," 18"," 18"," 36","150"," 60","350","100","210","320"," 25"," 50"," 10","  7","SUNYANI",2012-05-26
" 77.0"," 68.0"," 65.0","150.0","105.0"," 60.0","100.0"," 90.0"," 25.0","240.0","100.0","  7.0","  8.5"," 33.0","210.0"," 60.0","127.0"," 60.0","200.0","300.0"," 26.0"," 60.0","  7.0","  7.0","TMAN",2012-05-26
"118.00","110.00","70.00","135.00","84.00","66.00","100.00","118.00","37.00","300.00","N/A","10.00","N/A","46.00","240.00","N/A","180.00","80.00","294.00","246.00","22.00","N/A","9.00","9.00","HO",2012-05-26
"80.00","70.00","60.00","150.00","105.00","60.00","100.00","80.00","60.00","160.00","N/A","10.00","15.00","43.00","68.00","N/A","250.00","100.00","200.00","260.00","N/A","N/A","10.00","9.00","TAMALE",2012-05-26
"75.00","80.00","70.00","116.00","76.00","60.00","100.00","76.00","N/A","100.00","N/A","18.00","16.00","28.00","N/A","N/A","250.00","80.00","220.00","240.00","N/A","N/A","N/A","8.00","BOLGA",2012-05-26
"71.00","80.00","N/A","170.00","80.00","73.00","96.00","85.00","45.00","N/A","N/A","10.00","N/A","57.00","213.00","134.00","200.00","100.00","214.00","273.00","N/A","N/A","25.00","8.00","WA",2012-05-26
