"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"104.00","154.00","87.00","140.00","96.00","N/A","120.00","122.00","50.00","201.00","86.00","14.00","17.00","40.00","182.00","115.00","140.00","73.00","198.00","300.00","24.00","43.00","10.00","9.00","ACCRA",2012-03-31
"108","118","100","135"," 93"," 70","120","120"," 50","400"," 50"," 18"," 25"," 50","200"," 70","150"," 70","200","450"," 50"," 30"," 10","  8","TEMA",2012-03-31
" 90.0"," 85.0"," 75.0","100.0"," 80.0"," 85.0","120.0","100.0"," 45.0","300.0"," 90.0","  8.0"," 12.0"," 35.0",NA,"150.0","150.0","100.0","200.0","260.0"," 36.0"," 40.0","  8.0","  8.5","SEKTDI",2012-03-31
"94.00","80.00","55.00","130.00","70.00","N/A","120.00","120.00","24.00","200.00","75.00","7.00","8.00","28.00","250.00","160.00","100.00","80.00","180.00","320.00","20.00","40.00","8.00","7.50","KDUA",2012-03-31
"121.0"," 70.0"," 90.0","140.0"," 90.0"," 70.0","100.0","110.0"," 23.0","250.0","130.0","  6.0"," 10.0"," 34.0","180.0","130.0","170.0"," 90.0","150.0","250.0"," 14.0"," 22.0","  5.0","  6.5","CCOAST",2012-03-31
"130.0"," 85.0"," 75.0","160.0"," 95.0"," 76.0","110.0","155.0"," 24.0","260.0","100.0","  8.0"," 12.0"," 30.0","200.0","120.0","140.0","120.0","170.0","275.0"," 22.0"," 20.0","  8.2","  8.0","MKESSIM",2012-03-31
"100.0"," 75.0"," 65.0","140.0"," 98.0","100.0"," 90.0"," 90.0"," 27.0","210.0"," 42.0","  5.2","  7.8"," 40.0","150.0","112.0","110.0"," 75.0","150.0","240.0"," 24.0"," 42.0","  4.5","  8.0","KUMASI",2012-03-31
"73.00","90.00","73.00","85.00","70.00","60.00","72.00","72.00","12.00","180.00","80.00","8.00","9.00","24.00","160.00","180.00","60.00","90.00","240.00","300.00","27.00","N/A","9.00","7.00","EJURA",2012-03-31
"130"," 50"," 48","128","105"," 90","100","120"," 20","240"," 60"," 15"," 20"," 30","150","180","170"," 70","200","250"," 10"," 40","  7","  8","OBUASI",2012-03-31
" 72.0"," 70.0"," 70.0","141.0"," 82.0"," 60.0","100.0"," 90.0"," 30.0","200.0"," 72.0","  6.0","  6.0"," 35.0","140.0","120.0","180.0"," 90.0","150.0","260.0"," 25.0"," 50.0","  6.0","  6.5","SUNYANI",2012-03-31
" 62.0"," 67.0"," 63.0","135.0"," 98.0"," 45.0"," 80.0"," 85.0"," 24.0","180.0"," 60.0","  5.0","  7.0"," 26.0","190.0"," 80.0"," 78.0"," 60.0","160.0","260.0"," 34.0"," 66.0","  6.0","  6.5","TMAN",2012-03-31
"82.00","87.00","70.00","136.00","84.00","66.00","100.00","118.00","28.00","175.00","N/A","7.00","11.00","40.00","160.00","125.00","150.00","70.00","185.00","221.00","20.00","45.00","9.00","9.00","HO",2012-03-31
"64.00","56.00","54.00","140.00","83.00","46.00","80.00","80.00","50.00","150.00","N/A","8.00","9.00","43.00","67.00","N/A","120.00","62.00","160.00","240.00","N/A","N/A","10.00","8.00","TAMALE",2012-03-31
"70.00","80.00","70.00","75.00","70.00","55.00","80.00","70.00","N/A","100.00","N/A","13.00","15.00","28.00","N/A","N/A","80.00","70.00","180.00","240.00","N/A","N/A","8.00","N/A","BOLGA",2012-03-31
"57.00","80.00","N/A","170.00","77.00","65.00","79.00","86.00","45.00","160.00","N/A","10.00","N/A","57.00","267.00","100.00","67.00","80.00","175.00","239.00","N/A","N/A","20.00","8.00","WA",2012-03-31
