"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"100.00","93.00","64.00","138.00","95.00","N/A","108.00","118.00","41.00","200.00","79.00","12.00","14.00","41.00","178.00","119.00","110.00","80.00","180.00","285.00","27.00","38.00","10.00","9.00","ACCRA",2012-02-11
"108","110","100","135"," 93"," 70","120","120"," 60","300"," 60","  5"," 12"," 40","180"," 80","180"," 75","167","450"," 40"," 40","  8","  8","TEMA",2012-02-11
"120.00","100.00","85.00","120.00","90.00","80.00","130.00","120.00","35.00","250.00","90.00","8.00","12.00","35.00","N/A","150.00","170.00","100.00","180.00","300.00","35.00","35.00","7.00","8.50","SEKTDI",2012-02-11
"100.00","80.00","55.00","130.00","70.00","N/A","120.00","120.00","26.00","160.00","76.00","6.00","7.00","31.00","300.00","140.00","80.00","70.00","180.00","340.00","28.00","40.00","5.00","7.50","KDUA",2012-02-11
"121"," 90"," 70","140"," 90"," 70","100","110"," 20","200","100","  6","  9"," 34","180","130","150","150","150","250"," 18"," 20","  5","  7","CCOAST",2012-02-11
"130.0"," 93.0"," 73.0","155.0"," 94.0"," 75.0","100.0","150.0"," 20.0","230.0"," 80.0","  4.8","  5.3"," 32.0","180.0","120.0","170.0","100.0","175.0","185.0"," 19.0"," 20.0","  7.5","  7.7","MKESSIM",2012-02-11
"100.0"," 73.0"," 70.0","140.0"," 95.0","100.0"," 95.0"," 90.0"," 24.0","160.0"," 45.0","  4.6","  7.5"," 33.0","160.0","120.0"," 75.0"," 80.0","140.0","250.0"," 28.0"," 40.0","  4.5","  8.0","KUMASI",2012-02-11
"62.00","80.00","75.00","85.00","75.00","60.00","75.00","75.00","10.00","180.00","50.00","5.00","10.00","35.00","140.00","30.00","60.00","70.00","170.00","260.00","26.00","N/A","9.00","6.50","EJURA",2012-02-11
"130"," 50"," 48","128","105"," 90","100","120"," 15","240"," 60"," 10"," 15"," 28","145","160","130"," 85","260","250"," 10"," 35","  7","  8","OBUASI",2012-02-11
" 72"," 70"," 70","141"," 82"," 60","100"," 90"," 22","160"," 90","  5","  5"," 35","150","120","140"," 80","160","250"," 35"," 35","  6","  7","SUNYANI",2012-02-11
"52.00","67.00","63.00","135.00","98.00","50.00","85.00","85.00","25.00","180.00","77.00","3.00","6.00","26.00","175.00","96.00","53.00","60.00","160.00","260.00","25.00","N/A","N/A","6.50","TMAN",2012-02-11
"82.00","104.00","70.00","136.00","85.00","60.00","100.00","113.00","27.00","170.00","N/A","6.00","10.00","43.00","184.00","N/A","107.00","70.00","163.00","221.00","22.00","N/A","10.00","8.50","HO",2012-02-11
"64.00","56.00","54.00","100.00","82.00","45.00","88.00","80.00","60.00","150.00","N/A","9.00","6.00","43.00","66.00","N/A","70.00","N/A","160.00","240.00","N/A","N/A","10.00","8.00","TAMALE",2012-02-11
"66.00","80.00","70.00","75.00","70.00","60.00","75.00","72.00","N/A","110.00","N/A","10.00","8.00","28.00","N/A","N/A","48.00","80.00","160.00","240.00","N/A","N/A","N/A","8.00","BOLGA",2012-02-11
"64.00","80.00","N/A","170.00","77.00","58.00","89.00","85.00","45.00","160.00","N/A","10.00","15.00","57.00","267.00","166.00","32.00","100.00","175.00","222.00","N/A","N/A","20.00","7.50","WA",2012-02-11
