"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"101.00","94.00","68.00","147.00","96.00","N/A","128.00","131.00","28.00","200.00","75.00","9.00","11.00","43.00","172.00","123.00","208.00","100.00","178.00","277.00","24.00","47.00","11.00","9.00","ACCRA",2012-01-14
"108.00","100.00","55.00","130.00","92.00","70.00","120.00","120.00","40.00","N/A","60.00","6.00","12.00","30.00","150.00","70.00","450.00","160.00","160.00","400.00","N/A","40.00","10.00","8.00","TEMA",2012-01-14
"120.00","60.00","50.00","90.00","70.00","80.00","100.00","90.00","30.00","240.00","90.00","8.00","9.00","34.00","N/A","80.00","250.00","260.00","160.00","280.00","30.00","40.00","7.00","9.00","SEKTDI",2012-01-14
"100.00","80.00","55.00","130.00","70.00","N/A","120.00","120.00","26.00","160.00","77.00","5.50","6.00","31.00","280.00","160.00","200.00","140.00","180.00","312.00","28.00","35.00","6.00","7.50","KDUA",2012-01-14
"121"," 90"," 70","140"," 90"," 70","100","110"," 20","200","100","  5","  8"," 34","180","130","260","150","150","250"," 18"," 20","  5","  8","CCOAST",2012-01-14
"120.0"," 90.0"," 70.0","150.0"," 94.0"," 75.0"," 98.0","150.0"," 18.0","210.0"," 80.0","  4.6","  9.0"," 35.0","150.0"," 98.0","250.0","125.0","160.0","260.0"," 22.0"," 20.0","  7.0","  8.0","MKESSIM",2012-01-14
"100.0"," 73.0"," 60.0","140.0"," 90.0","100.0"," 90.0"," 92.0"," 23.0","165.0"," 40.0","  4.0","  6.5"," 30.0","150.0","140.0","140.0","100.0","130.0","220.0"," 28.0"," 35.0","  4.5","  7.5","KUMASI",2012-01-14
"84.00","68.00","60.00","95.00","85.00","60.00","90.00","80.00","15.00","180.00","120.00","5.00","7.00","32.00","160.00","50.00","50.00","130.00","160.00","260.00","20.00","N/A","9.00","6.50","EJURA",2012-01-14
"130"," 50"," 48","122","105"," 90"," 90"," 98"," 13","240"," 60","  7"," 12"," 28","130","100","200","120","152","230"," 10"," 35","  7","  7","OBUASI",2012-01-14
" 80"," 70"," 70","140"," 89"," 60","100"," 90"," 20","150"," 72","  4","  4"," 35","125","120"," 80","150","160","250"," 30"," 30","  6","  7","SUNYANI",2012-01-14
"69.00","68.00","62.00","140.00","98.00","50.00","89.00","90.00","24.00","165.00","72.00","4.00","7.00","26.00","140.00","100.00","81.00","120.00","135.00","240.00","24.00","N/A","4.00","6.50","TMAN",2012-01-14
"82.00","90.00","70.00","136.00","85.00","60.00","100.00","113.00","26.00","165.00","N/A","4.00","4.50","43.00","144.00","125.00","100.00","145.00","163.00","213.00","25.00","43.00","8.00","8.00","HO",2012-01-14
"64.00","56.00","54.00","100.00","83.00","42.00","88.00","80.00","60.00","140.00","N/A","9.00","8.00","43.00","56.00","N/A","70.00","100.00","160.00","240.00","N/A","N/A","10.00","8.00","TAMALE",2012-01-14
"66.00","70.00","65.00","75.00","70.00","50.00","75.00","70.00","N/A","100.00","N/A","8.00","10.00","28.00","N/A","N/A","140.00","N/A","160.00","200.00","N/A","N/A","N/A","7.00","BOLGA",2012-01-14
"64.00","79.00","N/A","140.00","77.00","58.00","79.00","78.00","35.00","160.00","N/A","15.00","N/A","57.00","267.00","166.00","42.00","150.00","155.00","222.00","N/A","N/A","N/A","N/A","WA",2012-01-14
