"Maize (New)","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfum","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"90.00","110.00","95.00","170.00","106.00","N/A","173.00","182.00","53.00","210.00","83.00","7.00","9.00","45.00","220.00","90.00","320.00","300.00","340.00","290.00","N/A","43.00","10.00","10.00","ACCRA",2012-11-10
"100.00","N/A","N/A","180.00","N/A","N/A","130.00","130.00","75.00","400.00","160.00","7.00","10.00","94.00","300.00","150.00","400.00","320.00","250.00","233.00","70.00","50.00","14.00","8.00","TEMA",2012-11-10
"83.00","130.00","120.00","160.00","120.00","90.00","180.00","150.00","60.00","280.00","90.00","10.00","16.00","44.00","N/A","160.00","220.00","310.00","260.00","290.00","45.00","40.00","10.00","8.50","SEKTDI",2012-11-10
"88.00","N/A","N/A","150.00","100.00","N/A","130.00","130.00","50.00","200.00","80.00","10.00","12.00","31.00","300.00","100.00","260.00","320.00","400.00","320.00","28.00","35.00","7.00","8.00","KDUA",2012-11-10
" 96.0","100.0"," 85.0","160.0","100.0"," 85.0","150.0","100.0"," 40.0","250.0","220.0"," 12.0"," 15.0"," 37.0","140.0","100.0","300.0","320.0","220.0","250.0"," 20.0"," 25.0","  8.0","  6.5","CCOAST",2012-11-10
" 92.0","100.0"," 88.0","180.0","110.0"," 86.0","155.0","165.0"," 26.0","220.0","145.0","  4.7","  9.0"," 40.0","135.0"," 73.0","300.0","320.0","220.0","260.0"," 32.0"," 35.0","  7.6","  6.5","MKESSIM",2012-11-10
" 80"," 73"," 65","160","120","150","140","110"," 30","250"," 50"," 10"," 20"," 30","160","120","140","350","210","200"," 30"," 45","  5","  7","KUMASI",2012-11-10
"54.00","75.00","110.00","150.00","108.00","150.00","160.00","100.00","25.00","220.00","200.00","8.00","10.00","24.00","100.00","30.00","120.00","320.00","280.00","200.00","27.00","N/A","17.00","7.50","EJURA",2012-11-10
"100.0"," 50.0"," 50.0","120.0"," 87.0","100.0","175.0","130.0"," 40.0","210.0","100.0","  8.0"," 16.0"," 30.0","100.0"," 80.0","230.0","360.0","300.0","210.0"," 10.0"," 30.0","  7.0","  8.5","OBUASI",2012-11-10
" 56"," 65"," 65","168"," 98"," 80","140","110"," 60","140","135","  5","  5"," 62","125"," 56","200","350","210","220"," 30"," 50","  5","  7","SUNYANI",2012-11-10
" 46"," 75"," 75","160","112"," 60","170","100"," 30","200","100"," 12"," 13"," 36","140"," 40","120","170","160","220"," 25"," 35","  5","  8","TMAN",2012-11-10
"73.00","120.00","70.00","140.00","85.00","90.00","N/A","131.00","43.00","225.00","N/A","9.00","N/A","52.00","240.00","N/A","N/A","N/A","490.00","246.00","N/A","N/A","8.00","9.00","HO",2012-11-10
"48.00","72.00","34.00","160.00","120.00","55.00","180.00","100.00","60.00","100.00","N/A","10.00","15.00","43.00","112.00","20.00","80.00","330.00","180.00","200.00","N/A","N/A","10.00","9.00","TAMALE",2012-11-10
"56.00","93.00","75.00","145.00","90.00","80.00","150.00","70.00","N/A","220.00","N/A","11.00","10.00","30.00","N/A","N/A","120.00","220.00","N/A","N/A","N/A","N/A","N/A","8.00","BOLGA",2012-11-10
"64.00","90.00","N/A","170.00","80.00","73.00","161.00","105.00","50.00","140.00","N/A","20.00","N/A","57.00","N/A","75.00","38.00","425.00","195.00","222.00","N/A","N/A","20.00","8.00","WA",2012-11-10
