"Maize (New)","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfum","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"88.00","128.00","91.00","168.00","108.00","N/A","166.00","141.00","64.00","281.00","90.00","20.00","28.00","45.00","229.00","117.00","154.00","312.00","356.00","293.00","N/A","35.00","9.00","9.00","ACCRA",2012-10-13
"83.00","N/A","N/A","180.00","114.00","N/A","130.00","130.00","75.00","300.00","160.00","10.00","15.00","94.00","300.00","180.00","230.00","330.00","450.00","233.00","50.00","35.00","10.00","8.00","TEMA",2012-10-13
"84.00","130.00","100.00","160.00","120.00","85.00","200.00","150.00","70.00","250.00","90.00","10.00","15.00","44.00","N/A","120.00","160.00","300.00","270.00","290.00","45.00","35.00","10.00","8.50","SEKTDI",2012-10-13
"92.00","N/A","N/A","150.00","100.00","N/A","130.00","120.00","50.00","160.00","80.00","10.00","11.00","31.00","500.00","96.00","250.00","300.00","300.00","320.00","28.00","32.00","5.00","8.00","KDUA",2012-10-13
" 88","100"," 80","160","100"," 80","140","160"," 40","200","220"," 14"," 17"," 35","140","100","200","230","200","250"," 15"," 25","  6","  8","CCOAST",2012-10-13
" 95.0","100.0"," 85.0","180.0","100.0"," 87.0","150.0","170.0"," 24.0","160.0","140.0","  5.5"," 11.0"," 40.0","140.0"," 84.0","200.0","210.0","230.0","280.0"," 23.0"," 22.0","  8.5","  8.5","MKESSIM",2012-10-13
" 70.0"," 70.0"," 65.0","160.0","110.0","150.0","150.0","120.0"," 30.0","250.0"," 60.0","  9.0"," 20.0"," 30.0","150.0","120.0","140.0","350.0","230.0","200.0"," 32.0"," 45.0","  4.6","  8.5","KUMASI",2012-10-13
"54.00","75.00","110.00","156.00","108.00","150.00","160.00","90.00","20.00","220.00","200.00","10.00","15.00","24.00","150.00","30.00","90.00","300.00","430.00","360.00","27.00","N/A","17.00","7.50","EJURA",2012-10-13
"100.0"," 50.0"," 50.0","100.0"," 87.0","100.0","110.0","130.0"," 30.0","210.0","100.0","  8.0"," 15.0"," 30.0","116.0"," 80.0","300.0","290.0","290.0","210.0"," 10.0"," 30.0","  7.0","  8.5","OBUASI",2012-10-13
" 56"," 75"," 75","169"," 97"," 80","140","110"," 60","120","135","  6","  7"," 36","125"," 48","200","340","210","220"," 30"," 50","  5","  7","SUNYANI",2012-10-13
" 46"," 75"," 75","160","110"," 60","160"," 85"," 30","170","110"," 10"," 15"," 29","140"," 25","140","300","200","220"," 20"," 34","  6","  7","TMAN",2012-10-13
"73.00","120.00","70.00","140.00","90.00","90.00","119.00","131.00","45.00","220.00","N/A","9.00","N/A","55.00","280.00","N/A","150.00","N/A","490.00","246.00","35.00","55.00","8.00","9.50","HO",2012-10-13
"48.00","35.00","63.00","160.00","125.00","60.00","180.00","100.00","60.00","70.00","N/A","15.00","20.00","43.00","80.00","15.00","70.00","320.00","240.00","200.00","N/A","N/A","7.00","9.00","TAMALE",2012-10-13
"50.00","93.00","73.00","105.00","90.00","65.00","150.00","60.00","N/A","160.00","N/A","12.00","14.00","30.00","N/A","N/A","90.00","180.00","N/A","N/A","N/A","N/A","N/A","8.00","BOLGA",2012-10-13
"71.00","90.00","N/A","170.00","80.00","73.00","143.00","101.00","50.00","120.00","N/A","20.00","N/A","57.00","213.00","67.00","212.00","400.00","233.00","188.00","N/A","N/A","20.00","8.00","WA",2012-10-13
