"Maize","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfume","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"109.00","127.00","82.00","168.00","112.00","N/A","135.00","137.00","66.00","383.00","110.00","32.00","40.00","43.00","253.00","83.00","167.00","173.00","322.00","307.00","33.00","41.00","9.00","9.00","ACCRA",2012-09-08
"83.00","140.00","100.00","170.00","114.00","N/A","130.00","130.00","80.00","N/A","N/A","8.00","12.00","94.00","250.00","150.00","200.00","250.00","350.00","200.00","50.00","40.00","13.00","8.00","TEMA",2012-09-08
"100.00","60.00","50.00","160.00","100.00","85.00","150.00","120.00","60.00","300.00","100.00","10.00","15.00","44.00","N/A","100.00","160.00","260.00","260.00","280.00","45.00","28.00","8.00","8.50","SEKTDI",2012-09-08
"92.00","N/A","N/A","150.00","100.00","N/A","130.00","120.00","45.00","N/A","80.00","13.00","16.00","31.00","400.00","110.00","170.00","220.00","220.00","340.00","28.00","40.00","7.00","8.00","KDUA",2012-09-08
" 88","100"," 75","160","100"," 80","120","130"," 40","300","220"," 13"," 17"," 32","130"," 80","160","150","200","300"," 15"," 20","  8","  8","CCOAST",2012-09-08
" 85.0"," 95.0"," 75.0","180.0","100.0"," 82.0","120.0","150.0"," 27.0","170.0","137.0","  6.0"," 13.0"," 38.0"," 90.0"," 45.0","140.0","160.0","190.0","250.0"," 29.0"," 20.0"," 10.0","  8.3","MKESSIM",2012-09-08
" 80"," 70"," 65","150","100","150","100"," 95"," 30","300"," 65"," 11"," 25"," 30","140"," 60","100","160","200","300"," 24"," 42","  6","  8","KUMASI",2012-09-08
"34.00","75.00","110.00","156.00","108.00","140.00","140.00","90.00","25.00","200.00","200.00","10.00","15.00","24.00","150.00","30.00","50.00","220.00","300.00","260.00","27.00","N/A","17.00","7.50","EJURA",2012-09-08
"100"," 60"," 60"," 90"," 77","100","110","130"," 25","180"," 80"," 10"," 15"," 24","100"," 40","100","180","240","270"," 10"," 30","  7","  8","OBUASI",2012-09-08
" 48"," 80"," 80","155"," 91"," 80","130","105"," 60","120","135"," 10"," 10"," 36","100"," 40","160","220","320","240"," 30"," 35","  6","  7","SUNYANI",2012-09-08
" 42"," 80"," 75","160","110"," 70","130"," 80"," 25","150","140"," 10"," 15"," 28","150"," 40"," 75","180","240","250"," 21"," 35","  5","  7","TMAN",2012-09-08
"82.00","120.00","70.00","140.00","84.00","90.00","119.00","118.00","43.00","270.00","N/A","10.00","N/A","52.00","280.00","N/A","150.00","200.00","381.00","246.00","30.00","N/A","9.00","9.00","HO",2012-09-08
"48.00","70.00","33.00","170.00","120.00","60.00","140.00","80.00","60.00","90.00","N/A","15.00","20.00","43.00","112.00","N/A","70.00","175.00","300.00","200.00","N/A","N/A","10.00","9.00","TAMALE",2012-09-08
"75.00","90.00","73.00","150.00","90.00","65.00","120.00","70.00","N/A","100.00","N/A","22.00","20.00","30.00","N/A","N/A","90.00","100.00","N/A","N/A","N/A","N/A","8.00","8.00","BOLGA",2012-09-08
"64.00","89.00","N/A","170.00","80.00","73.00","107.00","97.00","50.00","90.00","N/A","10.00","N/A","57.00","215.00","100.00","39.00","150.00","214.00","188.00","N/A","N/A","35.00","8.00","WA",2012-09-08
