"Maize","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfume","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"85.00","129.00","87.00","160.00","112.00","N/A","137.00","140.00","69.00","370.00","81.00","9.00","11.00","46.00","225.00","75.00","160.00","318.00","281.00","263.00","40.00","10.00","9.00","9.00","ACCRA",2012-12-15
"100.00","N/A","N/A","160.00","N/A","N/A","180.00","180.00","85.00","400.00","140.00","8.00","10.00","N/A","300.00","150.00","150.00","350.00","250.00","233.00","100.00","50.00","10.00","9.00","TEMA",2012-12-15
"85.00","130.00","100.00","160.00","120.00","100.00","180.00","140.00","65.00","350.00","90.00","7.00","16.00","48.00","N/A","80.00","120.00","400.00","260.00","300.00","40.00","35.00","9.00","9.00","SEKTDI",2012-12-15
"88.00","N/A","N/A","150.00","100.00","N/A","200.00","130.00","50.00","240.00","80.00","11.00","14.00","50.00","300.00","60.00","100.00","240.00","300.00","320.00","40.00","45.00","8.00","10.00","KDUA",2012-12-15
"105","100"," 85","160","100"," 90","150","160"," 40","270","220","  9"," 12"," 42","140","100","170","370","220","250"," 18"," 26","  7","  8","CCOAST",2012-12-15
"100.0","100.0"," 90.0","180.0","110.0"," 90.0","160.0","170.0"," 28.0","250.0","180.0","  5.5","  9.5"," 48.0","130.0"," 42.0","160.0","330.0","230.0","260.0"," 36.0"," 25.0","  8.0","  8.5","MKESSIM",2012-12-15
" 75"," 65"," 73","160","105","100","130","110"," 40","200"," 70","  8"," 13"," 50","132"," 48"," 25","330","180","280"," 30"," 40","  5","  8","KUMASI",2012-12-15
"46.00","75.00","100.00","140.00","120.00","120.00","150.00","100.00","25.00","220.00","200.00","7.00","8.00","24.00","100.00","30.00","50.00","380.00","160.00","250.00","30.00","N/A","17.00","8.00","EJURA",2012-12-15
" 90.0"," 50.0"," 50.0","110.0"," 87.0"," 90.0","175.0","130.0"," 35.0","250.0","100.0","  5.0"," 14.0"," 30.0"," 92.0"," 40.0"," 70.0","430.0","240.0","230.0"," 10.0"," 30.0","  7.0","  8.5","OBUASI",2012-12-15
" 56.0"," 65.0"," 65.0","168.0","105.0"," 80.0","140.0","110.0"," 75.0","180.0","135.0","  4.0","  5.5"," 62.0","100.0"," 24.0"," 60.0","400.0","210.0","240.0"," 50.0"," 50.0","  5.0","  7.0","SUNYANI",2012-12-15
" 46"," 75"," 75","160","112"," 60","100","100"," 30","230","110","  9"," 12"," 36","160"," 40"," 13","175","100","220"," 30"," 35","  5"," 10","TMAN",2012-12-15
"90.00","120.00","70.00","145.00","85.00","90.00","N/A","181.00","43.00","240.00","N/A","6.00","N/A","72.00","240.00","N/A","85.00","N/A","327.00","246.00","50.00","55.00","8.00","9.50","HO",2012-12-15
"48.00","70.00","80.00","80.00","120.00","55.00","180.00","100.00","60.00","100.00","N/A","10.00","15.00","43.00","67.00","20.00","80.00","120.00","180.00","200.00","N/A","N/A","10.00","9.00","TAMALE",2012-12-15
"53.00","80.00","60.00","110.00","80.00","90.00","130.00","80.00","N/A","160.00","N/A","8.00","10.00","30.00","N/A","N/A","140.00","220.00","N/A","N/A","N/A","N/A","N/A","9.00","BOLGA",2012-12-15
"71.00","90.00","N/A","170.00","110.00","65.00","161.00","97.00","50.00","160.00","N/A","20.00","N/A","58.00","230.00","83.00","48.00","450.00","195.00","231.00","N/A","N/A","35.00","8.00","WA",2012-12-15
