"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"99.00","151.00","100.00","139.00","96.00","N/A","118.00","118.00","49.00","238.00","88.00","14.00","17.00","40.00","178.00","130.00","172.00","67.00","189.00","279.00","17.00","42.00","10.00","9.00","ACCRA",2012-03-17
"108","118","100","135"," 93"," 70","120","120"," 50","450"," 50"," 15"," 20"," 50","200"," 70","180"," 70","167","450"," 40"," 40","  8","  8","TEMA",2012-03-17
"100.0"," 80.0"," 75.0","100.0"," 80.0"," 80.0","120.0","100.0"," 45.0","300.0"," 90.0","  7.0"," 10.0"," 35.0",NA,"150.0","200.0","100.0"," 80.0","280.0"," 30.0"," 40.0","  8.0","  8.5","SEKTDI",2012-03-17
"94.00","80.00","55.00","130.00","70.00","N/A","120.00","120.00","24.00","N/A","75.00","7.00","8.00","28.00","250.00","160.00","120.00","70.00","180.00","220.00","20.00","40.00","7.00","7.50","KDUA",2012-03-17
"121"," 90"," 70","140"," 90"," 70","100","110"," 22","250","110","  6"," 10"," 34","180","130","170"," 90","150","250"," 16"," 20","  5","  7","CCOAST",2012-03-17
"130"," 93"," 75","160"," 94"," 76","110","155"," 22","250"," 96","  7"," 10"," 30","190","125","140"," 90","170","270"," 17"," 19","  7","  8","MKESSIM",2012-03-17
"100.0"," 73.0"," 70.0","140.0"," 96.0"," 92.0"," 90.0"," 88.0"," 24.0","200.0"," 42.0","  5.0","  7.0"," 35.0","155.0","120.0"," 75.0"," 70.0","140.0","220.0"," 30.0"," 40.0","  4.5","  8.0","KUMASI",2012-03-17
"65.00","90.00","73.00","85.00","70.00","60.00","75.00","75.00","15.00","180.00","80.00","5.00","7.00","24.00","160.00","180.00","95.00","90.00","188.00","280.00","26.00","N/A","9.00","6.50","EJURA",2012-03-17
"130"," 50"," 48","128","105"," 90","100","120"," 20","240"," 60"," 15"," 20"," 30","150","180","170"," 70","200","250"," 10"," 40","  7","  8","OBUASI",2012-03-17
" 72.0"," 70.0"," 70.0","141.0"," 80.0"," 60.0","100.0"," 90.0"," 25.0","180.0"," 54.0","  5.0","  5.0"," 35.0","140.0","140.0","180.0"," 80.0","160.0","260.0"," 25.0"," 42.0","  7.0","  6.5","SUNYANI",2012-03-17
" 62"," 67"," 63","135"," 98"," 45"," 80"," 85"," 24","190"," 55","  6","  7"," 26","190","110"," 82"," 50","160","260"," 25"," 50","  6","  7","TMAN",2012-03-17
"82.00","99.00","70.00","136.00","84.00","66.00","100.00","188.00","28.00","180.00","N/A","7.00","11.00","43.00","160.00","150.00","150.00","70.00","185.00","221.00","20.00","45.00","9.00","8.50","HO",2012-03-17
"64.00","56.00","27.00","140.00","83.00","46.00","80.00","80.00","50.00","150.00","N/A","8.00","9.00","43.00","67.00","N/A","120.00","62.00","160.00","240.00","72.00","N/A","10.00","8.00","TAMALE",2012-03-17
"68.00","80.00","73.00","75.00","72.00","55.00","78.00","70.00","N/A","95.00","N/A","13.00","15.00","28.00","N/A","N/A","90.00","75.00","180.00","240.00","N/A","N/A","N/A","9.00","BOLGA",2012-03-17
"57.00","80.00","N/A","170.00","77.00","66.00","79.00","86.00","45.00","190.00","N/A","10.00","N/A","57.00","267.00","100.00","48.00","80.00","156.00","239.00","N/A","N/A","20.00","7.00","WA",2012-03-17
