"Maize (New)","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfume","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"88.00","129.00","91.00","174.00","112.00","N/A","175.00","145.00","62.00","280.00","85.00","17.00","25.00","45.00","237.00","79.00","157.00","308.00","389.00","285.00","N/A","35.00","10.00","9.00","ACCRA",2012-10-20
"83.00","N/A","N/A","180.00","115.00","N/A","130.00","130.00","65.00","350.00","160.00","8.00","12.00","94.00","300.00","180.00","230.00","330.00","450.00","233.00","50.00","35.00","10.00","8.00","TEMA",2012-10-20
"85.00","130.00","110.00","160.00","120.00","85.00","200.00","160.00","65.00","280.00","90.00","8.00","16.00","48.00","N/A","150.00","180.00","300.00","280.00","300.00","45.00","35.00","10.00","8.50","SEKTDI",2012-10-20
"88.00","N/A","N/A","150.00","100.00","N/A","130.00","120.00","50.00","190.00","80.00","9.00","11.00","31.00","400.00","96.00","280.00","300.00","400.00","330.00","28.00","25.00","6.00","8.00","KDUA",2012-10-20
" 88","100"," 75","160","100"," 85","120","130"," 41","200","220"," 15"," 17"," 35","140","100","180","240","180","250"," 15"," 25","  7","  8","CCOAST",2012-10-20
" 94.0","100.0"," 85.0","180.0","100.0"," 88.0","155.0","160.0"," 25.0","170.0","150.0","  5.0"," 10.0"," 40.0","145.0"," 92.0","170.0","240.0","235.0","270.0"," 27.0"," 24.0","  8.0","  8.4","MKESSIM",2012-10-20
" 70.0"," 70.0"," 65.0","160.0","110.0","150.0","150.0","120.0"," 30.0","250.0"," 60.0","  9.0"," 20.0"," 30.0","150.0","120.0","140.0","350.0","230.0","200.0"," 32.0"," 45.0","  4.6","  8.5","KUMASI",2012-10-20
"53.00","75.00","110.00","156.00","108.00","150.00","160.00","90.00","20.00","220.00","200.00","10.00","15.00","24.00","100.00","30.00","120.00","300.00","400.00","350.00","27.00","N/A","17.00","7.50","EJURA",2012-10-20
"100.0"," 50.0"," 50.0","100.0"," 87.0","100.0","110.0","130.0"," 30.0","210.0","100.0","  8.0"," 15.0"," 30.0","116.0"," 80.0","300.0","290.0","290.0","210.0"," 10.0"," 30.0","  7.0","  8.5","OBUASI",2012-10-20
" 56"," 65"," 65","169"," 95"," 80","140","110"," 60","120","135","  5","  6"," 36","125"," 40","200","350","210","220"," 30"," 35","  5","  7","SUNYANI",2012-10-20
" 54"," 76"," 75","160","110"," 60","160"," 90"," 30","160","100"," 10"," 14"," 29","140"," 25"," 80","300","175","200"," 20"," 35","  5","  7","TMAN",2012-10-20
"73.00","120.00","73.00","140.00","85.00","90.00","119.00","131.00","45.00","220.00","N/A","9.00","N/A","55.00","280.00","N/A","160.00","N/A","490.00","246.00","35.00","55.00","8.00","9.00","HO",2012-10-20
"48.00","76.00","35.00","160.00","120.00","60.00","160.00","100.00","60.00","80.00","N/A","16.00","20.00","43.00","80.00","16.00","50.00","330.00","200.00","200.00","N/A","N/A","7.00","9.00","TAMALE",2012-10-20
"50.00","93.00","75.00","145.00","90.00","60.00","150.00","60.00","N/A","160.00","N/A","16.00","18.00","30.00","N/A","N/A","90.00","200.00","N/A","N/A","N/A","N/A","N/A","8.00","BOLGA",2012-10-20
"71.00","90.00","N/A","170.00","80.00","73.00","143.00","101.00","50.00","120.00","N/A","20.00","N/A","57.00","213.00","67.00","212.00","400.00","233.00","188.00","N/A","N/A","20.00","8.00","WA",2012-10-20
